ogc_fid;SSBID0250M;pop_tot
1;19247506617500;3
2;19250006618000;3
3;19250006618250;2
4;19252506617000;9
5;19252506617250;8
6;19252506617500;10
7;19252506618000;4
8;19252506618250;4
9;19252506618500;3
10;19255006616750;5
11;19255006617000;54
12;19255006617250;20
13;19255006617500;8
14;19255006618000;2
15;19255006618250;2
16;19255006618500;5
17;19257506616750;1
18;19257506617000;7
19;19257506617250;21
20;19257506617500;2
21;19260006617000;15
22;19262506617000;6
23;19262506617250;4
24;19350006812250;1
25;19382506806250;1
26;19382506806500;2
27;19385006806250;3
28;19385006806500;3
29;19387506630750;6
30;19390006630500;21
31;19390006630750;28
32;19392506630250;4
33;19392506630500;13
34;19392506630750;20
35;19392506631000;5
36;19395006630750;7
37;19395006631000;3
38;19395006808000;1
39;19395006808250;1
40;19400006601250;1
41;19400006603750;28
42;19400006604000;2
43;19402506601000;1
44;19402506601250;25
45;19402506601500;5
46;19402506602250;7
47;19402506602500;17
48;19402506602750;14
49;19402506603750;8
50;19402506604000;1
51;19402506604750;7
52;19402506606500;8
53;19402506782000;12
54;19402506782500;5
55;19405006600500;2
56;19405006600750;21
57;19405006601000;77
58;19405006601250;17
59;19405006601500;6
60;19405006601750;23
61;19405006602000;13
62;19405006602250;7
63;19405006602500;11
64;19405006602750;22
65;19405006603500;1
66;19405006603750;10
67;19405006604000;10
68;19405006604250;2
69;19405006604750;21
70;19405006605000;9
71;19405006606500;9
72;19405006606750;7
73;19405006782000;2
74;19405006782250;15
75;19405006782500;1
76;19405006782750;1
77;19407506598500;3
78;19407506598750;4
79;19407506599750;4
80;19407506600500;33
81;19407506600750;37
82;19407506601000;9
83;19407506601250;8
84;19407506601500;13
85;19407506601750;6
86;19407506602000;10
87;19407506602250;2
88;19407506602750;8
89;19407506603000;10
90;19407506603250;13
91;19407506603500;8
92;19407506603750;6
93;19407506604000;3
94;19407506604250;9
95;19407506604500;5
96;19407506604750;42
97;19407506605000;5
98;19407506605250;13
99;19407506605750;12
100;19407506606000;3
101;19407506606250;9
102;19407506606500;31
103;19407506606750;55
104;19407506607000;8
105;19407506781750;4
106;19407506782000;15
107;19407506782250;11
108;19407506782500;12
109;19407506782750;9
110;19410006598000;4
111;19410006599000;2
112;19410006600000;10
113;19410006600250;7
114;19410006600500;52
115;19410006600750;3
116;19410006602750;9
117;19410006603000;9
118;19410006603250;2
119;19410006603500;6
120;19410006604250;1
121;19410006604500;11
122;19410006604750;12
123;19410006605000;16
124;19410006605250;26
125;19410006605500;22
126;19410006605750;33
127;19410006606000;8
128;19410006606250;15
129;19410006606500;15
130;19410006606750;15
131;19410006610500;2
132;19410006771750;3
133;19410006782000;21
134;19410006782250;6
135;19410006782500;2
136;19410006782750;6
137;19412506597750;12
138;19412506598000;8
139;19412506599750;3
140;19412506600000;4
141;19412506600250;4
142;19412506600500;6
143;19412506603000;8
144;19412506603750;21
145;19412506604000;2
146;19412506604750;16
147;19412506605000;33
148;19412506605250;19
149;19412506605500;17
150;19412506605750;10
151;19412506606000;21
152;19412506606250;14
153;19412506606500;19
154;19412506607000;3
155;19412506609500;13
156;19412506609750;51
157;19412506610000;40
158;19412506610250;47
159;19412506610500;30
160;19412506771750;10
161;19412506782000;57
162;19412506782250;17
163;19412506782500;1
164;19412506782750;2
165;19412506783000;1
166;19415006597750;25
167;19415006598000;13
168;19415006598250;13
169;19415006599750;6
170;19415006600250;11
171;19415006603000;2
172;19415006603500;3
173;19415006604500;8
174;19415006605000;24
175;19415006605250;15
176;19415006605500;13
177;19415006605750;24
178;19415006606000;18
179;19415006606250;23
180;19415006606500;35
181;19415006606750;25
182;19415006607000;34
183;19415006607250;16
184;19415006607500;7
185;19415006607750;13
186;19415006608000;26
187;19415006609250;15
188;19415006609500;96
189;19415006609750;115
190;19415006610000;112
191;19415006610250;127
192;19415006610500;49
193;19415006623250;4
194;19415006623500;2
195;19415006623750;2
196;19415006771500;3
197;19415006771750;3
198;19415006781250;4
199;19415006782000;35
200;19415006782250;39
201;19415006782500;8
202;19415006782750;15
203;19417506597500;3
204;19417506597750;24
205;19417506598000;31
206;19417506598250;19
207;19417506598500;1
208;19417506599750;8
209;19417506600000;9
210;19417506600250;3
211;19417506605000;5
212;19417506605250;16
213;19417506605500;13
214;19417506605750;31
215;19417506606000;4
216;19417506606250;34
217;19417506606500;18
218;19417506606750;20
219;19417506607000;4
220;19417506607250;5
221;19417506607500;4
222;19417506607750;9
223;19417506608000;27
224;19417506608250;11
225;19417506609250;48
226;19417506609500;67
227;19417506609750;48
228;19417506610000;53
229;19417506610250;79
230;19417506610500;101
231;19417506610750;78
232;19417506611000;4
233;19417506623000;1
234;19417506623250;12
235;19417506623500;2
236;19417506779000;5
237;19417506779250;14
238;19417506781000;4
239;19417506781250;13
240;19417506781750;9
241;19417506782000;31
242;19417506782250;11
243;19417506782500;10
244;19420006598000;83
245;19420006598250;13
246;19420006598500;6
247;19420006599750;2
248;19420006606000;35
249;19420006606250;74
250;19420006606750;2
251;19420006607250;26
252;19420006607500;20
253;19420006607750;9
254;19420006608000;12
255;19420006608250;65
256;19420006608500;66
257;19420006608750;20
258;19420006609000;46
259;19420006609250;80
260;19420006609500;92
261;19420006609750;16
262;19420006610000;91
263;19420006610250;147
264;19420006610500;122
265;19420006610750;171
266;19420006611000;8
267;19420006611250;5
268;19420006612000;1
269;19420006612250;4
270;19420006623500;13
271;19420006779000;3
272;19420006779250;18
273;19420006779500;12
274;19420006781000;5
275;19420006781250;4
276;19420006781500;2
277;19420006781750;19
278;19420006782000;6
279;19420006782250;5
280;19422506597750;3
281;19422506598000;84
282;19422506598250;17
283;19422506598500;2
284;19422506605750;1
285;19422506607000;4
286;19422506607250;17
287;19422506607500;4
288;19422506607750;16
289;19422506608000;21
290;19422506608250;51
291;19422506608500;34
292;19422506608750;86
293;19422506609000;157
294;19422506609250;139
295;19422506609500;84
296;19422506609750;56
297;19422506610000;125
298;19422506610250;32
299;19422506610500;48
300;19422506610750;57
301;19422506611000;76
302;19422506611250;25
303;19422506611500;57
304;19422506611750;29
305;19422506612000;76
306;19422506612250;51
307;19422506612500;8
308;19422506623750;5
309;19422506624000;6
310;19422506779250;7
311;19422506779500;14
312;19422506781000;5
313;19422506781250;7
314;19422506781500;13
315;19422506781750;85
316;19422506782000;26
317;19422506782250;3
318;19425006597750;3
319;19425006598000;14
320;19425006598250;3
321;19425006598500;5
322;19425006599000;6
323;19425006599250;7
324;19425006607250;2
325;19425006607500;4
326;19425006607750;3
327;19425006608000;6
328;19425006608250;12
329;19425006608500;11
330;19425006608750;77
331;19425006609000;129
332;19425006609250;234
333;19425006609500;137
334;19425006609750;68
335;19425006610000;97
336;19425006610250;44
337;19425006610500;17
338;19425006610750;5
339;19425006611000;49
340;19425006611250;108
341;19425006611500;134
342;19425006611750;69
343;19425006612000;16
344;19425006612250;3
345;19425006781750;1
346;19425006782000;2
347;19425006811750;1
348;19427506596750;8
349;19427506597250;10
350;19427506597500;18
351;19427506597750;11
352;19427506598000;15
353;19427506598250;11
354;19427506598750;4
355;19427506599250;5
356;19427506607250;2
357;19427506607750;2
358;19427506608000;10
359;19427506608250;9
360;19427506608500;17
361;19427506608750;12
362;19427506609000;64
363;19427506609250;133
364;19427506609500;56
365;19427506609750;128
366;19427506610000;45
367;19427506610250;102
368;19427506610500;230
369;19427506610750;53
370;19427506611000;58
371;19427506611250;78
372;19427506611500;99
373;19427506611750;174
374;19427506614250;28
375;19427506757750;2
376;19427506761000;3
377;19427506761500;2
378;19427506807250;2
379;19427506807500;7
380;19427506807750;5
381;19427506811000;6
382;19427506811250;2
383;19430006596750;1
384;19430006597000;3
385;19430006597250;33
386;19430006597500;24
387;19430006597750;12
388;19430006598000;11
389;19430006598250;11
390;19430006598500;2
391;19430006607750;10
392;19430006608000;1
393;19430006608500;2
394;19430006609000;1
395;19430006609500;100
396;19430006609750;144
397;19430006610000;93
398;19430006610250;3
399;19430006610500;181
400;19430006610750;14
401;19430006611000;65
402;19430006611250;71
403;19430006611500;15
404;19430006611750;33
405;19430006614000;41
406;19430006614250;86
407;19430006614500;24
408;19430006757750;7
409;19430006758000;2
410;19430006758250;1
411;19430006759750;2
412;19430006760000;3
413;19430006761500;5
414;19430006761750;11
415;19430006762000;4
416;19430006764250;2
417;19430006765250;2
418;19430006765750;1
419;19430006766250;7
420;19430006767750;1
421;19430006768250;6
422;19430006807500;8
423;19430006811000;9
424;19430006811500;12
425;19430006811750;13
426;19430006812000;3
427;19432506596750;24
428;19432506597000;45
429;19432506597250;85
430;19432506597500;99
431;19432506597750;85
432;19432506598000;28
433;19432506598250;8
434;19432506609500;5
435;19432506609750;4
436;19432506610500;46
437;19432506610750;5
438;19432506611000;41
439;19432506611250;21
440;19432506611500;11
441;19432506611750;31
442;19432506612000;24
443;19432506612250;5
444;19432506614000;4
445;19432506614250;51
446;19432506614500;10
447;19432506757750;8
448;19432506758000;2
449;19432506759750;2
450;19432506760000;5
451;19432506760250;3
452;19432506761500;16
453;19432506761750;12
454;19432506764250;16
455;19432506764500;11
456;19432506765500;9
457;19432506765750;6
458;19432506766000;10
459;19432506766250;3
460;19432506767750;5
461;19432506768000;3
462;19432506768250;8
463;19432506768500;13
464;19432506808250;3
465;19432506811500;10
466;19432506811750;8
467;19435006596750;50
468;19435006597000;115
469;19435006597250;114
470;19435006597500;124
471;19435006597750;68
472;19435006598000;2
473;19435006610500;4
474;19435006610750;4
475;19435006611250;4
476;19435006611500;17
477;19435006611750;7
478;19435006612000;2
479;19435006613000;5
480;19435006613250;12
481;19435006613500;60
482;19435006614000;6
483;19435006614250;4
484;19435006614500;1
485;19435006616750;4
486;19435006618250;2
487;19435006757250;4
488;19435006757500;2
489;19435006757750;1
490;19435006761500;9
491;19435006761750;17
492;19435006763750;20
493;19435006764000;17
494;19435006764250;33
495;19435006764500;8
496;19435006764750;4
497;19435006765750;7
498;19435006766000;8
499;19435006767250;4
500;19435006767500;15
501;19435006767750;6
502;19435006768000;5
503;19435006768250;35
504;19435006768500;20
505;19437506597000;63
506;19437506597250;114
507;19437506597500;126
508;19437506597750;55
509;19437506609500;1
510;19437506611500;35
511;19437506612750;11
512;19437506613000;16
513;19437506613250;72
514;19437506613500;138
515;19437506613750;37
516;19437506614000;54
517;19437506614250;19
518;19437506616750;44
519;19437506617000;12
520;19437506617250;49
521;19437506617500;7
522;19437506618000;23
523;19437506619000;5
524;19437506757500;15
525;19437506757750;1
526;19437506759750;5
527;19437506760000;13
528;19437506760250;5
529;19437506761500;1
530;19437506763750;5
531;19437506764500;5
532;19437506765500;3
533;19437506766000;39
534;19437506766250;8
535;19437506767500;3
536;19437506767750;2
537;19437506768000;41
538;19437506768250;6
539;19437506768500;3
540;19437506839750;2
541;19440006597000;28
542;19440006597250;127
543;19440006597500;98
544;19440006597750;98
545;19440006598000;100
546;19440006611500;16
547;19440006612250;2
548;19440006612500;2
549;19440006612750;16
550;19440006613000;43
551;19440006613250;48
552;19440006613500;75
553;19440006613750;70
554;19440006614000;124
555;19440006614250;75
556;19440006614500;1
557;19440006616500;1
558;19440006616750;36
559;19440006617750;8
560;19440006618000;1
561;19440006757500;2
562;19440006757750;6
563;19440006759500;4
564;19440006759750;3
565;19440006760000;8
566;19440006764750;15
567;19440006765000;2
568;19440006765250;5
569;19440006768000;5
570;19440006768250;4
571;19440006768500;1
572;19440006839750;4
573;19442506597000;39
574;19442506597250;108
575;19442506597500;52
576;19442506597750;42
577;19442506611250;6
578;19442506611500;22
579;19442506611750;2
580;19442506612500;3
581;19442506612750;5
582;19442506613000;56
583;19442506613250;58
584;19442506613500;75
585;19442506613750;69
586;19442506614000;73
587;19442506614250;7
588;19442506616500;10
589;19442506616750;21
590;19442506757250;2
591;19442506757500;8
592;19442506757750;5
593;19442506759500;3
594;19442506759750;87
595;19442506760000;3
596;19442506760250;1
597;19442506762750;3
598;19442506763000;9
599;19442506764000;7
600;19442506768000;7
601;19442506807500;4
602;19445006596750;13
603;19445006597000;81
604;19445006597250;146
605;19445006597500;65
606;19445006597750;114
607;19445006598000;32
608;19445006611500;19
609;19445006611750;5
610;19445006612500;4
611;19445006612750;21
612;19445006613000;18
613;19445006613250;86
614;19445006613500;91
615;19445006613750;100
616;19445006614000;64
617;19445006614750;13
618;19445006616500;12
619;19445006616750;12
620;19445006647000;3
621;19445006759500;2
622;19445006759750;13
623;19445006760000;10
624;19445006760500;5
625;19445006760750;10
626;19445006763000;9
627;19445006763500;1
628;19445006763750;19
629;19445006764000;6
630;19445006807750;1
631;19445006808000;2
632;19447506596500;7
633;19447506596750;26
634;19447506597000;37
635;19447506597250;129
636;19447506597500;99
637;19447506597750;64
638;19447506598000;10
639;19447506598250;9
640;19447506598500;6
641;19447506598750;1
642;19447506599000;9
643;19447506611500;2
644;19447506611750;1
645;19447506612000;10
646;19447506612250;35
647;19447506612500;34
648;19447506612750;33
649;19447506613000;24
650;19447506613250;72
651;19447506613500;77
652;19447506613750;9
653;19447506614250;4
654;19447506614500;23
655;19447506614750;21
656;19447506616750;7
657;19447506620000;5
658;19447506646500;9
659;19447506646750;29
660;19447506647000;3
661;19447506759500;19
662;19447506759750;9
663;19447506760000;18
664;19447506760250;18
665;19447506760500;35
666;19447506760750;2
667;19447506761000;2
668;19447506763750;4
669;19447506764000;1
670;19447506766500;13
671;19447506807750;1
672;19447506815500;2
673;19450006597500;12
674;19450006597750;17
675;19450006598000;9
676;19450006598250;8
677;19450006599000;2
678;19450006599750;4
679;19450006600750;5
680;19450006601250;2
681;19450006612000;8
682;19450006612250;73
683;19450006612500;109
684;19450006612750;29
685;19450006613000;30
686;19450006613250;8
687;19450006614000;5
688;19450006614250;13
689;19450006614500;2
690;19450006614750;2
691;19450006615000;5
692;19450006615500;2
693;19450006619750;2
694;19450006620250;12
695;19450006620500;4
696;19450006646750;19
697;19450006647000;18
698;19450006760250;13
699;19450006760750;8
700;19450006761000;14
701;19450006761250;33
702;19450006761500;5
703;19450006763500;2
704;19450006766500;1
705;19450006766750;4
706;19450006815500;27
707;19450006838500;7
708;19450006838750;14
709;19450006839250;5
710;19452506597000;1
711;19452506597250;1
712;19452506597500;4
713;19452506597750;6
714;19452506598250;2
715;19452506598500;5
716;19452506598750;3
717;19452506599000;13
718;19452506612250;53
719;19452506612500;139
720;19452506612750;1
721;19452506613000;3
722;19452506613750;22
723;19452506614000;14
724;19452506614750;5
725;19452506617000;2
726;19452506617250;6
727;19452506620000;42
728;19452506620250;19
729;19452506620500;1
730;19452506646750;4
731;19452506647000;24
732;19452506728250;2
733;19452506752750;2
734;19452506753000;22
735;19452506753250;10
736;19452506756000;7
737;19452506756250;12
738;19452506757500;8
739;19452506757750;4
740;19452506760000;6
741;19452506760250;5
742;19452506760500;6
743;19452506760750;27
744;19452506761000;25
745;19452506761250;7
746;19452506762750;1
747;19452506763000;1
748;19452506763250;3
749;19452506763500;11
750;19452506763750;6
751;19452506764000;2
752;19452506815250;9
753;19452506815500;1
754;19452506816000;6
755;19452506838250;14
756;19452506838500;17
757;19452506838750;7
758;19452506839000;6
759;19452506839250;15
760;19452506839500;11
761;19452506839750;4
762;19455006597000;7
763;19455006597250;8
764;19455006597500;11
765;19455006598500;5
766;19455006599250;1
767;19455006599500;1
768;19455006599750;5
769;19455006613250;39
770;19455006613500;20
771;19455006616500;6
772;19455006619750;7
773;19455006620000;38
774;19455006620250;22
775;19455006620750;6
776;19455006621000;2
777;19455006623750;8
778;19455006646500;5
779;19455006647000;17
780;19455006647250;6
781;19455006658250;2
782;19455006752500;16
783;19455006752750;19
784;19455006753000;15
785;19455006753250;5
786;19455006753500;6
787;19455006753750;14
788;19455006754000;2
