ogc_fid;SSBID0250M;pop_tot
318;19425006599000;5
319;19425006599250;6
320;19425006607250;2
321;19425006607500;4
322;19425006607750;1
323;19425006608250;12
324;19425006608500;49
325;19425006608750;131
326;19425006609000;121
327;19425006609250;233
328;19425006609500;142
329;19425006609750;71
330;19425006610000;97
331;19425006610250;44
332;19425006610500;20
333;19425006610750;6
334;19425006611000;47
335;19425006611250;105
336;19425006611500;119
337;19425006611750;67
338;19425006612000;13
339;19425006612250;1
340;19425006612500;1
341;19425006760250;2
342;19425006781750;1
343;19425006782000;3
344;19427506596750;6
345;19427506597000;1
346;19427506597250;11
347;19427506597500;22
348;19427506597750;16
349;19427506598000;15
350;19427506598250;9
351;19427506598750;9
352;19427506599250;3
353;19427506607250;1
354;19427506607750;2
355;19427506608000;9
356;19427506608250;7
357;19427506608500;18
358;19427506608750;11
359;19427506609000;69
360;19427506609250;133
361;19427506609500;84
362;19427506609750;123
363;19427506610000;43
364;19427506610250;89
365;19427506610500;198
366;19427506610750;48
367;19427506611000;58
368;19427506611250;107
369;19427506611500;90
370;19427506611750;166
371;19427506614250;20
372;19427506757750;2
373;19427506761000;3
374;19427506761500;6
375;19427506761750;1
376;19427506807250;2
377;19427506807500;4
378;19427506807750;4
379;19427506811000;1
380;19427506811250;2
381;19430006596500;3
382;19430006597000;7
383;19430006597250;29
384;19430006597500;23
385;19430006597750;11
386;19430006598000;16
387;19430006598250;13
388;19430006598500;2
389;19430006607750;5
390;19430006608000;1
391;19430006609000;1
392;19430006609250;6
393;19430006609500;112
394;19430006609750;158
395;19430006610000;96
396;19430006610250;4
397;19430006610500;200
398;19430006610750;18
399;19430006611000;64
400;19430006611250;56
401;19430006611500;17
402;19430006611750;35
403;19430006614000;39
404;19430006614250;86
405;19430006614500;26
406;19430006757750;5
407;19430006758000;2
408;19430006759750;2
409;19430006760000;2
410;19430006761500;4
411;19430006761750;13
412;19430006762000;3
413;19430006765250;2
414;19430006765750;2
415;19430006766250;2
416;19430006767750;3
417;19430006768250;5
418;19430006807500;5
419;19430006810750;3
420;19430006811000;10
421;19430006811500;10
422;19430006811750;9
423;19430006812000;4
424;19432506596500;2
425;19432506596750;33
426;19432506597000;46
427;19432506597250;79
428;19432506597500;120
429;19432506597750;88
430;19432506598000;50
431;19432506598250;11
432;19432506609500;5
