År;Annen mobil forbrenning;Avfall og avløp;Energiforsyning;Industri, olje og gass;Jordbruk;Luftfart;Oppvarming;Sjøfart;Veitrafikk;;;;;;;;;;;
2009;132491;176481;0;3039955;203158;17742;132063;216344;656381;;;;;;;;;;;
2011;153419;169715;3315;2927614;195382;12276;111572;216344;640143;;;;;;;;;;;
2013;161237;160568;1220;3164552;200647;17030;94702;216344;628878;;;;;;;;;;;
2015;154967;148630;1007;3307670;208070;12573;70032;216344;617357;;;;;;;;;;;
2016;163589;142868;1786;2900958;212473;11254;70473;240238;583757;;;;;;;;;;;
2017;163107;135162;2472;2728190;213013;14540;70535;283827;540898;;;;;;;;;;;
2018;213500;128895;2359;3018591;212107;16622;58415;277970;553469;;;;;;;;;;;
2019;203937;119790;2243;3020995;205733;17302;46234;274236;527554;;;;;;;;;;;
2020;188390;118813;1479;2969414;218522;6680;43158;229327;504349;;;;;;;;;;;
