kommunenummer,navn
3820,Seljord
3819,Hjartdal
3822,Nissedal
3821,Kviteseid
3816,Nome
3815,Drangedal
3818,Tinn
3817,Midt-Telemark
3824,Tokke
3823,Fyresdal
3825,Vinje
3806,Porsgrunn
3812,Siljan
3814,Kragerø
3813,Bamble
3808,Notodden
3807,Skien
