Organisasjonsnummer,Navn,Nivå enhetsregisteret,Antall ansatte Enhetsreg,firfirmaid,Bedriftsstatus,Organisasjonsform,firorgnrknytning,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Bedriftsnavn,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,NACE-kategori (Første siffer),Nacetittel1,Bransjegruppe 1,NACE-kategori (To første siffer),NACE-kategori (Tre første siffer),NACE-kategori (Fire første siffer),NACE-kode (numerisk),Y (UTM33),X (UTM33),load_date,Lon,Lat,Kode,Org. nr._str,Employees,In Combined Clean
915232523,Porsgrunds porselænsfabrik AS,1,24.0,13223513.0,1.0,Aksjeselskap,,991545980.0,3 Norske Handel og Industri AS,300953495.0,Porsgrunds Porselænsfabrik AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,20-24,47010.0,1150.0,1885-05-11,Private aksjeselskaper mv.,Privat sektor,2.0,Produksjon av keramiske husholdningsartikler og dekorasjonsgjenstander,Industri,23.0,23.4,23.41,23.41,6567985.65,193403.74000000025,2025-12-05 03:21:50,"9,637962544822331","59,140137315034124",23410.0,915232523,24.0,True
987259787,Tvb bolig AS,1,22.0,13024112.0,1.0,Aksjeselskap,,997035364.0,Heidenreich-Riis og Lillefjære AS,997035364.0,TVB Bolig AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,20-24,51918.0,-3811.0,2004-09-13,Private aksjeselskaper mv.,Privat sektor,4.0,Oppføring av bygninger,Bygge- og anleggsvirksomhet,41.0,41.0,41.0,41.0,6574714.210000001,192398.21,2025-12-05 03:21:50,"9,610983210904319","59,19957024376824",41000.0,987259787,22.0,True
993034169,Tsg holdco AS,1,22.0,13806847.0,1.0,Aksjeselskap,,999508049.0,Telemark Group AS,999508049.0,TSG Holdco AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,20-24,41976.0,-2627.0,2008-08-08,Private aksjeselskaper mv.,Privat sektor,7.0,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71.0,71.1,71.12,71.129,6563445.539999999,194941.3200000003,2025-12-05 03:21:50,"9,67104277973772","59,10064640030896",71129.0,993034169,22.0,True
932291746,Stasjonsdrift blandkjenn AS,1,21.0,17190637.0,1.0,Aksjeselskap,,,,,Stasjonsdrift Blandkjenn AS,Telemark,Telemark,4014.0,4014.0,Kragerø,KRAGERØ,20-24,9959.0,536.0,2023-09-12,Private aksjeselskaper mv.,Privat sektor,4.0,Detaljhandel med drivstoff til motorvogner,Varehandel,47.0,47.3,47.3,47.3,6542900.48,172835.3200000003,2025-12-05 03:21:50,"9,317450060626486","58,900662482059964",47300.0,932291746,21.0,True
998850371,Aplia AS,1,21.0,15126989.0,1.0,Aksjeselskap,,,,,Aplia AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,20-24,19828.0,458.0,2012-09-03,Private aksjeselskaper mv.,Privat sektor,6.0,Dataprogrammeringstjenester,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",62.0,62.1,62.1,62.1,6575704.15,192395.33999999985,2025-12-05 03:21:50,"9,609534634313489","59,20841886039901",62100.0,998850371,21.0,True
924965126,Stena confidential AS,1,21.0,16502317.0,1.0,Aksjeselskap,,983594506.0,Stena Recycling AS,983594506.0,Stena Confidential AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,20-24,53552.0,8656.0,2020-04-15,Private aksjeselskaper mv.,Privat sektor,3.0,Materialgjenvinning,"Vannforsyning, avløps-, renovasjons- og oppryddingsvirksomhet",38.0,38.2,38.21,38.21,6567661.44,193004.0599999996,2025-12-05 03:21:50,"9,631463133035078","59,13695042552748",38210.0,924965126,21.0,True
823164912,Ts site services AS,1,18.0,13056028.0,1.0,Aksjeselskap,,993034169.0,TSG Holdco AS,999508049.0,TS Site Services AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,15-19,37386.0,2898.0,1979-05-01,Private aksjeselskaper mv.,Privat sektor,3.0,Reparasjon og vedlikehold av maskiner,Industri,33.0,33.1,33.12,33.12,6563445.539999999,194941.3200000003,2025-12-05 03:21:50,"9,67104277973772","59,10064640030896",33120.0,823164912,18.0,True
991693386,K-konsult bensindrift AS,1,17.0,13749303.0,1.0,Aksjeselskap,,987123052.0,K - Konsult Invest AS,90970331.0,K-Konsult Bensindrift AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,15-19,10911.0,-71.0,2007-08-14,Private aksjeselskaper mv.,Privat sektor,4.0,Detaljhandel med drivstoff til motorvogner,Varehandel,47.0,47.3,47.3,47.3,6567535.9,194433.6799999997,2025-12-05 03:21:50,"9,656512626891221","59,13685665510519",47300.0,991693386,17.0,True
982579252,Wienerberger AS,1,17.0,13021562.0,1.0,Aksjeselskap,,,,,Wienerberger AS,Telemark,Telemark,4018.0,4018.0,Nome,NOME,15-19,163981.0,12113.0,2000-10-17,Private aksjeselskaper mv.,Privat sektor,4.0,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",Varehandel,46.0,46.8,46.83,46.83,6587913.380000001,164108.41999999993,2025-12-05 03:21:50,"9,09785214995132","59,29604997831885",46830.0,982579252,17.0,True
925590711,Telemark eiendomsmegling AS,1,16.0,16562670.0,1.0,Aksjeselskap,,928026744.0,Telemark Eiendomsmegling Holding AS,928026744.0,Telemark Eiendomsmegling AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,15-19,18053.0,2201.0,2020-08-24,Private aksjeselskaper mv.,Privat sektor,6.0,Eiendomsmegling og andre formidlingstjenester for eiendom,Eiendomsvirksomhet,68.0,68.3,68.31,68.31,6575704.15,192395.33999999985,2025-12-05 03:21:50,"9,609534634313489","59,20841886039901",68310.0,925590711,16.0,True
910145487,A amundsen skotøyforretning AS,1,15.0,13084921.0,1.0,Aksjeselskap,,,,,A Amundsen Skotøyforretning AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,15-19,21917.0,699.0,1965-12-12,Private aksjeselskaper mv.,Privat sektor,4.0,Detaljhandel med skotøy og lærvarer,Varehandel,47.0,47.7,47.72,47.72,6575886.17,192138.34999999963,2025-12-05 03:21:50,"9,604796791084375","59,20985989807587",47720.0,910145487,15.0,True
922926743,Agere trafikkskole AS,1,14.0,16302993.0,1.0,Aksjeselskap,,979148046.0,Wright Trafikkskole AS,300364297.0,Agere Trafikkskole AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,10-14,23458.0,1499.0,2019-05-23,Private aksjeselskaper mv.,Privat sektor,8.0,Undervisning ved godkjente trafikkskoler,Undervisning,85.0,85.5,85.53,85.531,6571360.8100000005,191602.29000000004,2025-12-05 03:21:50,"9,601854041984462","59,16901179722415",85531.0,922926743,14.0,True
917471517,Kremen herkules AS,1,13.0,15773017.0,1.0,Aksjeselskap,,,,,Kremen Herkules AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,10-14,13134.0,1674.0,2016-07-01,Private aksjeselskaper mv.,Privat sektor,5.0,Drift av restauranter,Overnattings- og serveringsvirksomhet,56.0,56.1,56.11,56.11,6577318.57,186237.2000000002,2025-12-05 03:21:50,"9,499861438342705","59,21834306050465",56110.0,917471517,13.0,True
918662049,Rare earths Norway AS,1,12.0,15883459.0,3.0,Aksjeselskap,,946990191.0,Hustadlitt A/S,946990191.0,Rare Earths Norway AS,Telemark,Telemark,4018.0,4018.0,Nome,NOME,10-14,805.0,-22928.0,2017-02-10,Private aksjeselskaper mv.,Privat sektor,8.0,Annen bryting og utvinning ikke nevnt annet sted,Bergverksdrift og utvinning,89.0,89.9,89.9,8.99,6584250.050000001,175552.33999999985,2025-12-05 03:21:50,"9,30325617375313","59,27224848580946",8990.0,918662049,12.0,True
992811285,Balanzera AS,1,12.0,13795218.0,1.0,Aksjeselskap,,993034541.0,Transisto AS,993034541.0,Balanzera AS,Telemark,Telemark,4028.0,4028.0,Kviteseid,KVITESEID,10-14,6493.0,322.0,2008-06-12,Private aksjeselskaper mv.,Privat sektor,9.0,Frisering og barbering,Annen tjenesteyting,96.0,96.2,96.21,96.21,6602847.91,130764.9299999997,2025-12-05 03:21:50,"8,490557164282702","59,40153267462569",96210.0,992811285,12.0,True
971220988,Hjartdal og gransherad rekneskapskontor AS,1,11.0,12880162.0,1.0,Aksjeselskap,,,,,Hjartdal og Gransherad Rekneskapskontor AS,Telemark,Telemark,4024.0,4024.0,Hjartdal,HJARTDAL,10-14,8496.0,327.0,1994-09-12,Private aksjeselskaper mv.,Privat sektor,6.0,Regnskapsføring og bokføring,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.202,6623866.798599999,158700.48730000015,2025-12-05 03:21:50,"8,946099999749187","59,61280000087395",69202.0,971220988,11.0,True
823192452,Hks AS,1,11.0,16328628.0,1.0,Aksjeselskap,,,,,HKS AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,10-14,26364.0,-282.0,2019-07-08,Private aksjeselskaper mv.,Privat sektor,4.0,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,Varehandel,47.0,47.1,47.11,47.11,6569504.01,191949.4400000004,2025-12-05 03:21:50,"9,610518590129935","59,15266243751077",47110.0,823192452,11.0,True
920835163,Dm energy AS,1,10.0,16101554.0,1.0,Aksjeselskap,,952586882.0,Tokke Teknologipark AS,200754471.0,DM Energy AS,Telemark,Telemark,4032.0,4032.0,Fyresdal,FYRESDAL,10-14,21419.0,-2807.0,2018-04-17,Private aksjeselskaper mv.,Privat sektor,2.0,Bearbeiding av metaller,Industri,25.0,25.5,25.53,25.53,6583289.74,105436.5,2025-12-05 03:21:50,"8,083356863956901","59,204236906928784",25530.0,920835163,10.0,True
926782274,Layerone AS,1,10.0,16677282.0,1.0,Aksjeselskap,,926782339.0,Clara Ventures AS,251058305.0,Layerone AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,10-14,4942.0,-22520.0,2021-02-12,Private aksjeselskaper mv.,Privat sektor,7.0,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,"Faglig, vitenskapelig og teknisk tjenesteyting",72.0,72.1,72.1,72.1,6565408.09,193235.6100000004,2025-12-05 03:21:50,"9,638649789035062","59,11696985151429",72100.0,926782274,10.0,True
930060690,Amedia annonse Telemark og agder AS,1,9.0,16987132.0,1.0,Aksjeselskap,,987604638.0,Amedia Lokal AS,817112242.0,Amedia Annonse Telemark og Agder AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,5-9,13147.0,-3.0,2022-09-01,Private aksjeselskaper mv.,Privat sektor,7.0,Reklamebyråvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",73.0,73.1,73.11,73.11,6575704.15,192395.33999999985,2025-12-05 03:21:50,"9,609534634313489","59,20841886039901",73110.0,930060690,9.0,True
990174873,Telerevisjon AS,1,9.0,13442879.0,1.0,Aksjeselskap,,,,,Telerevisjon AS,Telemark,Telemark,4022.0,4022.0,Seljord,SELJORD,5-9,10852.0,214.0,2006-07-31,Private aksjeselskaper mv.,Privat sektor,6.0,Revisjon,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.201,6610900.07,139537.6200000001,2025-12-05 03:21:50,"8,63054836116802","59,480993134877714",69201.0,990174873,9.0,True
979861699,T midgaard & co AS,1,9.0,13270248.0,1.0,Aksjeselskap,,977454867.0,Midgaard Eiendom AS,190257333.0,T Midgaard & Co AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,5-9,3884.0,-192.0,1998-01-01,Private aksjeselskaper mv.,Privat sektor,1.0,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",Industri,16.0,16.2,16.28,16.28,6575162.07,191886.01999999955,2025-12-05 03:21:50,"9,601422342394093","59,20320297873129",16280.0,979861699,9.0,True
990652643,Vestmar transport AS,1,8.0,13026160.0,1.0,Aksjeselskap,,994057383.0,Drangedal Bilruter AS,994002007.0,Vestmar Transport AS,Telemark,Telemark,4016.0,4016.0,Drangedal,DRANGEDAL,5-9,18890.0,2105.0,2006-12-06,Private aksjeselskaper mv.,Privat sektor,4.0,Godstransport på vei,Transport og lagring,49.0,49.4,49.41,49.41,6565114.58,160204.83000000007,2025-12-05 03:21:50,"9,065231723479034","59,08929535677579",49410.0,990652643,8.0,True
821551692,Økoråd Bamble AS,1,8.0,16166710.0,1.0,Aksjeselskap,,,,,Økoråd Bamble AS,Telemark,Telemark,4012.0,4012.0,Bamble,BAMBLE,5-9,10103.0,737.0,2018-09-14,Private aksjeselskaper mv.,Privat sektor,6.0,Regnskapsføring og bokføring,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.202,6557039.359999999,195669.6299999999,2025-12-05 03:21:50,"9,692575619357234","59,04388321516309",69202.0,821551692,8.0,True
924523913,Telemark kompetanse AS,1,7.0,16459454.0,1.0,Aksjeselskap,,925141232.0,1883 Moh AS,925141232.0,Telemark Kompetanse AS,Telemark,Telemark,4018.0,4018.0,Nome,NOME,5-9,10619.0,1161.0,2020-01-17,Private aksjeselskaper mv.,Privat sektor,7.0,Bedriftsrådgivning og annen administrativ rådgivning,"Faglig, vitenskapelig og teknisk tjenesteyting",70.0,70.2,70.2,70.2,6588256.460000001,164437.5499999998,2025-12-05 03:21:50,"9,103067888323995","59,29937580539135",70200.0,924523913,7.0,True
925207950,Northern data nor AS,1,6.0,16525900.0,1.0,Aksjeselskap,,,,,Northern Data Nor AS,Telemark,Telemark,4005.0,4005.0,Notodden,NOTODDEN,5-9,34447.0,-131279.0,2020-05-28,Private aksjeselskaper mv.,Privat sektor,6.0,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester","Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",63.0,63.1,63.1,63.1,6616075.59,175681.88999999966,2025-12-05 03:21:50,"9,25742148196104","59,55672038346353",63100.0,925207950,6.0,True
965292888,Lifjell skisenter AS,1,5.0,13503531.0,1.0,Aksjeselskap,,989207873.0,Jønnbu Invest AS,241256447.0,Lifjell Skisenter AS,Telemark,Telemark,4020.0,4020.0,Midt-Telemark,MIDT-TELEMARK,5-9,7079.0,530.0,1992-11-09,Private aksjeselskaper mv.,Privat sektor,9.0,Drift av idrettsanlegg,"Kulturell virksomhet, idrett og fritidsaktiviteter",93.0,93.1,93.11,93.11,6608539.27,160469.66999999993,2025-12-05 03:21:50,"9,001749180076734","59,47735912356655",93110.0,965292888,5.0,True
955996836,Vest-telemark kraftlag AS,1,5.0,13100105.0,3.0,Aksjeselskap,,925604313.0,Vest-Telemark Kraftlag Holding AS,925604313.0,Vest-Telemark Kraftlag AS,Telemark,Telemark,4034.0,4034.0,Tokke,TOKKE,5-9,364026.0,142807.0,1940-09-13,Kommunale aksjeselskaper mv.,Privat sektor,3.0,Handel med elektrisitet,"Forsyning av elektrisitet, gass, damp og kjøleluft",35.0,35.1,35.15,35.15,6615561.5600000005,115324.0499999998,2025-12-05 03:21:50,"8,197678503970746","59,50109108694503",35150.0,955996836,5.0,True
927947242,Godrive AS,1,5.0,16789054.0,1.0,Aksjeselskap,,,,,Godrive AS,Telemark,Telemark,4028.0,4028.0,Kviteseid,KVITESEID,5-9,76806.0,15657.0,2021-09-24,Private aksjeselskaper mv.,Privat sektor,4.0,Engroshandel med maskiner og utstyr ellers,Varehandel,46.0,46.6,46.64,46.64,6593383.34,129074.65000000036,2025-12-05 03:21:50,"8,477272913936092","59,315606716734784",46640.0,927947242,5.0,True
918488812,Avility AS,1,5.0,15865575.0,1.0,Aksjeselskap,,818374542.0,BIG Kahuna Holding AS,240277377.0,Avility AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,5-9,17603.0,-2258.0,2017-01-16,Private aksjeselskaper mv.,Privat sektor,4.0,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,Varehandel,46.0,46.5,46.5,46.5,6569175.59,193595.49000000025,2025-12-05 03:21:50,"9,639631225287921","59,150914857221785",46500.0,918488812,5.0,True
984861826,Nome regnskap AS,1,5.0,13522565.0,1.0,Aksjeselskap,,,,,Nome Regnskap AS,Telemark,Telemark,4018.0,4018.0,Nome,NOME,5-9,3888.0,173.0,2002-08-30,Private aksjeselskaper mv.,Privat sektor,6.0,Regnskapsføring og bokføring,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.202,6585384.08,173697.53000000026,2025-12-05 03:21:50,"9,26916917672279","59,28095617819494",69202.0,984861826,5.0,True
921197233,Avanti revisjon AS,1,5.0,16136864.0,1.0,Aksjeselskap,,921187394.0,Avanti Holding AS,921187394.0,Avanti Revisjon AS,Telemark,Telemark,4018.0,4018.0,Nome,NOME,5-9,5766.0,1318.0,2018-07-11,Private aksjeselskaper mv.,Privat sektor,6.0,Revisjon,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.201,6588256.460000001,164437.5499999998,2025-12-05 03:21:50,"9,103067888323995","59,29937580539135",69201.0,921197233,5.0,True
921166389,Regnskapsservice AS,1,5.0,12877264.0,1.0,Aksjeselskap,,,,,Regnskapsservice AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,5-9,6151.0,762.0,1969-09-01,Private aksjeselskaper mv.,Privat sektor,6.0,Regnskapsføring og bokføring,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.202,6567894.85,194220.79000000004,2025-12-05 03:21:50,"9,652306705024072","59,13991326824014",69202.0,921166389,5.0,True
