Overordnet enhet,Children_count,Total_employees
911770709,4,1043.0
984015666,3,556.0
984981384,24,484.0
976948394,7,428.0
983998178,11,402.0
985194653,22,339.0
947456415,20,292.0
986128433,7,235.0
934949145,2,231.0
971032081,5,207.0
911830868,3,196.0
984661185,5,181.0
879447232,5,176.0
923609016,4,172.0
983044778,14,163.0
965336796,17,160.0
989748319,1,156.0
914791723,21,155.0
980656616,7,154.0
974761076,2,151.0
917719993,1,149.0
967032271,3,138.0
987582561,3,133.0
917082308,8,130.0
937895321,7,128.0
914637651,1,126.0
987553014,9,125.0
986228608,1,124.0
987059729,3,122.0
834327082,2,121.0
995568217,2,121.0
980648915,3,119.0
999263550,1,114.0
929910737,3,112.0
920968201,1,111.0
920144950,2,111.0
976967631,1,110.0
948942003,2,108.0
922633452,6,108.0
968967983,1,107.0
882692302,3,106.0
917019738,7,102.0
959069743,3,100.0
947054600,4,98.0
817209882,13,98.0
915892981,5,97.0
918468919,14,88.0
931186744,6,86.0
930151246,1,85.0
925971154,1,84.0
916122128,1,83.0
980457575,1,80.0
939522719,8,79.0
998534771,1,79.0
984661177,1,77.0
971322926,1,76.0
993110469,1,75.0
994460242,1,73.0
988023868,1,73.0
924549092,1,73.0
992804440,3,73.0
813120232,1,70.0
957560199,11,70.0
930187240,2,70.0
974762501,1,69.0
930874620,1,69.0
992281618,1,69.0
913536770,3,66.0
982410339,1,66.0
881642212,3,66.0
958467095,6,64.0
912618900,3,63.0
912597636,3,63.0
994588117,5,62.0
945772042,2,60.0
917537534,2,60.0
976389387,4,58.0
991603344,7,58.0
879263662,3,57.0
961025311,1,57.0
937402198,4,57.0
952070533,2,57.0
896947532,2,57.0
967013056,2,56.0
946846856,1,55.0
910209205,1,54.0
934995953,1,54.0
874783242,2,53.0
881932792,2,53.0
928734412,1,52.0
971564679,1,51.0
911608103,3,50.0
930872962,1,50.0
947477129,5,47.0
962392687,2,47.0
938050732,1,46.0
943672520,1,46.0
885719422,1,45.0
991750282,1,45.0
921784872,3,44.0
967773778,1,44.0
957246575,1,44.0
984331584,3,44.0
918707565,1,44.0
996164748,3,43.0
946927201,6,42.0
912567508,7,42.0
930871834,1,42.0
984674104,2,42.0
976390512,1,41.0
930861634,1,41.0
977047838,2,41.0
984892071,2,41.0
930861510,1,41.0
876785722,2,40.0
930202258,1,39.0
914852625,2,39.0
914458811,10,38.0
996756246,1,36.0
832554332,5,36.0
976802357,1,36.0
935429447,5,36.0
976023188,4,35.0
830202722,1,35.0
984884176,5,35.0
925036226,4,35.0
935906865,1,35.0
913820509,5,35.0
912955915,2,34.0
980079872,4,34.0
911592770,2,34.0
993606650,1,34.0
946921815,3,34.0
931310380,1,34.0
818066872,17,34.0
917808643,1,34.0
962277055,1,34.0
983350429,1,34.0
890036732,2,33.0
914781213,1,33.0
911100797,6,33.0
918561854,1,32.0
999139124,1,32.0
927544539,1,32.0
976711556,5,32.0
935365139,1,32.0
930868922,1,32.0
962986633,2,32.0
933944522,4,32.0
931546511,1,32.0
997125916,1,31.0
913798317,1,31.0
937087977,3,31.0
937270062,3,31.0
984388659,1,31.0
989986147,5,30.0
989557718,1,30.0
975933601,2,30.0
935416779,1,30.0
916326211,1,30.0
947659138,3,29.0
982085160,1,28.0
892625522,2,28.0
892263922,1,28.0
986076905,1,28.0
819282102,3,28.0
984382286,1,27.0
983338917,3,27.0
930873950,1,27.0
971128348,1,27.0
936314783,3,27.0
