Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Org. nr._str,Employees
Bilfinger Norway as avd Porsgrunn reparasjon,989075810,988996564,746.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,989075810,746.0
Lede as avd Porsgrunn,979611404,979422679,272.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,35.14,Distribusjon av elektrisitet,,,,,BEDR,Porsgrunn,979611404,272.0
Eramet Norway as avd Porsgrunn,973095358,980518647,205.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,24.1,"Produksjon av jern og stål, samt ferrolegeringer",,,,,BEDR,Porsgrunn,973095358,205.0
Ulefos as avd ulefoss,972424978,981083032,144.0,Underenhet,,,,,Nome,Underenhet til næringsdrivende og offentlig forvaltning,24.51,Støping av jern,,,,,BEDR,Nome,972424978,144.0
Maskineriet as avd Skien,995803941,912580202,139.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,82.2,Telefonvakttjenester og telefonsalg,,,,,BEDR,Skien,995803941,139.0
Laugstol as avd Telemark,971797673,964715378,95.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Porsgrunn,971797673,95.0
Forbrukertilsynet Porsgrunn,974720728,974761335,92.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.13,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,,BEDR,Porsgrunn,974720728,92.0
Pasientreiser hf avd Skien,994306510,918695079,88.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,,,,,BEDR,Skien,994306510,88.0
Nav Skien,994706233,974241730,81.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,994706233,81.0
Nav Vestfold og Telemark,994706187,974241730,62.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Porsgrunn,994706187,62.0
Kranringen as avd Skien,971678933,953069466,55.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,49.41,Godstransport på vei,,,,,BEDR,Skien,971678933,55.0
Bilfinger Norway as avd rjukan,991466916,988996564,47.0,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Tinn,991466916,47.0
Nav Vestfold og Telemark torggata 18 Skien,991357122,974241730,42.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,991357122,42.0
Hybeko as avd Skien,971732962,991729380,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.64,Engroshandel med maskiner og utstyr ellers,,,,,BEDR,Skien,971732962,37.0
Brubakken as hovedkontor,974305356,930730556,36.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,974305356,36.0
Bilfinger Norway as avd rafnes,991466819,988996564,36.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Bamble,991466819,36.0
Skarpenord as avd rjukan,971811781,937773609,34.0,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,28.12,Produksjon av komponenter til hydraulisk og pneumatisk utstyr,,,,,BEDR,Tinn,971811781,34.0
At skog sa avd Porsgrunn,973358413,989086642,34.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,46.83,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,,,,BEDR,Porsgrunn,973358413,34.0
Norsk skogrydding as avd Drangedal,921985126,920997082,32.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Drangedal,921985126,32.0
Nk energi as avd langangen,925773905,925750638,31.0,Underenhet,,,,,Larvik,Underenhet til næringsdrivende og offentlig forvaltning,46.81,"Engroshandel med drivstoff, brensel og beslektede produkter",,,,,BEDR,Porsgrunn,925773905,31.0
Bypost as avd Telemark,989438794,989383167,31.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,53.2,Andre post- og budtjenester,,,,,BEDR,Skien,989438794,31.0
Aspit as avd Seljord,983504655,983439977,29.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Seljord,983504655,29.0
Vms Porsgrunn as avd Porsgrunn,972174041,986754199,24.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,972174041,24.0
