"KOSTRA","Ar","Kommune","Fylke","Innbyggere pr. 1.1","Bes&#248;k","Aktive personlige l&#229;nere","Aktive l&#229;nere, institusjoner","Nye lokaler","Areal i m2","Regnskap, kj&#248;p av medier"
"8","2018","Holmestrand","Vestfold","14 212","60 921","2 682","161","Nei","1 125","565 599"
"","2018","Sande (Vest)","Vestfold","9 726","39 243","2 313","84","Nei","438","392 942"
"13","2018","Skien","Telemark","54 510","150 000","7 399","413","Nei","1 800","904 339"
"13","2018","Porsgrunn","Telemark","36 091","140 934","6 316","332","Nei","2 650","797 504"
"7","2017","Svelvik","Vestfold","6 653","5 000","603","70","Nei","150","35 000"
"0","2017","Tønsberg og Færder","Vestfold","44 922","285 465","13 978","674","Nei","5 020","1 601 544"
"8","2017","Bamble","Telemark","14 138","67 285","2 449","129","Ja","1 150","347 678"
"11","2017","Notodden","Telemark","12 757","159 179","2 847","185","Nei","1 170","556 000"
"11","2017","Kragerø","Telemark","10 586","66 123","2 883","59","Nei","823","310 500"
"11","2017","Nome","Telemark","6 585","17 394","1 062","125","Nei","","177 936"
"11","2017","Midt-Telemark","Telemark","6 262","22 300","1 532","99","Nei","537","303 000"
"12","2017","Tinn","Telemark","5 894","17 268","1 321","168","Nei","717","309 581"
"2","2017","Drangedal","Telemark","4 148","28 017","649","58","Nei","170","202 253"
"3","2017","Vinje","Telemark","3 726","8 590","890","117","Nei","624","167 850"
"2","2017","Seljord","Telemark","2 979","8 070","791","","Nei","385","179 187"
"2","2017","Kviteseid","Telemark","2 442","","415","","Nei","","186 000"
"13","2017","Sandefjord","Vestfold","62 019","276 241","11 961","722","Nei","3 160","1 742 102"
"1","2017","Siljan","Telemark","2 357","","214","23","Nei","135","117 398"
"3","2017","Tokke","Telemark","2 228","16 974","697","10","Nei","300","209 084"
"5","2017","Hjartdal","Telemark","1 593","2 254","160","17","Nei","130","100 135"
"5","2017","Nissedal","Telemark","1 476","7 200","194","11","Nei","200","119 562"
"6","2017","Fyresdal","Telemark","1 319","6 102","439","16","Nei","326","162 957"
"1","2017","Sauherad","Telemark","4 303","14 157","573","21","Nei","270","137 016"
