botid;andel;tilhørighet;antall
1-4 år;0,64;Sterk eller veldig sterk tilhørighet;47
5-9 år;0,54;Sterk eller veldig sterk tilhørighet;101
10-19 år;0,65;Sterk eller veldig sterk tilhørighet;273
20-29 år;0,62;Sterk eller veldig sterk tilhørighet;141
30 år eller mer;0,69;Sterk eller veldig sterk tilhørighet;182
