landgruppe;andel;økonomi;antall
Øvrig befolkning;0,07;Vanskelig eller svært vanskelig;937
Gruppe 1 (EU, Storbritannia, USA++);0,09;Vanskelig eller svært vanskelig;69
Gruppe 2 (Afrika, Asia, Latin-Amerika++);0,22;Vanskelig eller svært vanskelig;87
