landgruppe;andel;med_venner;antall
Øvrig befolkning;0,55;Ukentlig;7422
Gruppe 1 (EU, Storbritannia, USA++);0,42;Ukentlig;349
Gruppe 2 (Afrika, Asia, Latin-Amerika++);0,48;Ukentlig;198
