botid;andel;økonomi;antall
1-4 år;0,10;Vanskelig eller svært vanskelig;7
5-9 år;0,18;Vanskelig eller svært vanskelig;33
10-19 år;0,14;Vanskelig eller svært vanskelig;58
20-29 år;0,09;Vanskelig eller svært vanskelig;19
30 år eller mer;0,08;Vanskelig eller svært vanskelig;21
