landgruppe;andel;sosial_støtte;antall
Øvrig befolkning;0,38;Høy sosial støtte;5217
Gruppe 1 (EU, Storbritannia, USA++);0,29;Høy sosial støtte;245
Gruppe 2 (Afrika, Asia, Latin-Amerika++);0,22;Høy sosial støtte;91
