botid;andel;fornøyd_livet;antall
1-4 år;0,86;Fornøyd eller svært fornøyd;64
5-9 år;0,82;Fornøyd eller svært fornøyd;154
10-19 år;0,80;Fornøyd eller svært fornøyd;338
20-29 år;0,76;Fornøyd eller svært fornøyd;173
30 år eller mer;0,84;Fornøyd eller svært fornøyd;225
