landgruppe;andel;ensomhet;antall
Øvrig befolkning;0,11;Høyt opplevd nivå av ensomhet;1483
Gruppe 1 (EU, Storbritannia, USA++);0,15;Høyt opplevd nivå av ensomhet;130
Gruppe 2 (Afrika, Asia, Latin-Amerika++);0,21;Høyt opplevd nivå av ensomhet;85
