landgruppe;andel;trivsel;antall
Øvrig befolkning;0,77;I stor grad;10448
Gruppe 1 (EU, Storbritannia, USA++);0,59;I stor grad;497
Gruppe 2 (Afrika, Asia, Latin-Amerika++);0,57;I stor grad;236
