botid;andel;trygg;antall
1-4 år;0,93;Trygg eller svært trygg;69
5-9 år;0,91;Trygg eller svært trygg;170
10-19 år;0,93;Trygg eller svært trygg;392
20-29 år;0,93;Trygg eller svært trygg;212
30 år eller mer;0,95;Trygg eller svært trygg;253
