År;Fylke;shite;Utdanningsnivå;Antall
2020;42 Agder;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;1338
2020;11 Rogaland;Personer 16 år og over;Grunnskolenivå;91273
2020;11 Rogaland;Personer 16 år og over;Videregående skolenivå;147940
2020;11 Rogaland;Personer 16 år og over;Fagskolenivå;12948
2020;11 Rogaland;Personer 16 år og over;Universitets- og høgskolenivå, kort;89648
2020;11 Rogaland;Personer 16 år og over;Universitets- og høgskolenivå, lang;39594
2020;11 Rogaland;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;2024
2020;46 Vestland;Personer 16 år og over;Grunnskolenivå;119772
2020;46 Vestland;Personer 16 år og over;Videregående skolenivå;199929
2020;46 Vestland;Personer 16 år og over;Fagskolenivå;17354
2020;46 Vestland;Personer 16 år og over;Universitets- og høgskolenivå, kort;128749
2020;46 Vestland;Personer 16 år og over;Universitets- og høgskolenivå, lang;51812
2020;46 Vestland;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;2280
2020;15 Møre og Romsdal;Personer 16 år og over;Grunnskolenivå;55544
2020;15 Møre og Romsdal;Personer 16 år og over;Videregående skolenivå;88756
2020;15 Møre og Romsdal;Personer 16 år og over;Fagskolenivå;8671
2020;15 Møre og Romsdal;Personer 16 år og over;Universitets- og høgskolenivå, kort;50164
2020;15 Møre og Romsdal;Personer 16 år og over;Universitets- og høgskolenivå, lang;13447
2020;15 Møre og Romsdal;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;983
2020;50 Trøndelag - Trööndelage;Personer 16 år og over;Grunnskolenivå;90098
2020;50 Trøndelag - Trööndelage;Personer 16 år og over;Videregående skolenivå;151031
2020;50 Trøndelag - Trööndelage;Personer 16 år og over;Fagskolenivå;10352
2020;50 Trøndelag - Trööndelage;Personer 16 år og over;Universitets- og høgskolenivå, kort;93277
2020;50 Trøndelag - Trööndelage;Personer 16 år og over;Universitets- og høgskolenivå, lang;40465
2020;50 Trøndelag - Trööndelage;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;1404
2020;18 Nordland - Nordlánnda;Personer 16 år og over;Grunnskolenivå;58086
2020;18 Nordland - Nordlánnda;Personer 16 år og over;Videregående skolenivå;79270
2020;18 Nordland - Nordlánnda;Personer 16 år og over;Fagskolenivå;6331
2020;18 Nordland - Nordlánnda;Personer 16 år og over;Universitets- og høgskolenivå, kort;43055
2020;18 Nordland - Nordlánnda;Personer 16 år og over;Universitets- og høgskolenivå, lang;12369
2020;18 Nordland - Nordlánnda;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;866
