Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Fylker,Innlandet,Serviceyrker og annet arbeid,621.0,144.0
2025-06-01,Fylker,Innlandet,Undervisning,143.0,95.0
2025-06-01,Fylker,Møre og Romsdal,Akademiske yrker,41.0,17.0
2025-06-01,Fylker,Møre og Romsdal,Barne- og ungdomsarbeid,223.0,45.0
2025-06-01,Fylker,Møre og Romsdal,Butikk- og salgsarbeid,360.0,160.0
2025-06-01,Fylker,Møre og Romsdal,Bygg og anlegg,333.0,102.0
2025-06-01,Fylker,Møre og Romsdal,"Helse, pleie og omsorg",257.0,322.0
2025-06-01,Fylker,Møre og Romsdal,Industriarbeid,516.0,137.0
2025-06-01,Fylker,Møre og Romsdal,Ingen yrkesbakgrunn eller uoppgitt,738.0,
2025-06-01,Fylker,Møre og Romsdal,Ingeniør- og ikt-fag,169.0,113.0
2025-06-01,Fylker,Møre og Romsdal,"Jordbruk, skogbruk og fiske",81.0,8.0
2025-06-01,Fylker,Møre og Romsdal,Kontorarbeid,221.0,85.0
2025-06-01,Fylker,Møre og Romsdal,Ledere,124.0,50.0
2025-06-01,Fylker,Møre og Romsdal,Meglere og konsulenter,69.0,35.0
2025-06-01,Fylker,Møre og Romsdal,Reiseliv og transport,339.0,139.0
2025-06-01,Fylker,Møre og Romsdal,Serviceyrker og annet arbeid,360.0,93.0
2025-06-01,Fylker,Møre og Romsdal,Undervisning,105.0,104.0
2025-06-01,Fylker,Nordland,Akademiske yrker,51.0,27.0
2025-06-01,Fylker,Nordland,Barne- og ungdomsarbeid,172.0,81.0
2025-06-01,Fylker,Nordland,Butikk- og salgsarbeid,295.0,244.0
2025-06-01,Fylker,Nordland,Bygg og anlegg,247.0,117.0
2025-06-01,Fylker,Nordland,"Helse, pleie og omsorg",197.0,512.0
2025-06-01,Fylker,Nordland,Industriarbeid,475.0,149.0
2025-06-01,Fylker,Nordland,Ingen yrkesbakgrunn eller uoppgitt,589.0,
2025-06-01,Fylker,Nordland,Ingeniør- og ikt-fag,121.0,72.0
2025-06-01,Fylker,Nordland,"Jordbruk, skogbruk og fiske",86.0,25.0
2025-06-01,Fylker,Nordland,Kontorarbeid,148.0,57.0
2025-06-01,Fylker,Nordland,Ledere,80.0,34.0
