Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Telemark kommuner,Kviteseid,Undervisning,,2.0
2025-06-01,Telemark kommuner,Midt-Telemark,Akademiske yrker,4.0,
2025-06-01,Telemark kommuner,Midt-Telemark,Barne- og ungdomsarbeid,8.0,1.0
2025-06-01,Telemark kommuner,Midt-Telemark,Butikk- og salgsarbeid,24.0,11.0
2025-06-01,Telemark kommuner,Midt-Telemark,Bygg og anlegg,23.0,1.0
2025-06-01,Telemark kommuner,Midt-Telemark,"Helse, pleie og omsorg",22.0,17.0
2025-06-01,Telemark kommuner,Midt-Telemark,Industriarbeid,22.0,3.0
2025-06-01,Telemark kommuner,Midt-Telemark,Ingen yrkesbakgrunn eller uoppgitt,48.0,
2025-06-01,Telemark kommuner,Midt-Telemark,Ingeniør- og ikt-fag,8.0,
2025-06-01,Telemark kommuner,Midt-Telemark,"Jordbruk, skogbruk og fiske",10.0,
2025-06-01,Telemark kommuner,Midt-Telemark,Kontorarbeid,18.0,3.0
2025-06-01,Telemark kommuner,Midt-Telemark,Ledere,6.0,1.0
2025-06-01,Telemark kommuner,Midt-Telemark,Meglere og konsulenter,5.0,
2025-06-01,Telemark kommuner,Midt-Telemark,Reiseliv og transport,20.0,6.0
2025-06-01,Telemark kommuner,Midt-Telemark,Serviceyrker og annet arbeid,33.0,9.0
2025-06-01,Telemark kommuner,Midt-Telemark,Undervisning,11.0,2.0
2025-06-01,Telemark kommuner,Nissedal,Akademiske yrker,1.0,
2025-06-01,Telemark kommuner,Nissedal,Barne- og ungdomsarbeid,2.0,
2025-06-01,Telemark kommuner,Nissedal,Butikk- og salgsarbeid,2.0,2.0
2025-06-01,Telemark kommuner,Nissedal,Bygg og anlegg,2.0,
2025-06-01,Telemark kommuner,Nissedal,"Helse, pleie og omsorg",2.0,3.0
2025-06-01,Telemark kommuner,Nissedal,Industriarbeid,1.0,
2025-06-01,Telemark kommuner,Nissedal,Ingen yrkesbakgrunn eller uoppgitt,6.0,
2025-06-01,Telemark kommuner,Nissedal,Ledere,1.0,
2025-06-01,Telemark kommuner,Nissedal,Reiseliv og transport,,2.0
2025-06-01,Telemark kommuner,Nissedal,Serviceyrker og annet arbeid,4.0,2.0
2025-06-01,Telemark kommuner,Nissedal,Undervisning,,4.0
2025-06-01,Telemark kommuner,Nome,Akademiske yrker,2.0,
2025-06-01,Telemark kommuner,Nome,Barne- og ungdomsarbeid,8.0,
2025-06-01,Telemark kommuner,Nome,Butikk- og salgsarbeid,9.0,
2025-06-01,Telemark kommuner,Nome,Bygg og anlegg,12.0,1.0
2025-06-01,Telemark kommuner,Nome,"Helse, pleie og omsorg",5.0,9.0
2025-06-01,Telemark kommuner,Nome,Industriarbeid,15.0,
2025-06-01,Telemark kommuner,Nome,Ingen yrkesbakgrunn eller uoppgitt,21.0,
2025-06-01,Telemark kommuner,Nome,Ingeniør- og ikt-fag,1.0,1.0
2025-06-01,Telemark kommuner,Nome,"Jordbruk, skogbruk og fiske",2.0,
2025-06-01,Telemark kommuner,Nome,Kontorarbeid,3.0,
2025-06-01,Telemark kommuner,Nome,Ledere,2.0,1.0
2025-06-01,Telemark kommuner,Nome,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Nome,Reiseliv og transport,7.0,2.0
2025-06-01,Telemark kommuner,Nome,Serviceyrker og annet arbeid,21.0,
2025-06-01,Telemark kommuner,Nome,Undervisning,1.0,1.0
2025-06-01,Telemark kommuner,Notodden,Akademiske yrker,2.0,
2025-06-01,Telemark kommuner,Notodden,Barne- og ungdomsarbeid,13.0,
2025-06-01,Telemark kommuner,Notodden,Butikk- og salgsarbeid,40.0,9.0
2025-06-01,Telemark kommuner,Notodden,Bygg og anlegg,26.0,
2025-06-01,Telemark kommuner,Notodden,"Helse, pleie og omsorg",20.0,16.0
2025-06-01,Telemark kommuner,Notodden,Industriarbeid,28.0,2.0
2025-06-01,Telemark kommuner,Notodden,Ingen yrkesbakgrunn eller uoppgitt,42.0,
2025-06-01,Telemark kommuner,Notodden,Ingeniør- og ikt-fag,17.0,
2025-06-01,Telemark kommuner,Notodden,"Jordbruk, skogbruk og fiske",3.0,1.0
2025-06-01,Telemark kommuner,Notodden,Kontorarbeid,16.0,2.0
2025-06-01,Telemark kommuner,Notodden,Ledere,7.0,
2025-06-01,Telemark kommuner,Notodden,Meglere og konsulenter,1.0,1.0
2025-06-01,Telemark kommuner,Notodden,Reiseliv og transport,16.0,4.0
2025-06-01,Telemark kommuner,Notodden,Serviceyrker og annet arbeid,22.0,3.0
2025-06-01,Telemark kommuner,Notodden,Undervisning,7.0,1.0
2025-06-01,Telemark kommuner,Porsgrunn,Akademiske yrker,13.0,
2025-06-01,Telemark kommuner,Porsgrunn,Barne- og ungdomsarbeid,41.0,5.0
2025-06-01,Telemark kommuner,Porsgrunn,Butikk- og salgsarbeid,104.0,37.0
2025-06-01,Telemark kommuner,Porsgrunn,Bygg og anlegg,83.0,16.0
2025-06-01,Telemark kommuner,Porsgrunn,"Helse, pleie og omsorg",73.0,46.0
2025-06-01,Telemark kommuner,Porsgrunn,Industriarbeid,90.0,15.0
2025-06-01,Telemark kommuner,Porsgrunn,Ingen yrkesbakgrunn eller uoppgitt,108.0,1.0
2025-06-01,Telemark kommuner,Porsgrunn,Ingeniør- og ikt-fag,44.0,20.0
2025-06-01,Telemark kommuner,Porsgrunn,"Jordbruk, skogbruk og fiske",7.0,
2025-06-01,Telemark kommuner,Porsgrunn,Kontorarbeid,38.0,6.0
2025-06-01,Telemark kommuner,Porsgrunn,Ledere,37.0,5.0
2025-06-01,Telemark kommuner,Porsgrunn,Meglere og konsulenter,15.0,7.0
2025-06-01,Telemark kommuner,Porsgrunn,Reiseliv og transport,65.0,16.0
2025-06-01,Telemark kommuner,Porsgrunn,Serviceyrker og annet arbeid,78.0,26.0
2025-06-01,Telemark kommuner,Porsgrunn,Undervisning,25.0,8.0
2025-06-01,Telemark kommuner,Seljord,Akademiske yrker,1.0,
2025-06-01,Telemark kommuner,Seljord,Barne- og ungdomsarbeid,2.0,
2025-06-01,Telemark kommuner,Seljord,Butikk- og salgsarbeid,4.0,14.0
2025-06-01,Telemark kommuner,Seljord,Bygg og anlegg,2.0,
2025-06-01,Telemark kommuner,Seljord,"Helse, pleie og omsorg",3.0,1.0
2025-06-01,Telemark kommuner,Seljord,Industriarbeid,5.0,4.0
2025-06-01,Telemark kommuner,Seljord,Ingen yrkesbakgrunn eller uoppgitt,15.0,
2025-06-01,Telemark kommuner,Seljord,Ingeniør- og ikt-fag,2.0,1.0
2025-06-01,Telemark kommuner,Seljord,Kontorarbeid,3.0,
2025-06-01,Telemark kommuner,Seljord,Ledere,1.0,
2025-06-01,Telemark kommuner,Seljord,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Seljord,Reiseliv og transport,4.0,1.0
2025-06-01,Telemark kommuner,Seljord,Serviceyrker og annet arbeid,2.0,1.0
2025-06-01,Telemark kommuner,Seljord,Undervisning,2.0,
2025-06-01,Telemark kommuner,Siljan,Barne- og ungdomsarbeid,3.0,1.0
2025-06-01,Telemark kommuner,Siljan,Butikk- og salgsarbeid,4.0,1.0
2025-06-01,Telemark kommuner,Siljan,Bygg og anlegg,4.0,
2025-06-01,Telemark kommuner,Siljan,"Helse, pleie og omsorg",3.0,
2025-06-01,Telemark kommuner,Siljan,Industriarbeid,2.0,
2025-06-01,Telemark kommuner,Siljan,Ingen yrkesbakgrunn eller uoppgitt,10.0,
2025-06-01,Telemark kommuner,Siljan,"Jordbruk, skogbruk og fiske",1.0,
2025-06-01,Telemark kommuner,Siljan,Kontorarbeid,1.0,
2025-06-01,Telemark kommuner,Siljan,Ledere,1.0,
2025-06-01,Telemark kommuner,Siljan,Reiseliv og transport,2.0,
2025-06-01,Telemark kommuner,Siljan,Serviceyrker og annet arbeid,3.0,
2025-06-01,Telemark kommuner,Siljan,Undervisning,4.0,
2025-06-01,Telemark kommuner,Skien,Akademiske yrker,18.0,11.0
2025-06-01,Telemark kommuner,Skien,Barne- og ungdomsarbeid,69.0,8.0
2025-06-01,Telemark kommuner,Skien,Butikk- og salgsarbeid,136.0,56.0
2025-06-01,Telemark kommuner,Skien,Bygg og anlegg,131.0,13.0
2025-06-01,Telemark kommuner,Skien,"Helse, pleie og omsorg",87.0,119.0
2025-06-01,Telemark kommuner,Skien,Industriarbeid,102.0,10.0
2025-06-01,Telemark kommuner,Skien,Ingen yrkesbakgrunn eller uoppgitt,133.0,3.0
2025-06-01,Telemark kommuner,Skien,Ingeniør- og ikt-fag,53.0,6.0
2025-06-01,Telemark kommuner,Skien,"Jordbruk, skogbruk og fiske",12.0,
2025-06-01,Telemark kommuner,Skien,Kontorarbeid,78.0,21.0
2025-06-01,Telemark kommuner,Skien,Ledere,31.0,9.0
2025-06-01,Telemark kommuner,Skien,Meglere og konsulenter,22.0,3.0
2025-06-01,Telemark kommuner,Skien,Reiseliv og transport,112.0,14.0
2025-06-01,Telemark kommuner,Skien,Serviceyrker og annet arbeid,121.0,24.0
2025-06-01,Telemark kommuner,Skien,Undervisning,37.0,14.0
2025-06-01,Telemark kommuner,Tinn,Barne- og ungdomsarbeid,5.0,
2025-06-01,Telemark kommuner,Tinn,Butikk- og salgsarbeid,15.0,6.0
2025-06-01,Telemark kommuner,Tinn,Bygg og anlegg,9.0,5.0
2025-06-01,Telemark kommuner,Tinn,"Helse, pleie og omsorg",8.0,4.0
2025-06-01,Telemark kommuner,Tinn,Industriarbeid,6.0,12.0
2025-06-01,Telemark kommuner,Tinn,Ingen yrkesbakgrunn eller uoppgitt,7.0,
2025-06-01,Telemark kommuner,Tinn,Ingeniør- og ikt-fag,1.0,1.0
2025-06-01,Telemark kommuner,Tinn,"Jordbruk, skogbruk og fiske",1.0,
2025-06-01,Telemark kommuner,Tinn,Kontorarbeid,5.0,2.0
2025-06-01,Telemark kommuner,Tinn,Ledere,3.0,1.0
2025-06-01,Telemark kommuner,Tinn,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Tinn,Reiseliv og transport,9.0,4.0
2025-06-01,Telemark kommuner,Tinn,Serviceyrker og annet arbeid,6.0,7.0
2025-06-01,Telemark kommuner,Tinn,Undervisning,3.0,
2025-06-01,Telemark kommuner,Tokke,Akademiske yrker,1.0,
2025-06-01,Telemark kommuner,Tokke,Barne- og ungdomsarbeid,1.0,
2025-06-01,Telemark kommuner,Tokke,Butikk- og salgsarbeid,2.0,2.0
2025-06-01,Telemark kommuner,Tokke,Bygg og anlegg,5.0,4.0
2025-06-01,Telemark kommuner,Tokke,"Helse, pleie og omsorg",2.0,2.0
2025-06-01,Telemark kommuner,Tokke,Industriarbeid,2.0,1.0
2025-06-01,Telemark kommuner,Tokke,Ingen yrkesbakgrunn eller uoppgitt,3.0,
2025-06-01,Telemark kommuner,Tokke,Ingeniør- og ikt-fag,2.0,
2025-06-01,Telemark kommuner,Tokke,Kontorarbeid,2.0,2.0
2025-06-01,Telemark kommuner,Tokke,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Tokke,Reiseliv og transport,1.0,2.0
2025-06-01,Telemark kommuner,Tokke,Serviceyrker og annet arbeid,3.0,
2025-06-01,Telemark kommuner,Tokke,Undervisning,2.0,
2025-06-01,Telemark kommuner,Vinje,Akademiske yrker,2.0,
2025-06-01,Telemark kommuner,Vinje,Barne- og ungdomsarbeid,2.0,
2025-06-01,Telemark kommuner,Vinje,Butikk- og salgsarbeid,5.0,11.0
2025-06-01,Telemark kommuner,Vinje,Bygg og anlegg,5.0,1.0
2025-06-01,Telemark kommuner,Vinje,"Helse, pleie og omsorg",2.0,3.0
2025-06-01,Telemark kommuner,Vinje,Industriarbeid,1.0,
2025-06-01,Telemark kommuner,Vinje,Ingen yrkesbakgrunn eller uoppgitt,20.0,
2025-06-01,Telemark kommuner,Vinje,Ingeniør- og ikt-fag,2.0,1.0
2025-06-01,Telemark kommuner,Vinje,"Jordbruk, skogbruk og fiske",1.0,1.0
2025-06-01,Telemark kommuner,Vinje,Kontorarbeid,1.0,1.0
2025-06-01,Telemark kommuner,Vinje,Ledere,1.0,
2025-06-01,Telemark kommuner,Vinje,Meglere og konsulenter,,1.0
2025-06-01,Telemark kommuner,Vinje,Reiseliv og transport,3.0,2.0
2025-06-01,Telemark kommuner,Vinje,Serviceyrker og annet arbeid,3.0,19.0
2025-06-01,Telemark kommuner,Vinje,Undervisning,,6.0
2025-07-01,Fylker,Agder,Akademiske yrker,86.0,38.0
2025-07-01,Fylker,Agder,Barne- og ungdomsarbeid,327.0,181.0
2025-07-01,Fylker,Agder,Butikk- og salgsarbeid,554.0,202.0
2025-07-01,Fylker,Agder,Bygg og anlegg,426.0,129.0
2025-07-01,Fylker,Agder,"Helse, pleie og omsorg",372.0,314.0
2025-07-01,Fylker,Agder,Industriarbeid,512.0,89.0
2025-07-01,Fylker,Agder,Ingen yrkesbakgrunn eller uoppgitt,830.0,
2025-07-01,Fylker,Agder,Ingeniør- og ikt-fag,268.0,98.0
2025-07-01,Fylker,Agder,"Jordbruk, skogbruk og fiske",60.0,4.0
2025-07-01,Fylker,Agder,Kontorarbeid,303.0,37.0
2025-07-01,Fylker,Agder,Ledere,157.0,40.0
2025-07-01,Fylker,Agder,Meglere og konsulenter,134.0,45.0
2025-07-01,Fylker,Agder,Reiseliv og transport,417.0,128.0
2025-07-01,Fylker,Agder,Serviceyrker og annet arbeid,494.0,118.0
2025-07-01,Fylker,Agder,Undervisning,241.0,103.0
2025-07-01,Fylker,Akershus,Akademiske yrker,355.0,74.0
2025-07-01,Fylker,Akershus,Barne- og ungdomsarbeid,719.0,260.0
2025-07-01,Fylker,Akershus,Butikk- og salgsarbeid,1304.0,473.0
2025-07-01,Fylker,Akershus,Bygg og anlegg,1543.0,219.0
2025-07-01,Fylker,Akershus,"Helse, pleie og omsorg",828.0,826.0
2025-07-01,Fylker,Akershus,Industriarbeid,721.0,194.0
2025-07-01,Fylker,Akershus,Ingen yrkesbakgrunn eller uoppgitt,1487.0,2.0
2025-07-01,Fylker,Akershus,Ingeniør- og ikt-fag,880.0,289.0
2025-07-01,Fylker,Akershus,"Jordbruk, skogbruk og fiske",77.0,6.0
2025-07-01,Fylker,Akershus,Kontorarbeid,1341.0,287.0
2025-07-01,Fylker,Akershus,Ledere,800.0,129.0
2025-07-01,Fylker,Akershus,Meglere og konsulenter,530.0,122.0
2025-07-01,Fylker,Akershus,Reiseliv og transport,1165.0,343.0
2025-07-01,Fylker,Akershus,Serviceyrker og annet arbeid,1411.0,269.0
2025-07-01,Fylker,Akershus,Undervisning,442.0,223.0
2025-07-01,Fylker,Buskerud,Akademiske yrker,83.0,48.0
2025-07-01,Fylker,Buskerud,Barne- og ungdomsarbeid,277.0,121.0
2025-07-01,Fylker,Buskerud,Butikk- og salgsarbeid,490.0,184.0
2025-07-01,Fylker,Buskerud,Bygg og anlegg,663.0,75.0
2025-07-01,Fylker,Buskerud,"Helse, pleie og omsorg",328.0,283.0
2025-07-01,Fylker,Buskerud,Industriarbeid,441.0,171.0
2025-07-01,Fylker,Buskerud,Ingen yrkesbakgrunn eller uoppgitt,562.0,
2025-07-01,Fylker,Buskerud,Ingeniør- og ikt-fag,238.0,158.0
2025-07-01,Fylker,Buskerud,"Jordbruk, skogbruk og fiske",62.0,5.0
2025-07-01,Fylker,Buskerud,Kontorarbeid,393.0,131.0
2025-07-01,Fylker,Buskerud,Ledere,197.0,59.0
2025-07-01,Fylker,Buskerud,Meglere og konsulenter,116.0,41.0
2025-07-01,Fylker,Buskerud,Reiseliv og transport,404.0,165.0
2025-07-01,Fylker,Buskerud,Serviceyrker og annet arbeid,455.0,180.0
2025-07-01,Fylker,Buskerud,Undervisning,144.0,64.0
2025-07-01,Fylker,Finnmark,Akademiske yrker,16.0,23.0
2025-07-01,Fylker,Finnmark,Barne- og ungdomsarbeid,67.0,29.0
2025-07-01,Fylker,Finnmark,Butikk- og salgsarbeid,85.0,91.0
2025-07-01,Fylker,Finnmark,Bygg og anlegg,118.0,39.0
2025-07-01,Fylker,Finnmark,"Helse, pleie og omsorg",79.0,213.0
2025-07-01,Fylker,Finnmark,Industriarbeid,272.0,27.0
2025-07-01,Fylker,Finnmark,Ingen yrkesbakgrunn eller uoppgitt,187.0,
2025-07-01,Fylker,Finnmark,Ingeniør- og ikt-fag,29.0,37.0
2025-07-01,Fylker,Finnmark,"Jordbruk, skogbruk og fiske",51.0,3.0
2025-07-01,Fylker,Finnmark,Kontorarbeid,59.0,28.0
2025-07-01,Fylker,Finnmark,Ledere,34.0,23.0
2025-07-01,Fylker,Finnmark,Meglere og konsulenter,15.0,9.0
2025-07-01,Fylker,Finnmark,Reiseliv og transport,110.0,54.0
2025-07-01,Fylker,Finnmark,Serviceyrker og annet arbeid,118.0,69.0
2025-07-01,Fylker,Finnmark,Undervisning,45.0,39.0
2025-07-01,Fylker,Innlandet,Akademiske yrker,88.0,43.0
2025-07-01,Fylker,Innlandet,Barne- og ungdomsarbeid,298.0,30.0
2025-07-01,Fylker,Innlandet,Butikk- og salgsarbeid,562.0,302.0
2025-07-01,Fylker,Innlandet,Bygg og anlegg,500.0,90.0
2025-07-01,Fylker,Innlandet,"Helse, pleie og omsorg",414.0,560.0
2025-07-01,Fylker,Innlandet,Industriarbeid,528.0,131.0
2025-07-01,Fylker,Innlandet,Ingen yrkesbakgrunn eller uoppgitt,895.0,
2025-07-01,Fylker,Innlandet,Ingeniør- og ikt-fag,215.0,104.0
2025-07-01,Fylker,Innlandet,"Jordbruk, skogbruk og fiske",82.0,15.0
2025-07-01,Fylker,Innlandet,Kontorarbeid,338.0,89.0
2025-07-01,Fylker,Innlandet,Ledere,167.0,64.0
2025-07-01,Fylker,Innlandet,Meglere og konsulenter,87.0,55.0
2025-07-01,Fylker,Innlandet,Reiseliv og transport,443.0,158.0
2025-07-01,Fylker,Innlandet,Serviceyrker og annet arbeid,574.0,156.0
2025-07-01,Fylker,Innlandet,Undervisning,175.0,68.0
2025-07-01,Fylker,Møre og Romsdal,Akademiske yrker,47.0,33.0
2025-07-01,Fylker,Møre og Romsdal,Barne- og ungdomsarbeid,223.0,60.0
2025-07-01,Fylker,Møre og Romsdal,Butikk- og salgsarbeid,344.0,227.0
2025-07-01,Fylker,Møre og Romsdal,Bygg og anlegg,313.0,141.0
2025-07-01,Fylker,Møre og Romsdal,"Helse, pleie og omsorg",250.0,350.0
2025-07-01,Fylker,Møre og Romsdal,Industriarbeid,484.0,158.0
2025-07-01,Fylker,Møre og Romsdal,Ingen yrkesbakgrunn eller uoppgitt,631.0,
2025-07-01,Fylker,Møre og Romsdal,Ingeniør- og ikt-fag,159.0,176.0
2025-07-01,Fylker,Møre og Romsdal,"Jordbruk, skogbruk og fiske",69.0,21.0
2025-07-01,Fylker,Møre og Romsdal,Kontorarbeid,200.0,82.0
2025-07-01,Fylker,Møre og Romsdal,Ledere,117.0,78.0
2025-07-01,Fylker,Møre og Romsdal,Meglere og konsulenter,71.0,38.0
2025-07-01,Fylker,Møre og Romsdal,Reiseliv og transport,317.0,167.0
2025-07-01,Fylker,Møre og Romsdal,Serviceyrker og annet arbeid,333.0,186.0
2025-07-01,Fylker,Møre og Romsdal,Undervisning,142.0,65.0
2025-07-01,Fylker,Nordland,Akademiske yrker,45.0,67.0
2025-07-01,Fylker,Nordland,Barne- og ungdomsarbeid,170.0,70.0
2025-07-01,Fylker,Nordland,Butikk- og salgsarbeid,264.0,242.0
2025-07-01,Fylker,Nordland,Bygg og anlegg,200.0,128.0
2025-07-01,Fylker,Nordland,"Helse, pleie og omsorg",202.0,402.0
2025-07-01,Fylker,Nordland,Industriarbeid,425.0,152.0
2025-07-01,Fylker,Nordland,Ingen yrkesbakgrunn eller uoppgitt,567.0,2.0
2025-07-01,Fylker,Nordland,Ingeniør- og ikt-fag,121.0,88.0
2025-07-01,Fylker,Nordland,"Jordbruk, skogbruk og fiske",87.0,22.0
2025-07-01,Fylker,Nordland,Kontorarbeid,135.0,62.0
2025-07-01,Fylker,Nordland,Ledere,81.0,62.0
2025-07-01,Fylker,Nordland,Meglere og konsulenter,44.0,28.0
2025-07-01,Fylker,Nordland,Reiseliv og transport,229.0,155.0
2025-07-01,Fylker,Nordland,Serviceyrker og annet arbeid,295.0,196.0
2025-07-01,Fylker,Nordland,Undervisning,103.0,57.0
2025-07-01,Fylker,Oslo,Akademiske yrker,662.0,307.0
2025-07-01,Fylker,Oslo,Barne- og ungdomsarbeid,706.0,239.0
2025-07-01,Fylker,Oslo,Butikk- og salgsarbeid,1401.0,900.0
2025-07-01,Fylker,Oslo,Bygg og anlegg,1062.0,392.0
2025-07-01,Fylker,Oslo,"Helse, pleie og omsorg",988.0,876.0
2025-07-01,Fylker,Oslo,Industriarbeid,509.0,382.0
2025-07-01,Fylker,Oslo,Ingen yrkesbakgrunn eller uoppgitt,1836.0,
2025-07-01,Fylker,Oslo,Ingeniør- og ikt-fag,1447.0,682.0
2025-07-01,Fylker,Oslo,"Jordbruk, skogbruk og fiske",50.0,17.0
2025-07-01,Fylker,Oslo,Kontorarbeid,1337.0,502.0
2025-07-01,Fylker,Oslo,Ledere,1076.0,315.0
2025-07-01,Fylker,Oslo,Meglere og konsulenter,732.0,341.0
2025-07-01,Fylker,Oslo,Reiseliv og transport,1514.0,672.0
2025-07-01,Fylker,Oslo,Serviceyrker og annet arbeid,2082.0,696.0
2025-07-01,Fylker,Oslo,Undervisning,752.0,221.0
2025-07-01,Fylker,Rogaland,Akademiske yrker,129.0,48.0
2025-07-01,Fylker,Rogaland,Barne- og ungdomsarbeid,327.0,185.0
2025-07-01,Fylker,Rogaland,Butikk- og salgsarbeid,674.0,470.0
2025-07-01,Fylker,Rogaland,Bygg og anlegg,499.0,496.0
2025-07-01,Fylker,Rogaland,"Helse, pleie og omsorg",453.0,649.0
2025-07-01,Fylker,Rogaland,Industriarbeid,609.0,272.0
2025-07-01,Fylker,Rogaland,Ingen yrkesbakgrunn eller uoppgitt,1185.0,1.0
2025-07-01,Fylker,Rogaland,Ingeniør- og ikt-fag,496.0,370.0
2025-07-01,Fylker,Rogaland,"Jordbruk, skogbruk og fiske",104.0,8.0
2025-07-01,Fylker,Rogaland,Kontorarbeid,436.0,189.0
2025-07-01,Fylker,Rogaland,Ledere,295.0,85.0
2025-07-01,Fylker,Rogaland,Meglere og konsulenter,211.0,69.0
2025-07-01,Fylker,Rogaland,Reiseliv og transport,638.0,280.0
2025-07-01,Fylker,Rogaland,Serviceyrker og annet arbeid,732.0,281.0
2025-07-01,Fylker,Rogaland,Undervisning,262.0,91.0
2025-07-01,Fylker,Sogn og Fjordane,Bygg og anlegg,,6.0
2025-07-01,Fylker,Sogn og Fjordane,Industriarbeid,,2.0
2025-07-01,Fylker,Svalbard og øvrige områder,Akademiske yrker,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Barne- og ungdomsarbeid,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Butikk- og salgsarbeid,2.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Bygg og anlegg,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Ingen yrkesbakgrunn eller uoppgitt,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Ingeniør- og ikt-fag,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Kontorarbeid,3.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Meglere og konsulenter,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Reiseliv og transport,1.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Serviceyrker og annet arbeid,2.0,
2025-07-01,Fylker,Svalbard og øvrige områder,Undervisning,2.0,
2025-07-01,Fylker,Telemark,Akademiske yrker,48.0,11.0
2025-07-01,Fylker,Telemark,Barne- og ungdomsarbeid,174.0,34.0
2025-07-01,Fylker,Telemark,Butikk- og salgsarbeid,361.0,144.0
2025-07-01,Fylker,Telemark,Bygg og anlegg,327.0,95.0
2025-07-01,Fylker,Telemark,"Helse, pleie og omsorg",254.0,202.0
2025-07-01,Fylker,Telemark,Industriarbeid,319.0,82.0
2025-07-01,Fylker,Telemark,Ingen yrkesbakgrunn eller uoppgitt,483.0,
2025-07-01,Fylker,Telemark,Ingeniør- og ikt-fag,157.0,60.0
2025-07-01,Fylker,Telemark,"Jordbruk, skogbruk og fiske",38.0,6.0
2025-07-01,Fylker,Telemark,Kontorarbeid,184.0,66.0
2025-07-01,Fylker,Telemark,Ledere,105.0,26.0
2025-07-01,Fylker,Telemark,Meglere og konsulenter,58.0,16.0
2025-07-01,Fylker,Telemark,Reiseliv og transport,249.0,66.0
2025-07-01,Fylker,Telemark,Serviceyrker og annet arbeid,342.0,71.0
2025-07-01,Fylker,Telemark,Undervisning,131.0,23.0
2025-07-01,Fylker,Troms,Akademiske yrker,41.0,38.0
2025-07-01,Fylker,Troms,Barne- og ungdomsarbeid,86.0,57.0
2025-07-01,Fylker,Troms,Butikk- og salgsarbeid,170.0,306.0
2025-07-01,Fylker,Troms,Bygg og anlegg,154.0,93.0
2025-07-01,Fylker,Troms,"Helse, pleie og omsorg",142.0,556.0
2025-07-01,Fylker,Troms,Industriarbeid,201.0,83.0
2025-07-01,Fylker,Troms,Ingen yrkesbakgrunn eller uoppgitt,254.0,4.0
2025-07-01,Fylker,Troms,Ingeniør- og ikt-fag,76.0,129.0
2025-07-01,Fylker,Troms,"Jordbruk, skogbruk og fiske",39.0,8.0
2025-07-01,Fylker,Troms,Kontorarbeid,114.0,89.0
2025-07-01,Fylker,Troms,Ledere,44.0,59.0
2025-07-01,Fylker,Troms,Meglere og konsulenter,31.0,39.0
2025-07-01,Fylker,Troms,Reiseliv og transport,195.0,200.0
2025-07-01,Fylker,Troms,Serviceyrker og annet arbeid,164.0,240.0
2025-07-01,Fylker,Troms,Undervisning,89.0,89.0
2025-07-01,Fylker,Trøndelag,Akademiske yrker,121.0,104.0
2025-07-01,Fylker,Trøndelag,Barne- og ungdomsarbeid,348.0,188.0
2025-07-01,Fylker,Trøndelag,Butikk- og salgsarbeid,674.0,491.0
2025-07-01,Fylker,Trøndelag,Bygg og anlegg,690.0,284.0
2025-07-01,Fylker,Trøndelag,"Helse, pleie og omsorg",465.0,634.0
2025-07-01,Fylker,Trøndelag,Industriarbeid,691.0,195.0
2025-07-01,Fylker,Trøndelag,Ingen yrkesbakgrunn eller uoppgitt,973.0,3.0
2025-07-01,Fylker,Trøndelag,Ingeniør- og ikt-fag,417.0,253.0
2025-07-01,Fylker,Trøndelag,"Jordbruk, skogbruk og fiske",90.0,16.0
2025-07-01,Fylker,Trøndelag,Kontorarbeid,403.0,135.0
2025-07-01,Fylker,Trøndelag,Ledere,251.0,97.0
2025-07-01,Fylker,Trøndelag,Meglere og konsulenter,143.0,113.0
2025-07-01,Fylker,Trøndelag,Reiseliv og transport,630.0,335.0
2025-07-01,Fylker,Trøndelag,Serviceyrker og annet arbeid,689.0,218.0
2025-07-01,Fylker,Trøndelag,Undervisning,434.0,99.0
2025-07-01,Fylker,UKJENT,Butikk- og salgsarbeid,,2.0
2025-07-01,Fylker,UKJENT,Ingeniør- og ikt-fag,,5.0
2025-07-01,Fylker,UKJENT,Ledere,,2.0
2025-07-01,Fylker,UTLAND,"Helse, pleie og omsorg",,1.0
2025-07-01,Fylker,UTLAND,Ingeniør- og ikt-fag,,17.0
2025-07-01,Fylker,UTLAND,Kontorarbeid,,12.0
2025-07-01,Fylker,UTLAND,Ledere,,1.0
2025-07-01,Fylker,UTLAND,Undervisning,,1.0
2025-07-01,Fylker,Ukjent,Akademiske yrker,1.0,
2025-07-01,Fylker,Ukjent,Barne- og ungdomsarbeid,1.0,
