region,næring (SN2007),antall ansatte,statistikkvariabel,år,value
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2009,76
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2010,76
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2011,76
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2012,73
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2013,81
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2014,76
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2015,83
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2016,84
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2017,88
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2018,86
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2019,88
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2020,80
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2021,88
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2022,81
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2023,82
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2024,77
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2025,72
Porsgrunn,"Jordbruk, skogbruk og fiske",Ingen ansatte,Bedrifter,2026,71
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2009,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2010,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2011,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2012,7
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2013,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2014,4
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2015,4
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2016,4
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2017,3
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2018,3
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2019,4
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2020,4
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2021,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2022,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2023,5
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2024,8
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2025,7
Porsgrunn,"Jordbruk, skogbruk og fiske",1-4 ansatte,Bedrifter,2026,6
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2009,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2010,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2011,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2012,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2013,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2014,0
