Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Marina service AS,974391716,,14,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Stasjonsdrift bvlarsen AS,823774192,,14,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Tuddal byggevarer AS,965734414,,14,2100,Private aksjeselskaper mv.,,Hjartdal,,Aksjeselskap,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,,
Sport outlet brotorvet AS,915770584,,14,2100,Private aksjeselskaper mv.,,Bamble,Bjørnafjorden,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Stathelle apotek AS,929761642,,14,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.730,Butikkhandel med apotekvarer,,,,
Varmehandel AS,991617744,,14,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,47.789,Butikkhandel ikke nevnt annet sted,,,,
Tinn maxitaxi AS,916183070,,14,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,49.320,Drosjebiltransport,,,,
Vognmand nilsen AS,931068199,,14,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,49.320,Drosjebiltransport,,,,
Brødrene hansen AS,964783128,,14,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,49.410,Godstransport på vei,,,,
Jensen transport AS,932762544,,14,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,49.410,Godstransport på vei,,,,
Øvre Telemark samdistribusjon AS,968166379,,14,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,49.410,Godstransport på vei,,,,
Rauland høgfjellshotell AS,986387978,,14,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Rjukan hotell AS,927377853,,14,2100,Private aksjeselskaper mv.,,Tinn,Tinn,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Cafe ak AS,924413611,,14,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Klosterstua AS,976259084,,14,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Mocktail AS,927494310,,14,2100,Private aksjeselskaper mv.,,Porsgrunn,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Pizza fjoset AS,970980946,,14,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Provence restaurant AS,924624590,,14,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Stavelin Kragerø sentrum AS,924724021,,14,2100,Private aksjeselskaper mv.,,Kragerø,Kristiansand,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Stopp en halv AS,976473256,,14,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Forvaltningsenteret AS,984227876,,14,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,63.110,"Databehandling, datalagring og tilknyttede tjenester",,,,
Fast travel AS,931855654,,14,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,63.120,Drift av web-portaler,,,,
Bratsberg eiendom drift AS,991984151,,14,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Faun naturforvaltning AS,984731604,,14,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Edge branding AS,980429849,,14,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,73.110,Reklamebyråer,,,,
I siste lita event AS,930343595,,14,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",,,,
Siljan kommune avdeling for administrasjon,974643995,864953042,14,6500,Kommuneforvaltningen,,Siljan,Siljan,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Stiftinga tuddal montessoriskule,920223451,,14,2100,Private aksjeselskaper mv.,,Hjartdal,,Stiftelse,85.201,Ordinær grunnskoleundervisning,,,,
Melum barnehage sa,979861427,,14,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,88.911,Barnehager,,,,
Solstua kulturbarnehage AS,984668732,,14,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,88.911,Barnehager,,,,
Hulfjell gård AS,818322852,,14,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,88.999,Andre sosialtjenester uten botilbud,55.300,Drift av campingplasser,,
Nome kyrkjelege fellesråd,976991532,,14,6500,Kommuneforvaltningen,,Nome,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Seljord sokn,976991680,,14,6500,Kommuneforvaltningen,,Seljord,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Tokke kyrkjelege fellesråd,976991907,,14,6500,Kommuneforvaltningen,,Tokke,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Hoppestad gård AS,921966229,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",,,,
Løvenskiold-fossum skog ans,987868821,,13,2300,Personlige foretak,,Skien,,Ansvarlig selskap med solidarisk ansvar,02.200,Avvirkning,,,,
Tinholt bakeri AS,976589505,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,,,,
Port-teknikk AS,998522005,,13,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,25.120,Produksjon av dører og vinduer av metall,,,,
Cody AS,996658163,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,27.900,Produksjon av annet elektrisk utstyr,,,,
Vest-telemark kraftlag holding AS,925604313,,13,1520,Kommunalt eide aksjeselskaper mv.,,Tokke,,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Skagerak energitjenester AS,929369491,,13,1120,Statlig eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.140,Handel med elektrisitet,,,,
Midt-Telemark bygg AS,985625506,,13,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Hst maskin AS,997345673,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.120,Grunnarbeid,,,,
Midt-Telemark graveservice AS,925813648,,13,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.120,Grunnarbeid,,,,
Nytt rør AS,993458287,,13,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Oskar johansen AS,971082879,,13,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Malerbua AS,881596822,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.341,Malerarbeid,,,,
Murmester einar espedalen AS,880993062,,13,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Jd sveiseservice AS,979952554,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",,,,
Matek-samson regulering AS,853179272,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.900,Uspesifisert engroshandel,,,,
Bunnpris Drangedal AS,990357811,,13,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Magnus velkom AS,998746361,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mathuset falkum AS,999024602,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
