Kommune,Skoleår,År,Skoleår_slutt,Kjønn,Spm.id,Klassetrinn,Måltall,Andel,SortKommune
Notodden,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.078,12
Notodden,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.07400000000000001,12
Notodden,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.075,12
Siljan,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Siljan,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,15
Bamble,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.066,3
Bamble,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.062,3
