Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortKjonn,SortAlder
Hele landet,2007-2016,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.6,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",856.0,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.1,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",255.0,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.2,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",232.0,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",88.6,1,1
Hele landet,2008-2017,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.2,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",842.7,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.6,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",243.8,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.1,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",228.5,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.7,1,1
Hele landet,2009-2018,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.1,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",829.6,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.1,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",233.2,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.9,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",225.0,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",86.7,1,1
Hele landet,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",50.5,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",815.9,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.1,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",223.1,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.3,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",220.5,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",85.1,1,1
Hele landet,2011-2020,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",50.1,1,1
