Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortKjonn,SortAlder
Notodden,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",222.7,1,1
Notodden,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",100.0,1,1
Notodden,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.9,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",881.6,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",19.7,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",270.2,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",55.6,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",222.4,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",105.8,1,1
Notodden,2011-2020,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.1,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",879.8,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",21.0,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",273.6,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",56.1,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",221.9,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.0,1,1
Notodden,2012-2021,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.0,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",870.7,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",23.4,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",259.3,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.8,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",225.4,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",96.8,1,1
Notodden,2013-2022,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.7,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",873.5,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",24.6,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",250.8,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.3,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",224.1,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.6,1,1
Notodden,2014-2023,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.1,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",850.8,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",22.1,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",232.1,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",54.4,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",210.1,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",99.6,1,1
Notodden,2015-2024,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",58.5,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",951.2,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",352.9,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",62.7,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",237.9,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",103.2,1,1
Siljan,2001-2010,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.1,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",941.2,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",342.1,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",66.4,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",248.0,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",111.2,1,1
Siljan,2002-2011,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",42.6,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",890.8,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",326.2,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",64.9,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",242.8,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",113.8,1,1
Siljan,2003-2012,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",41.8,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",827.3,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",282.4,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",68.0,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",232.1,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",120.6,1,1
Siljan,2004-2013,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",31.9,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",825.5,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",265.7,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",70.8,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",240.3,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",126.9,1,1
Siljan,2005-2014,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",35.8,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",824.8,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",245.7,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",78.2,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",225.8,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",132.9,1,1
Siljan,2006-2015,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.4,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",792.4,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",230.9,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",67.2,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",202.9,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",111.7,1,1
Siljan,2007-2016,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",61.0,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",741.6,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",198.5,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",56.6,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",185.1,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",100.1,1,1
Siljan,2008-2017,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.7,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",685.2,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",170.8,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",46.4,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",192.7,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",88.8,1,1
Siljan,2009-2018,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",63.0,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",671.5,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",160.8,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.8,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",195.6,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",82.1,1,1
Siljan,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",61.7,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",641.9,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",143.4,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",31.5,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",182.2,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",83.6,1,1
Siljan,2011-2020,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",64.5,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",633.0,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",130.9,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",22.9,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",184.9,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",69.5,1,1
Siljan,2012-2021,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",79.0,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",664.8,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",144.5,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",25.8,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",183.6,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",71.2,1,1
Siljan,2013-2022,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",92.9,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",642.3,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",149.6,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",24.9,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",163.7,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",61.7,1,1
Siljan,2014-2023,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",90.7,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",633.6,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",143.8,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",17.2,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",151.9,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",45.8,1,1
Siljan,2015-2024,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",84.8,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1046.9,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.6,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",398.0,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.2,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",248.8,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.2,1,1
Bamble,2001-2010,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",60.6,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1023.2,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.7,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",391.1,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",47.4,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",247.2,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",101.8,1,1
Bamble,2002-2011,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",61.4,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1004.9,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",19.0,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",382.9,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.0,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",245.4,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",104.8,1,1
Bamble,2003-2012,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",61.5,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",979.6,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",17.7,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",365.3,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",49.9,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",242.7,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",104.2,1,1
Bamble,2004-2013,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",56.1,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",971.1,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.6,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",354.5,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",51.4,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",241.5,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",105.9,1,1
Bamble,2005-2014,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.7,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",945.0,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.6,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",338.4,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.2,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",240.7,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",108.8,1,1
Bamble,2006-2015,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.9,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",939.2,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.7,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",325.3,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",48.2,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",235.2,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",100.6,1,1
Bamble,2007-2016,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",58.2,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",918.6,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.2,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",299.5,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.5,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",237.1,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",99.5,1,1
Bamble,2008-2017,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",62.9,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",900.5,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.5,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",287.7,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",51.8,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",225.5,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",98.2,1,1
Bamble,2009-2018,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",59.2,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",905.9,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.1,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",272.7,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",54.8,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",229.2,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",100.5,1,1
Bamble,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",63.8,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",881.4,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.6,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",256.5,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",54.0,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",224.9,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",103.1,1,1
Bamble,2011-2020,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",63.9,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",866.4,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.5,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",243.6,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.8,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",218.2,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",107.4,1,1
Bamble,2012-2021,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",60.2,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",857.3,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.4,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",232.8,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",59.2,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",215.3,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",110.5,1,1
Bamble,2013-2022,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",60.8,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",834.7,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.7,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",225.5,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.1,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",207.8,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",105.6,1,1
Bamble,2014-2023,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",62.0,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",823.0,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.0,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",222.6,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",55.0,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",206.0,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",101.5,1,1
Bamble,2015-2024,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",63.7,1,1
Kragerø,2001-2010,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1019.1,1,1
