År;Dyrka jord;Dyrkbar jord
2005;981;293
2006;376;137
2007;930;255
2008;373;260
2009;387;622
2010;212;740
2011;258;247
2012;370;371
2013;465;76
2014;163;207
2015;199;296
2016;154;94
2017;156;104
2018;324;525
2019;225;144
2020;260;129
