Radetiketter;Hele landet; Vestfold;Telemark
Kommuneforvaltning;660820;651786;654680
Helse- og omsorgstj.;607499;578981;584223
Statsforvaltning;1019717;953600;1011270
Varehandel;722254;734939;613302
Industri;998916;1043846;1193976
Offentlig administrasjon;1112954;996986;1097955
Bygg- og anlegg;877050;847436;836711
Undervisning;767024;761628;772388
Faglig, vitenskapelig og teknisk tjenesteyting;1099086;845283;1195333
Finansiering- og forsikring;3276389;2585714;2843333
Informasjon og kommunikasjon;1439960;1115862;1230833
