;Hele landet;Vestfold;Telemark
2008;605193;555082;579637
2009;616462;569175;567826
2010;649828;571407;604111
2011;667854;582534;607056
2012;701676;622242;624937
2013;731477;651313;662410
2014;760445;654862;679497
2015;780610;688405;732736
2016;801387;715695;730483
2017;823456;729740;754374
2018;852237;761769;806683
2019;879855;771210;836061
