Geografi,År,Kjønn,Alder,Vaksine mot,Måltall,Andel,SortKjonn,SortAlder
Nome,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),98.6,1,1
Nome,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.1,1,1
Nome,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),95.1,1,1
Nome,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.1,1,1
Nome,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),98.9,1,1
Nome,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.9,1,1
Nome,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),95.0,1,1
Nome,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.0,1,1
Nome,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),98.5,1,1
Nome,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.8,1,1
Nome,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),95.0,1,1
Nome,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.0,1,1
Nome,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),98.3,1,1
Nome,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.7,1,1
Nome,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),95.1,1,1
Nome,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.9,1,1
Nome,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),98.0,1,1
Nome,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.9,1,1
Nome,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),95.8,1,1
Nome,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.5,1,1
Nome,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),98.2,1,1
Nome,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.8,1,1
Midt-Telemark,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),88.5,1,1
Midt-Telemark,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),89.9,1,1
Midt-Telemark,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),91.3,1,1
Midt-Telemark,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),88.4,1,1
Midt-Telemark,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),89.6,1,1
Midt-Telemark,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),91.0,1,1
Midt-Telemark,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),92.6,1,1
Midt-Telemark,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),89.6,1,1
Midt-Telemark,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),89.8,1,1
Midt-Telemark,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),91.1,1,1
Midt-Telemark,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),93.4,1,1
Midt-Telemark,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),89.7,1,1
Midt-Telemark,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),91.6,1,1
Midt-Telemark,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),91.5,1,1
Midt-Telemark,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),94.9,1,1
Midt-Telemark,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),91.5,1,1
Midt-Telemark,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),92.8,1,1
Midt-Telemark,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.7,1,1
Midt-Telemark,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),95.5,1,1
Midt-Telemark,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.7,1,1
Midt-Telemark,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),94.5,1,1
Midt-Telemark,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.3,1,1
Midt-Telemark,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),95.8,1,1
Midt-Telemark,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.3,1,1
Midt-Telemark,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),95.4,1,1
Midt-Telemark,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.2,1,1
Midt-Telemark,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),96.3,1,1
Midt-Telemark,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.2,1,1
Midt-Telemark,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),96.0,1,1
Midt-Telemark,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.8,1,1
Midt-Telemark,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),96.8,1,1
Midt-Telemark,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.0,1,1
Midt-Telemark,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),95.7,1,1
Midt-Telemark,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.7,1,1
Midt-Telemark,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),96.6,1,1
Midt-Telemark,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.7,1,1
Midt-Telemark,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),95.4,1,1
Midt-Telemark,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.4,1,1
Midt-Telemark,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),96.0,1,1
Midt-Telemark,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.4,1,1
Seljord,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),96.7,1,1
Seljord,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.3,1,1
Seljord,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),98.4,1,1
Seljord,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.7,1,1
Seljord,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),96.7,1,1
Seljord,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.2,1,1
Seljord,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),98.9,1,1
Seljord,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.7,1,1
Seljord,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),96.5,1,1
Seljord,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.1,1,1
Seljord,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),98.8,1,1
Seljord,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Seljord,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),96.4,1,1
Seljord,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.4,1,1
Seljord,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),99.4,1,1
Seljord,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.4,1,1
Seljord,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),97.1,1,1
Seljord,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.1,1,1
Seljord,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),100.0,1,1
Seljord,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.6,1,1
Seljord,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),97.1,1,1
Seljord,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.1,1,1
Seljord,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),100.0,1,1
Seljord,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.6,1,1
Seljord,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.8,1,1
Seljord,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.8,1,1
Seljord,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),98.9,1,1
Seljord,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.2,1,1
Seljord,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),96.9,1,1
Seljord,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.4,1,1
Seljord,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),98.5,1,1
Seljord,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.4,1,1
Seljord,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),96.3,1,1
Seljord,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.7,1,1
Seljord,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),97.9,1,1
Seljord,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.3,1,1
Seljord,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),96.1,1,1
Seljord,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.9,1,1
Seljord,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),97.8,1,1
Seljord,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.7,1,1
Hjartdal,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),93.0,1,1
Hjartdal,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.0,1,1
Hjartdal,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),91.9,1,1
Hjartdal,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),91.9,1,1
Hjartdal,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),93.6,1,1
Hjartdal,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.6,1,1
Hjartdal,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),93.6,1,1
Hjartdal,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.6,1,1
Hjartdal,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),94.0,1,1
Hjartdal,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.0,1,1
Hjartdal,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),95.2,1,1
Hjartdal,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.9,1,1
Hjartdal,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),98.7,1,1
Hjartdal,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.1,1,1
Hjartdal,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),98.7,1,1
Hjartdal,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.1,1,1
Hjartdal,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),97.7,1,1
Hjartdal,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.5,1,1
Hjartdal,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),98.8,1,1
Hjartdal,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Hjartdal,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),96.4,1,1
Hjartdal,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.2,1,1
Hjartdal,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),97.6,1,1
Hjartdal,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.2,1,1
Hjartdal,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),94.8,1,1
Hjartdal,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.5,1,1
Hjartdal,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.4,1,1
Hjartdal,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.5,1,1
Hjartdal,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),94.1,1,1
Hjartdal,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.9,1,1
Hjartdal,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),96.5,1,1
Hjartdal,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.9,1,1
Hjartdal,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),92.0,1,1
Hjartdal,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.0,1,1
Hjartdal,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),95.5,1,1
Hjartdal,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.0,1,1
Hjartdal,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),89.0,1,1
Hjartdal,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),87.8,1,1
Hjartdal,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),95.1,1,1
Hjartdal,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),89.0,1,1
Tinn,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),95.6,1,1
Tinn,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Tinn,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),96.3,1,1
Tinn,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.9,1,1
Tinn,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),96.4,1,1
Tinn,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.0,1,1
Tinn,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),96.7,1,1
Tinn,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.7,1,1
Tinn,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),95.6,1,1
Tinn,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Tinn,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),96.6,1,1
Tinn,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.0,1,1
Tinn,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),95.7,1,1
Tinn,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Tinn,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),97.0,1,1
Tinn,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.0,1,1
Tinn,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),97.1,1,1
Tinn,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.7,1,1
Tinn,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),97.7,1,1
Tinn,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.1,1,1
Tinn,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),96.5,1,1
Tinn,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.8,1,1
Tinn,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),97.4,1,1
Tinn,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Tinn,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.2,1,1
Tinn,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Tinn,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.5,1,1
Tinn,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.2,1,1
Tinn,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),95.5,1,1
Tinn,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.5,1,1
Tinn,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),96.6,1,1
Tinn,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.5,1,1
Tinn,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),95.2,1,1
Tinn,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.1,1,1
Tinn,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),96.0,1,1
Tinn,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.2,1,1
Tinn,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),95.0,1,1
Tinn,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.1,1,1
Tinn,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),96.9,1,1
Tinn,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.8,1,1
Kviteseid,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),95.0,1,1
Kviteseid,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.0,1,1
Kviteseid,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),98.3,1,1
Kviteseid,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.2,1,1
Kviteseid,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),95.8,1,1
Kviteseid,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.8,1,1
Kviteseid,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),98.3,1,1
Kviteseid,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.0,1,1
Kviteseid,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),94.8,1,1
Kviteseid,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.8,1,1
Kviteseid,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),97.4,1,1
Kviteseid,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.9,1,1
Kviteseid,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),96.0,1,1
Kviteseid,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.0,1,1
Kviteseid,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),97.0,1,1
Kviteseid,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.0,1,1
Kviteseid,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),95.3,1,1
Kviteseid,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Kviteseid,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),98.1,1,1
Kviteseid,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.3,1,1
Kviteseid,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),97.2,1,1
Kviteseid,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.2,1,1
Kviteseid,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),98.2,1,1
Kviteseid,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.2,1,1
Kviteseid,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.5,1,1
Kviteseid,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.5,1,1
Kviteseid,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),98.3,1,1
Kviteseid,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Kviteseid,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),97.4,1,1
Kviteseid,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.4,1,1
Kviteseid,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),99.1,1,1
Kviteseid,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.4,1,1
Kviteseid,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),95.8,1,1
Kviteseid,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.8,1,1
Kviteseid,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),97.5,1,1
Kviteseid,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.8,1,1
Kviteseid,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),95.6,1,1
Kviteseid,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.6,1,1
Kviteseid,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),96.5,1,1
Kviteseid,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.6,1,1
Nissedal,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),94.6,1,1
Nissedal,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.6,1,1
Nissedal,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),97.3,1,1
Nissedal,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.6,1,1
Nissedal,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),93.4,1,1
Nissedal,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.4,1,1
Nissedal,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),97.4,1,1
Nissedal,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.4,1,1
Nissedal,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),92.5,1,1
Nissedal,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.5,1,1
Nissedal,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),97.5,1,1
Nissedal,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.5,1,1
Nissedal,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),92.3,1,1
Nissedal,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.3,1,1
Nissedal,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),98.9,1,1
Nissedal,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.3,1,1
Nissedal,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),89.5,1,1
Nissedal,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),89.5,1,1
Nissedal,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),95.8,1,1
Nissedal,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),89.5,1,1
Nissedal,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),91.3,1,1
Nissedal,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),91.3,1,1
Nissedal,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),96.1,1,1
Nissedal,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),91.3,1,1
Nissedal,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),91.7,1,1
Nissedal,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),91.7,1,1
Nissedal,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),96.9,1,1
Nissedal,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),91.7,1,1
Nissedal,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),89.8,1,1
Nissedal,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),89.8,1,1
Nissedal,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),94.9,1,1
Nissedal,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),89.8,1,1
Nissedal,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),87.4,1,1
Nissedal,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),87.4,1,1
Nissedal,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),89.5,1,1
Nissedal,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),87.4,1,1
Nissedal,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),86.5,1,1
Nissedal,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),86.5,1,1
Nissedal,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),89.9,1,1
Nissedal,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),86.5,1,1
Fyresdal,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),96.5,1,1
Fyresdal,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.5,1,1
Fyresdal,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),98.8,1,1
Fyresdal,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Fyresdal,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),96.5,1,1
Fyresdal,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.5,1,1
Fyresdal,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),97.7,1,1
Fyresdal,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Fyresdal,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),95.3,1,1
Fyresdal,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Fyresdal,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),96.5,1,1
Fyresdal,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Fyresdal,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),95.4,1,1
Fyresdal,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.4,1,1
Fyresdal,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),96.6,1,1
Fyresdal,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.6,1,1
Fyresdal,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),92.9,1,1
Fyresdal,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.9,1,1
Fyresdal,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),95.2,1,1
Fyresdal,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.0,1,1
Fyresdal,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),91.7,1,1
Fyresdal,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),91.7,1,1
Fyresdal,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),92.9,1,1
Fyresdal,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.9,1,1
Fyresdal,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),88.9,1,1
Fyresdal,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),88.9,1,1
Fyresdal,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),91.4,1,1
Fyresdal,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),90.1,1,1
Fyresdal,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),83.8,1,1
Fyresdal,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),83.8,1,1
Fyresdal,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),87.5,1,1
Fyresdal,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),83.8,1,1
Fyresdal,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),81.3,1,1
Fyresdal,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),81.3,1,1
