Kommune,År (intervall),År,Måltall,Andel,SortKommune
Hele landet,2015/2016,2016-01-01,andel (prosent),0.23800000000000002,2
Hele landet,2016/2017,2017-01-01,andel (prosent),0.26899999999999996,2
Hele landet,2017/2018,2018-01-01,andel (prosent),0.316,2
Hele landet,2018/2019,2019-01-01,andel (prosent),0.382,2
Hele landet,2019/2020,2020-01-01,andel (prosent),0.434,2
Hele landet,2020/2021,2021-01-01,andel (prosent),0.597,2
Hele landet,2021/2022,2022-01-01,andel (prosent),0.628,2
Hele landet,2022/2023,2023-01-01,andel (prosent),0.623,2
Hele landet,2023/2024,2024-01-01,andel (prosent),0.645,2
Hele landet,2024/2025,2025-01-01,andel (prosent),0.6579999999999999,2
Telemark,2015/2016,2016-01-01,andel (prosent),0.218,1
Telemark,2016/2017,2017-01-01,andel (prosent),0.254,1
Telemark,2017/2018,2018-01-01,andel (prosent),0.292,1
Telemark,2018/2019,2019-01-01,andel (prosent),0.376,1
Telemark,2019/2020,2020-01-01,andel (prosent),0.41,1
Telemark,2020/2021,2021-01-01,andel (prosent),0.622,1
Telemark,2021/2022,2022-01-01,andel (prosent),0.66,1
Telemark,2022/2023,2023-01-01,andel (prosent),0.6559999999999999,1
Telemark,2023/2024,2024-01-01,andel (prosent),0.664,1
Telemark,2024/2025,2025-01-01,andel (prosent),0.6729999999999999,1
Porsgrunn,2015/2016,2016-01-01,andel (prosent),0.23,13
Porsgrunn,2016/2017,2017-01-01,andel (prosent),0.268,13
Porsgrunn,2017/2018,2018-01-01,andel (prosent),0.29,13
Porsgrunn,2018/2019,2019-01-01,andel (prosent),0.384,13
Porsgrunn,2019/2020,2020-01-01,andel (prosent),0.43200000000000005,13
Porsgrunn,2020/2021,2021-01-01,andel (prosent),0.62,13
Porsgrunn,2021/2022,2022-01-01,andel (prosent),0.682,13
Porsgrunn,2022/2023,2023-01-01,andel (prosent),0.6629999999999999,13
Porsgrunn,2023/2024,2024-01-01,andel (prosent),0.669,13
Porsgrunn,2024/2025,2025-01-01,andel (prosent),0.657,13
Skien,2015/2016,2016-01-01,andel (prosent),0.16899999999999998,16
Skien,2016/2017,2017-01-01,andel (prosent),0.21899999999999997,16
Skien,2017/2018,2018-01-01,andel (prosent),0.254,16
Skien,2018/2019,2019-01-01,andel (prosent),0.33299999999999996,16
Skien,2019/2020,2020-01-01,andel (prosent),0.35700000000000004,16
Skien,2020/2021,2021-01-01,andel (prosent),0.621,16
Skien,2021/2022,2022-01-01,andel (prosent),0.6509999999999999,16
Skien,2022/2023,2023-01-01,andel (prosent),0.667,16
Skien,2023/2024,2024-01-01,andel (prosent),0.6779999999999999,16
Skien,2024/2025,2025-01-01,andel (prosent),0.696,16
Notodden,2015/2016,2016-01-01,andel (prosent),0.244,12
Notodden,2016/2017,2017-01-01,andel (prosent),0.326,12
Notodden,2017/2018,2018-01-01,andel (prosent),0.35,12
Notodden,2018/2019,2019-01-01,andel (prosent),0.442,12
Notodden,2019/2020,2020-01-01,andel (prosent),0.46299999999999997,12
Notodden,2020/2021,2021-01-01,andel (prosent),0.647,12
Notodden,2021/2022,2022-01-01,andel (prosent),0.652,12
Notodden,2022/2023,2023-01-01,andel (prosent),0.633,12
