ogc_fid;SSBID250M;est_tot;emp_tot
2;19250006618000;1;0
3;19252506617000;2;0
4;19252506617250;1;0
5;19252506617500;1;3
6;19252506618500;3;0
7;19255006616750;2;0
8;19255006617000;5;3
9;19255006617250;2;0
10;19255006617500;5;12
11;19255006617750;1;1
12;19255006618250;1;0
13;19255006618500;1;0
14;19257506617000;1;0
15;19257506617250;2;0
16;19257506617500;1;8
17;19260006616750;1;0
18;19260006617000;1;0
19;19262506617250;1;0
20;19267506617250;1;0
21;19387506630750;1;0
22;19390006630500;3;10
23;19390006630750;1;0
24;19392506630250;1;0
25;19392506630500;3;0
26;19392506630750;4;0
27;19392506631000;1;0
28;19400006601250;1;0
29;19400006604000;1;1
30;19402506601250;1;0
31;19402506602000;1;0
32;19402506602500;3;1
33;19402506602750;2;1
34;19402506603750;4;0
35;19402506782000;1;0
36;19402506782500;2;0
37;19405006600750;1;0
38;19405006601000;4;0
39;19405006601250;1;0
40;19405006601750;1;0
41;19405006602000;2;1
42;19405006602250;2;0
43;19405006602750;3;0
44;19405006603750;4;1
45;19405006604750;3;0
46;19405006606500;2;2
47;19405006782250;2;18
48;19407506598250;2;6
49;19407506600500;4;0
50;19407506601000;1;1
51;19407506602000;1;0
52;19407506603250;4;15
53;19407506604000;1;0
54;19407506604250;3;0
55;19407506605250;1;0
56;19407506605500;1;0
57;19407506606000;2;0
58;19407506606250;2;0
59;19407506606500;3;3
60;19407506606750;9;4
61;19407506607000;3;0
62;19407506769500;1;0
63;19410006598000;1;0
64;19410006600000;4;1
65;19410006600500;2;1
66;19410006600750;1;0
67;19410006603250;1;0
68;19410006605250;3;3
69;19410006605500;6;10
70;19410006605750;1;0
71;19410006606000;2;0
72;19410006606250;4;2
73;19410006606500;2;0
74;19410006606750;1;0
75;19410006782500;1;8
76;19412506603500;1;0
77;19412506603750;4;4
78;19412506604750;3;0
79;19412506605000;3;0
80;19412506605500;2;0
81;19412506605750;2;5
82;19412506606000;2;0
83;19412506606250;3;6
84;19412506606500;2;0
85;19412506609250;14;30
86;19412506609500;14;39
87;19412506609750;4;6
88;19412506610000;12;33
89;19412506610250;3;27
90;19412506610500;2;2
91;19412506782000;5;46
92;19412506782250;8;379
93;19412506782750;1;0
94;19415006598250;2;0
95;19415006600250;3;0
96;19415006603500;2;0
97;19415006605000;2;0
98;19415006605500;1;0
99;19415006605750;5;24
100;19415006606000;1;10
101;19415006606250;2;0
102;19415006606500;4;0
103;19415006606750;2;0
104;19415006607000;5;7
105;19415006607250;1;0
106;19415006608000;2;0
107;19415006609250;15;21
108;19415006609500;9;20
109;19415006609750;7;4
110;19415006610000;6;2
111;19415006610250;14;5
112;19415006610500;1;0
113;19415006623500;1;0
114;19415006623750;1;1
115;19415006781750;1;27
