ogc_fid;SSBID250M;est_tot;emp_tot
1;19250006618000;1;0
2;19252506617250;2;0
3;19252506618500;2;0
4;19255006616750;1;0
5;19255006617000;5;4
6;19255006617250;2;0
7;19255006617500;5;15
8;19255006617750;1;1
9;19255006618250;1;0
10;19255006618500;1;0
11;19257506616750;1;5
12;19257506617000;1;0
13;19257506617250;1;0
14;19257506617500;2;8
15;19260006616750;1;0
16;19260006617000;1;0
17;19262506617250;1;0
18;19267506617250;1;0
19;19387506630750;1;0
20;19390006630500;3;9
21;19390006630750;1;0
22;19392506630250;1;0
23;19392506630500;3;0
24;19392506630750;2;0
25;19392506631000;2;0
26;19400006604000;1;0
27;19402506602500;5;0
28;19402506602750;4;2
29;19402506603750;3;0
30;19402506782500;1;0
31;19405006600750;1;0
32;19405006601000;4;3
33;19405006601250;1;0
34;19405006601500;2;0
35;19405006601750;1;0
36;19405006602000;1;0
37;19405006602250;2;0
38;19405006602750;2;0
39;19405006603750;3;0
40;19405006604750;3;0
41;19405006606500;3;1
42;19405006782250;1;15
43;19407506598250;1;3
44;19407506600500;3;0
45;19407506600750;1;0
46;19407506601500;1;0
47;19407506602000;1;0
48;19407506603250;2;14
49;19407506604000;1;0
50;19407506604250;3;0
51;19407506605250;1;0
52;19407506605500;1;0
53;19407506606000;2;0
54;19407506606500;2;1
55;19407506606750;5;4
56;19407506607000;3;0
57;19407506782250;1;0
58;19407506782500;1;0
59;19410006598000;1;0
60;19410006600000;5;1
61;19410006600500;4;0
62;19410006600750;1;0
63;19410006603250;1;0
64;19410006605250;3;3
65;19410006605500;3;13
66;19410006605750;1;0
67;19410006606000;2;0
68;19410006606250;4;2
69;19410006606500;1;0
70;19410006782500;1;8
71;19412506600500;1;0
72;19412506603750;3;3
73;19412506605000;3;0
74;19412506605250;1;0
75;19412506605500;2;0
76;19412506605750;2;4
77;19412506606000;4;0
78;19412506606250;5;5
79;19412506606500;1;0
80;19412506609250;6;22
81;19412506609500;12;35
82;19412506609750;8;13
83;19412506610000;14;60
84;19412506610250;5;29
85;19412506610500;3;1
86;19412506771750;1;0
87;19412506772000;1;0
88;19412506782000;4;52
89;19412506782250;5;342
90;19412506782750;1;0
91;19415006597750;1;0
92;19415006598000;1;0
93;19415006598250;1;0
94;19415006600250;1;0
95;19415006603500;1;1
96;19415006605000;2;0
97;19415006605500;1;0
98;19415006605750;3;27
99;19415006606000;1;7
100;19415006606250;1;0
101;19415006606500;1;0
102;19415006606750;3;0
103;19415006607000;7;4
104;19415006607250;2;0
105;19415006608000;1;0
106;19415006609250;13;9
107;19415006609500;5;20
108;19415006609750;7;5
109;19415006610000;7;0
110;19415006610250;16;4
111;19415006610500;2;2
112;19415006623250;1;0
113;19415006623500;1;0
114;19415006623750;1;0
115;19415006781750;1;27
116;19415006782000;12;43
117;19415006782250;1;3
118;19415006782500;1;0
119;19417506598000;3;0
120;19417506600000;1;0
121;19417506600250;1;0
122;19417506605500;1;0
123;19417506605750;1;0
124;19417506606250;4;0
125;19417506606500;2;0
126;19417506606750;1;0
127;19417506607500;2;3
128;19417506607750;2;0
129;19417506608000;1;0
130;19417506609250;5;23
131;19417506609500;1;0
132;19417506609750;5;4
133;19417506610000;10;66
134;19417506610250;10;81
135;19417506610500;7;1
136;19417506610750;2;0
137;19417506781250;1;0
138;19417506781750;1;0
139;19417506782250;1;0
140;19420006598000;3;1
141;19420006598500;1;0
142;19420006599750;1;0
143;19420006606000;4;4
144;19420006606250;2;0
145;19420006607250;3;0
146;19420006608250;4;0
147;19420006608500;6;7
148;19420006609000;1;0
149;19420006609250;5;1
150;19420006609500;13;62
151;19420006609750;8;128
152;19420006610000;39;190
153;19420006610250;29;116
154;19420006610500;29;120
155;19420006610750;4;1
156;19420006611250;13;16
157;19420006623500;2;0
158;19420006779250;2;0
159;19420006781250;1;0
160;19420006782250;2;0
161;19422506598000;5;3
162;19422506598250;1;0
163;19422506608000;7;32
164;19422506608250;1;0
165;19422506608500;1;0
166;19422506608750;4;0
167;19422506609000;5;0
168;19422506609250;2;2
169;19422506609500;3;21
170;19422506609750;9;366
171;19422506610000;3;0
172;19422506610250;2;1
173;19422506610500;1;2
174;19422506610750;6;0
175;19422506611000;1;0
176;19422506611250;2;8
177;19422506611500;2;2
178;19422506611750;1;3
179;19422506612000;5;5
180;19422506612250;8;0
181;19422506781000;2;1
182;19422506781250;2;0
183;19422506781750;6;8
184;19425006598000;1;0
185;19425006599000;1;0
186;19425006607500;1;0
187;19425006607750;2;0
188;19425006608250;2;0
189;19425006608500;9;2
190;19425006608750;6;1
191;19425006609000;2;0
192;19425006609250;9;57
193;19425006609500;3;0
194;19425006609750;7;157
195;19425006610000;5;0
196;19425006610250;4;27
197;19425006610500;1;0
198;19425006610750;2;0
199;19425006611000;7;25
200;19425006611250;6;29
201;19425006611500;5;7
202;19425006611750;1;0
203;19425006612000;2;3
204;19425006782000;1;2
205;19427506597500;1;0
206;19427506597750;1;0
207;19427506598000;1;22
208;19427506598250;10;44
209;19427506607750;1;0
210;19427506608000;1;0
211;19427506608500;2;1
212;19427506608750;1;0
213;19427506609000;3;1
214;19427506609250;3;1
215;19427506609500;6;8
216;19427506609750;9;0
217;19427506610000;2;6
218;19427506610250;3;0
219;19427506610500;9;3
220;19427506610750;2;0
221;19427506611000;3;0
222;19427506611250;2;0
223;19427506611500;6;31
224;19427506611750;2;0
225;19427506761500;1;0
226;19427506807500;1;0
227;19427506811000;3;0
228;19430006597500;7;3
229;19430006597750;1;0
230;19430006598000;8;7
231;19430006598250;12;43
232;19430006609000;1;0
233;19430006609500;8;18
234;19430006609750;5;3
235;19430006610000;3;4
236;19430006610250;6;4
237;19430006610500;7;13
238;19430006610750;1;0
239;19430006611000;2;33
240;19430006611250;3;0
241;19430006611750;6;7
242;19430006614000;5;1
243;19430006614250;2;0
244;19430006614500;1;0
245;19430006767750;1;0
246;19430006807500;1;0
247;19432506596750;2;0
248;19432506597000;2;0
249;19432506597250;5;2
250;19432506597500;8;58
251;19432506597750;6;0
252;19432506598000;2;11
253;19432506598250;4;8
254;19432506609750;1;6
255;19432506610000;1;0
256;19432506610250;2;0
257;19432506610500;15;5
258;19432506610750;2;1
259;19432506611250;3;8
260;19432506611500;1;0
261;19432506611750;4;4
262;19432506612000;3;0
263;19432506614250;8;3
264;19432506614500;1;0
265;19432506757750;2;0
266;19432506758000;1;0
267;19432506760250;1;0
268;19432506764250;1;0
269;19432506764500;2;0
270;19432506766000;2;1
271;19432506768500;4;16
272;19432506808250;1;0
273;19432506811500;1;0
274;19435006596750;2;2
