ogc_fid;SSBID250M;est_tot;emp_tot
265;19432506768000;1;1
266;19432506768250;1;0
267;19432506768500;3;2
268;19432506808000;1;0
269;19432506811500;1;0
270;19432506811750;1;0
271;19435006596750;4;2
272;19435006597000;3;0
273;19435006597250;4;0
274;19435006597500;4;0
275;19435006597750;3;0
276;19435006610500;1;0
277;19435006611500;1;0
278;19435006613250;2;0
279;19435006613500;2;3
280;19435006613750;1;11
281;19435006614000;1;0
282;19435006757500;1;0
283;19435006760250;3;0
284;19435006761750;1;0
285;19435006764000;1;0
286;19435006764250;1;1
287;19435006765750;1;0
288;19435006768250;3;4
289;19435006768500;2;0
290;19437506597000;5;13
291;19437506597250;17;36
292;19437506597500;9;15
293;19437506597750;3;146
294;19437506609250;1;0
295;19437506613000;2;0
296;19437506613250;1;0
297;19437506613500;2;2
298;19437506613750;3;11
299;19437506614000;3;1
300;19437506617000;1;1
301;19437506617250;2;1
302;19437506757500;2;1
303;19437506763750;1;0
304;19437506766000;3;0
305;19440006597000;6;71
306;19440006597250;51;91
307;19440006597500;26;218
308;19440006597750;2;0
309;19440006598000;4;0
310;19440006612750;1;1
311;19440006613000;1;0
312;19440006613250;2;0
313;19440006613500;6;0
314;19440006613750;10;39
315;19440006614000;4;0
316;19440006614250;5;1
317;19440006616750;4;5
318;19440006617250;2;29
319;19440006617750;1;1
320;19440006760500;1;0
321;19440006763750;1;8
322;19440006764750;1;0
323;19442506597250;5;1
324;19442506597500;7;68
325;19442506597750;3;5
326;19442506611250;1;0
327;19442506613250;5;16
328;19442506613500;3;0
329;19442506613750;6;3
330;19442506614000;3;0
331;19442506614250;1;0
332;19442506616500;1;1
333;19442506616750;2;0
334;19442506757500;3;4
335;19442506759750;1;1
336;19442506760250;1;0
337;19442506762750;1;1
338;19442506764000;1;1
339;19445006596750;20;692
340;19445006597000;7;4
341;19445006597250;10;0
342;19445006597500;2;1
343;19445006597750;4;0
344;19445006611500;1;0
345;19445006612750;2;0
346;19445006613000;3;0
347;19445006613250;13;71
348;19445006613500;13;26
349;19445006613750;7;0
350;19445006614000;10;1
351;19445006614750;3;12
352;19445006616750;3;1
353;19445006646750;1;7
354;19445006757750;1;17
355;19445006763000;1;0
356;19447506596750;2;0
357;19447506597000;1;0
358;19447506597250;8;1
359;19447506597500;2;0
360;19447506597750;6;1
361;19447506598250;1;0
362;19447506598750;1;0
363;19447506611750;2;103
364;19447506612250;1;0
365;19447506612500;2;0
366;19447506612750;3;0
367;19447506613000;3;5
368;19447506613500;4;0
369;19447506613750;4;4
370;19447506614000;1;5
371;19447506614500;2;0
372;19447506614750;3;1
373;19447506616750;1;0
374;19447506619250;2;68
375;19447506646750;1;3
376;19447506759750;2;12
377;19447506760000;1;2
378;19447506760250;1;14
379;19447506760500;2;0
380;19447506766500;1;0
381;19450006597750;1;3
382;19450006598000;5;17
383;19450006598250;3;0
384;19450006599000;1;0
385;19450006600750;1;0
386;19450006601250;1;0
387;19450006611500;2;10
388;19450006611750;3;86
389;19450006612000;2;3
390;19450006612250;3;3
391;19450006612500;7;2
392;19450006612750;6;45
393;19450006613000;2;2
394;19450006613250;1;0
395;19450006614000;1;6
396;19450006614250;2;1
397;19450006614500;1;4
398;19450006646750;3;3
399;19450006760000;3;18
400;19450006760250;1;23
401;19450006760500;1;0
402;19450006761000;1;0
403;19450006761250;1;0
404;19450006838750;1;0
405;19452506597500;2;0
406;19452506597750;1;0
407;19452506599000;4;8
408;19452506611500;4;13
409;19452506611750;13;97
410;19452506612250;5;1
411;19452506612500;3;1
412;19452506612750;2;24
413;19452506614000;2;1
414;19452506615000;4;137
415;19452506619750;2;7
416;19452506620000;1;0
417;19452506621000;1;0
418;19452506646750;1;0
419;19452506647000;1;0
420;19452506753000;1;0
421;19452506753250;1;0
422;19452506760250;1;0
423;19452506760750;3;0
424;19452506763500;1;0
425;19452506838250;1;0
426;19452506838500;2;0
427;19452506839250;1;0
428;19452506839500;1;0
429;19455006597000;1;0
430;19455006597500;1;0
431;19455006599500;1;1
432;19455006612500;1;8
433;19455006613250;4;0
434;19455006616500;1;0
435;19455006620000;1;0
436;19455006620250;1;5
437;19455006753250;2;0
438;19455006753500;3;0
439;19455006756250;1;0
440;19455006756500;1;0
441;19455006757750;2;0
442;19455006759750;1;0
443;19455006761000;1;0
444;19455006806750;1;0
445;19455006815250;1;0
446;19455006815500;1;0
447;19455006838000;1;0
448;19455006838250;2;0
449;19455006839000;4;4
450;19457506597000;1;0
451;19457506610750;2;0
452;19457506611000;2;1
453;19457506611250;2;0
454;19457506613000;2;1
455;19457506613250;2;0
456;19457506620500;2;0
457;19457506622750;1;0
458;19457506623500;1;0
