ogc_fid;SSBID250M;est_tot;emp_tot
1;19250006618000;1;0
2;19252506617250;3;0
3;19252506617500;1;0
4;19252506617750;1;0
5;19252506618500;4;0
6;19255006616750;3;0
7;19255006617000;5;4
8;19255006617250;1;0
9;19255006617500;4;3
10;19255006617750;4;23
11;19255006618250;3;0
12;19255006618500;1;0
13;19257506616750;1;2
14;19257506617000;1;0
15;19257506617250;2;0
16;19257506617500;1;8
17;19260006616750;1;0
18;19262506617250;1;0
19;19267506617250;1;0
20;19387506630750;1;0
21;19390006630500;2;0
22;19390006630750;1;0
23;19392506630250;1;0
24;19392506630500;4;7
25;19392506630750;5;0
26;19392506631000;1;0
27;19395006630750;1;0
28;19400006601250;1;0
29;19400006603750;1;0
30;19400006604000;2;1
31;19402506602000;1;0
32;19402506602500;2;0
33;19402506602750;3;3
34;19402506603750;4;0
35;19402506782500;2;0
36;19405006600750;1;0
37;19405006601000;3;0
38;19405006601250;2;0
39;19405006601500;4;0
40;19405006601750;2;0
41;19405006602000;2;1
42;19405006602250;2;0
43;19405006602750;3;0
44;19405006603750;5;1
45;19405006604000;1;0
46;19405006604750;2;0
47;19405006606500;2;0
48;19405006606750;1;0
49;19405006782250;1;14
50;19407506598250;1;0
51;19407506600500;4;0
52;19407506601000;1;2
53;19407506601250;1;0
54;19407506602000;2;3
55;19407506603250;1;19
56;19407506604250;2;1
57;19407506604750;1;0
58;19407506605250;1;0
59;19407506605500;1;0
60;19407506606000;2;0
61;19407506606250;1;0
62;19407506606500;3;3
63;19407506606750;11;9
64;19407506607000;3;1
65;19407506782250;1;0
66;19407506782500;1;0
67;19410006598000;1;0
68;19410006600000;3;0
69;19410006600500;2;1
70;19410006600750;1;0
71;19410006605250;3;0
72;19410006605500;8;17
73;19410006605750;2;0
74;19410006606000;4;0
75;19410006606250;4;2
76;19410006606500;1;0
77;19410006606750;3;1
78;19410006782250;1;0
79;19410006782500;1;6
80;19412506603000;1;0
81;19412506603750;9;6
82;19412506604750;2;2
83;19412506605000;1;0
84;19412506605500;4;0
85;19412506605750;4;12
86;19412506606000;2;0
87;19412506606250;4;0
88;19412506606500;1;0
89;19412506609250;16;36
90;19412506609500;16;43
91;19412506609750;9;24
92;19412506610000;9;77
93;19412506610250;4;28
94;19412506610500;1;2
95;19412506772000;1;0
96;19412506782000;5;40
97;19412506782250;6;420
98;19412506782750;1;0
99;19415006597750;1;0
100;19415006603500;2;0
101;19415006605000;1;0
102;19415006605500;1;0
103;19415006605750;3;6
104;19415006606000;1;10
105;19415006606250;2;0
106;19415006606500;4;1
107;19415006606750;1;0
108;19415006607000;5;5
109;19415006607250;1;0
110;19415006608000;2;0
111;19415006609250;21;35
112;19415006609500;12;29
113;19415006609750;15;4
114;19415006610000;9;2
115;19415006610250;12;7
116;19415006610500;1;0
117;19415006623250;1;0
