Region;Navn;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined
;;"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: EU/EFTA-land, Nord-Amerika, Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";"Verdensregion: Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand";Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle;Verdensregion: Alle
;;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer
;;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021
K3801;Horten;624;573;552;462;431;356;323;303;428;468;553;604;610;610;608;468;1052;1041;1105;1066;1041;966;931;771;514;536;562;587;654;715;796;868;865;903;944;976;1028;1073;1122;1202;1379;1439;1506;1563;1682;1788;1918;2070;287;353;434;510;470;455;410;383;335;357;362;379;393;400;433;517;622;710;796;889;863;855;843;900;1425;1462;1548;1559;1555;1526;1529;1554;1628;1728;1859;1959;2031;2083;2163;2187;3053;3190;3407;3518;3586;3609;3692;3741;0;1462;;;;;;;0;1728;;;;;;;0;3190;;;;;;
K3804;Sandefjord (f.o.m. 2017);;;;1553;1484;1480;1241;1220;;;;1051;1141;1202;1201;1122;;;;2604;2625;2682;2442;2342;;;;1340;1614;1868;2083;2375;;;;2160;2299;2455;2635;2784;;;;3500;3913;4323;4718;5159;;;;1537;1523;1491;1492;1391;;;;799;838;859;909;1028;;;;2336;2361;2350;2401;2419;;;;4430;4621;4839;4816;4986;;;;4010;4278;4516;4745;4934;;;;8440;8899;9355;9561;9920;;;;;;;;;;;;;;;;;;;;;;;;
K3806;Porsgrunn;571;540;490;439;377;323;295;257;623;596;636;743;676;654;652;638;1194;1136;1126;1182;1053;977;947;895;543;563;587;635;704;749;818;900;967;1029;1082;1149;1197;1264;1387;1445;1510;1592;1669;1784;1901;2013;2205;2345;269;318;405;407;404;419;414;386;381;448;439;458;539;567;535;604;650;766;844;865;943;986;949;990;1383;1421;1482;1481;1485;1491;1527;1543;1971;2073;2157;2350;2412;2485;2574;2687;3354;3494;3639;3831;3897;3976;4101;4230;0;1421;;;;;;;0;2073;;;;;;;0;3494;;;;;;
K3807;Skien;877;835;792;760;641;518;479;400;1050;954;895;931;953;890;876;808;1927;1789;1687;1691;1594;1408;1355;1208;869;894;935;986;1128;1249;1375;1505;2040;2198;2351;2449;2581;2733;2963;3220;2909;3092;3286;3435;3709;3982;4338;4725;441;546;631;708;699;674;664;648;845;866;893;980;1003;1053;1024;993;1286;1412;1524;1688;1702;1727;1688;1641;2187;2275;2358;2454;2468;2441;2518;2553;3935;4018;4139;4360;4537;4676;4863;5021;6122;6293;6497;6814;7005;7117;7381;7574;0;2275;;;;;;;0;4018;;;;;;;0;6293;;;;;;
K3808;Notodden;247;228;226;188;158;139;143;132;233;274;316;348;340;320;311;255;480;502;542;536;498;459;454;387;148;154;159;179;203;246;287;336;170;203;221;233;269;282;309;341;318;357;380;412;472;528;596;677;111;141;195;227;211;189;199;170;139;142;168;193;192;213;218;242;250;283;363;420;403;402;417;412;506;523;580;594;572;574;629;638;542;619;705;774;801;815;838;838;1048;1142;1285;1368;1373;1389;1467;1476;0;523;;;;;;;0;619;;;;;;;0;1142;;;;;;
K3812;Siljan;14;11;11;7;3;3;3;6;53;54;57;59;61;62;51;36;67;65;68;66;64;65;54;42;27;27;27;31;33;41;47;44;17;17;20;22;34;31;37;38;44;44;47;53;67;72;84;82;6;11;9;10;10;13;9;11;23;26;31;38;38;31;35;35;29;37;40;48;48;44;44;46;47;49;47;48;46;57;59;61;93;97;108;119;133;124;123;109;140;146;155;167;179;181;182;170;0;49;;;;;;;0;97;;;;;;;0;146;;;;;;
K3813;Bamble;161;153;127;102;90;77;51;58;263;264;258;279;286;265;240;188;424;417;385;381;376;342;291;246;160;167;175;181;204;230;249;280;129;153;177;189;223;264;293;318;289;320;352;370;427;494;542;598;97;130;152;172;144;137;136;108;165;168;178;185;228;220;210;233;262;298;330;357;372;357;346;341;418;450;454;455;438;444;436;446;557;585;613;653;737;749;743;739;975;1035;1067;1108;1175;1193;1179;1185;0;450;;;;;;;0;585;;;;;;;0;1035;;;;;;
