Befolkningsgruppe;Ingen;Uoppgitt;Grunnskole;Videregående skole;Universitet og høgskole
Befolkningen unntatt innvandrere;0;0,4;18,4;43,8;37,4
Innvandrere;1,3;2,1;27,4;33,2;36,1
