Geografi,År,Kjønn,Alder,Andel
Notodden,2018-01-01,Kjønn samlet,0-17,6.4
Notodden,2019-01-01,Kjønn samlet,0-17,5.4
Notodden,2020-01-01,Kjønn samlet,0-17,5.4
Notodden,2021-01-01,Kjønn samlet,0-17,5.7
Notodden,2022-01-01,Kjønn samlet,0-17,5.1
Notodden,2023-01-01,Kjønn samlet,0-17,4.9
Notodden,2024-01-01,Kjønn samlet,0-17,5.0
Siljan,2015-01-01,Kjønn samlet,0-17,3.9
Siljan,2016-01-01,Kjønn samlet,0-17,4.2
Siljan,2017-01-01,Kjønn samlet,0-17,4.1
Siljan,2018-01-01,Kjønn samlet,0-17,4.6
Siljan,2019-01-01,Kjønn samlet,0-17,4.7
Siljan,2020-01-01,Kjønn samlet,0-17,5.2
Siljan,2021-01-01,Kjønn samlet,0-17,6.9
Siljan,2022-01-01,Kjønn samlet,0-17,5.8
Siljan,2023-01-01,Kjønn samlet,0-17,4.7
Siljan,2024-01-01,Kjønn samlet,0-17,5.4
Bamble,2015-01-01,Kjønn samlet,0-17,6.4
Bamble,2016-01-01,Kjønn samlet,0-17,6.6
Bamble,2017-01-01,Kjønn samlet,0-17,6.2
Bamble,2018-01-01,Kjønn samlet,0-17,5.9
Bamble,2019-01-01,Kjønn samlet,0-17,6.1
Bamble,2020-01-01,Kjønn samlet,0-17,5.9
Bamble,2021-01-01,Kjønn samlet,0-17,5.9
Bamble,2022-01-01,Kjønn samlet,0-17,6.1
Bamble,2023-01-01,Kjønn samlet,0-17,5.6
Bamble,2024-01-01,Kjønn samlet,0-17,4.9
Kragerø,2015-01-01,Kjønn samlet,0-17,5.9
Kragerø,2016-01-01,Kjønn samlet,0-17,5.4
Kragerø,2017-01-01,Kjønn samlet,0-17,5.2
Kragerø,2018-01-01,Kjønn samlet,0-17,5.3
Kragerø,2019-01-01,Kjønn samlet,0-17,4.8
Kragerø,2020-01-01,Kjønn samlet,0-17,5.0
Kragerø,2021-01-01,Kjønn samlet,0-17,5.0
Kragerø,2022-01-01,Kjønn samlet,0-17,4.6
Kragerø,2023-01-01,Kjønn samlet,0-17,3.4
