Kommune,Andel,Label
Tokke,29,Tokke
Tinn,45,Tinn
Hjartdal,14,Hjartdal
Kviteseid,22,Kviteseid
Vinje,21,Vinje
Nissedal,24,Nissedal
Seljord,27,Seljord
Fyresdal,34,Fyresdal
Drangedal,33,Drangedal
Kragerø,46,Kragerø
Midt-Telemark,35,Midt-Telemark
Notodden,42,Notodden
Nome,26,Nome
Siljan,17,Siljan
Bamble,55,Bamble
Skien,73,Skien
Porsgrunn,68,Porsgrunn
Telemark,54,Telemark
