Kommune,Andel (2021-2023),Label
Bamble,10,Bamble
Drangedal,15,Drangedal
Fyresdal,7,Fyresdal
Hjartdal,12,Hjartdal
Kragerø,9,Kragerø
Kviteseid,6,Kviteseid
Midt-Telemark,12,Midt-Telemark
Nissedal,9,Nissedal
Nome,12,Nome
Notodden,12,Notodden
Porsgrunn,12,Porsgrunn
Seljord,11,Seljord
Siljan,8,Siljan
Skien,14,Skien
Tinn,14,Tinn
Tokke,8,Tokke
Vinje,8,Vinje
Telemark,12,Telemark
Hele landet,10,Hele landet
