Kommune,Andel (2021-2023),Label
Bamble,8,Bamble
Drangedal,8,Drangedal
Fyresdal,7,Fyresdal
Hjartdal,9,Hjartdal
Kragerø,7,Kragerø
Kviteseid,8,Kviteseid
Midt-Telemark,11,Midt-Telemark
Nissedal,9,Nissedal
Nome,7,Nome
Notodden,9,Notodden
Porsgrunn,10,Porsgrunn
Seljord,8,Seljord
Siljan,7,Siljan
Skien,10,Skien
Tinn,9,Tinn
Tokke,8,Tokke
Vinje,9,Vinje
Telemark,9,Telemark
Hele landet,9,Hele landet
