Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2020,,,,,,2020,mars
I alt,300634.0,10.7,234376.0,354.0,2.4,2020,mars
Oslo,53453.0,13.8,43320.0,428.0,2.6,2020,mars
Rogaland,25055.0,9.9,18923.0,309.0,2.4,2020,mars
Møre og Romsdal,13874.0,10.0,10659.0,332.0,2.3,2020,mars
Nordland,10515.0,8.5,7894.0,301.0,2.1,2020,mars
Viken,70721.0,11.1,55754.0,373.0,2.4,2020,mars
Innlandet,18321.0,9.7,14443.0,372.0,2.1,2020,mars
Vestfold og Telemark,22112.0,10.6,16050.0,265.0,2.9,2020,mars
Agder,15560.0,10.3,11884.0,323.0,2.4,2020,mars
Vestland,34274.0,10.2,26406.0,336.0,2.3,2020,mars
Trøndelag - Trööndelage,23710.0,9.6,18752.0,378.0,2.0,2020,mars
Troms og Finnmark - Romsa ja Finnmárku,12604.0,9.6,9873.0,362.0,2.1,2020,mars
Øvrige områder,235.0,,223.0,1858.0,,2020,mars
Ukjent,200.0,,195.0,3900.0,,2020,mars
