Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2019,,,,,,2019,juli
I alt,66337.0,2.4,-4221.0,-6.0,2.5,2019,juli
Østfold,4606.0,3.2,274.0,6.0,3.0,2019,juli
Akershus,6908.0,2.1,-98.0,-1.0,2.2,2019,juli
Oslo,10738.0,2.8,-103.0,-1.0,2.9,2019,juli
Hedmark,2120.0,2.2,171.0,9.0,2.0,2019,juli
Oppland,1764.0,1.8,147.0,9.0,1.7,2019,juli
Buskerud,3672.0,2.5,-186.0,-5.0,2.6,2019,juli
Vestfold,3654.0,2.9,-190.0,-5.0,3.1,2019,juli
Telemark,2299.0,2.7,-15.0,-1.0,2.7,2019,juli
Aust-Agder,1468.0,2.6,-252.0,-15.0,3.0,2019,juli
Vest-Agder,2359.0,2.5,-241.0,-9.0,2.8,2019,juli
Rogaland,6135.0,2.4,-1305.0,-18.0,3.0,2019,juli
Hordaland,6753.0,2.4,-1292.0,-16.0,2.9,2019,juli
Sogn og Fjordane,860.0,1.5,-28.0,-3.0,1.5,2019,juli
Møre og Romsdal,3035.0,2.2,-574.0,-16.0,2.6,2019,juli
Nordland,2359.0,1.9,-128.0,-5.0,2.0,2019,juli
Troms Romsa,1615.0,1.8,47.0,3.0,1.8,2019,juli
Finnmark Finnmárku,1133.0,2.8,-83.0,-7.0,3.0,2019,juli
Trøndelag,4844.0,2.0,-376.0,-7.0,2.1,2019,juli
Øvrige områder,6.0,,2.0,50.0,,2019,juli
Ukjent,9.0,,,,,2019,juli
