Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2020,,,,,,2020,juli
I alt,139838.0,4.9,73501.0,111.0,2.4,2020,juli
Oslo,26430.0,6.7,15692.0,146.0,2.8,2020,juli
Rogaland,12467.0,4.9,6332.0,103.0,2.4,2020,juli
Møre og Romsdal,5878.0,4.2,2859.0,95.0,2.2,2020,juli
Nordland,3980.0,3.2,1629.0,69.0,1.9,2020,juli
Viken,35381.0,5.5,19900.0,129.0,2.4,2020,juli
Innlandet,7225.0,3.8,3526.0,95.0,2.0,2020,juli
Vestfold og Telemark,10401.0,5.0,4558.0,78.0,2.8,2020,juli
Agder,7197.0,4.7,3370.0,88.0,2.5,2020,juli
Vestland,15909.0,4.7,8302.0,109.0,2.3,2020,juli
Trøndelag - Trööndelage,9638.0,3.9,4772.0,98.0,2.0,2020,juli
Troms og Finnmark - Romsa ja Finnmárku,5211.0,4.0,2455.0,89.0,2.1,2020,juli
Øvrige områder,95.0,,89.0,1483.0,,2020,juli
Ukjent,26.0,,17.0,189.0,,2020,juli
