Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2018,,,,,,2018,oktober
I alt,61531.0,2.2,-4481.0,-7.0,2.4,2018,oktober
Østfold,3866.0,2.7,-187.0,-5.0,2.8,2018,oktober
Akershus,6115.0,1.9,-271.0,-4.0,2.0,2018,oktober
Oslo,9570.0,2.5,-260.0,-3.0,2.6,2018,oktober
Hedmark,1807.0,1.9,77.0,4.0,1.8,2018,oktober
Oppland,1581.0,1.6,166.0,12.0,1.4,2018,oktober
Buskerud,3471.0,2.4,220.0,7.0,2.2,2018,oktober
Vestfold,3542.0,2.8,53.0,2.0,2.8,2018,oktober
Telemark,2144.0,2.5,77.0,4.0,2.4,2018,oktober
Aust-Agder,1293.0,2.3,-426.0,-25.0,3.0,2018,oktober
Vest-Agder,2196.0,2.3,-340.0,-13.0,2.7,2018,oktober
Rogaland,6062.0,2.4,-2294.0,-27.0,3.3,2018,oktober
Hordaland,7033.0,2.5,-414.0,-6.0,2.7,2018,oktober
Sogn og Fjordane,747.0,1.3,-29.0,-4.0,1.3,2018,oktober
Møre og Romsdal,3006.0,2.2,-470.0,-14.0,2.5,2018,oktober
Nordland,2329.0,1.9,-78.0,-3.0,1.9,2018,oktober
Troms Romsa,1377.0,1.5,-28.0,-2.0,1.6,2018,oktober
Finnmark Finnmárku,1035.0,2.6,-20.0,-2.0,2.6,2018,oktober
Trøndelag,4350.0,1.8,-255.0,-6.0,1.9,2018,oktober
Øvrige områder,6.0,,-2.0,-25.0,,2018,oktober
Ukjent,,,,,,2018,oktober
