Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2016,,,,,,2016,august
I alt,84669.0,3.1,-33.0,0.0,3.1,2016,august
Østfold,4720.0,3.3,-445.0,-9.0,3.6,2016,august
Akershus,7943.0,2.5,-493.0,-6.0,2.7,2016,august
Oslo,12008.0,3.2,-1139.0,-9.0,3.6,2016,august
Hedmark,2217.0,2.3,-299.0,-12.0,2.6,2016,august
Oppland,1882.0,1.9,-147.0,-7.0,2.1,2016,august
Buskerud,4039.0,2.8,-265.0,-6.0,3.0,2016,august
Vestfold,3948.0,3.2,165.0,4.0,3.0,2016,august
Telemark,2662.0,3.0,-386.0,-13.0,3.5,2016,august
Aust-Agder,2231.0,3.9,-186.0,-8.0,4.2,2016,august
Vest-Agder,3540.0,3.7,113.0,3.0,3.7,2016,august
Rogaland,11748.0,4.5,2457.0,26.0,3.6,2016,august
Hordaland,9788.0,3.5,1681.0,21.0,2.9,2016,august
Sogn og Fjordane,935.0,1.6,-221.0,-19.0,2.0,2016,august
Møre og Romsdal,4571.0,3.2,572.0,14.0,2.9,2016,august
Sør-Trøndelag,4387.0,2.6,-264.0,-6.0,2.8,2016,august
Nord-Trøndelag,1659.0,2.4,-457.0,-22.0,3.1,2016,august
Nordland,3196.0,2.6,-291.0,-8.0,2.8,2016,august
Troms,1848.0,2.1,-252.0,-12.0,2.4,2016,august
Finnmark,1333.0,3.3,-117.0,-8.0,3.7,2016,august
Øvrige områder,8.0,,1.0,14.0,,2016,august
Ukjent,6.0,,-60.0,-91.0,,2016,august
