Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2021,,,,,,2021,juli
I alt,86774.0,3.1,-53064.0,-38.0,4.9,2021,juli
Oslo,16854.0,4.2,-9576.0,-36.0,6.7,2021,juli
Rogaland,7362.0,2.9,-5105.0,-41.0,4.9,2021,juli
Møre og Romsdal,3512.0,2.5,-2366.0,-40.0,4.2,2021,juli
Nordland,2472.0,2.0,-1508.0,-38.0,3.2,2021,juli
Viken,22950.0,3.6,-12431.0,-35.0,5.5,2021,juli
Innlandet,4144.0,2.2,-3081.0,-43.0,3.8,2021,juli
Vestfold og Telemark,6748.0,3.2,-3653.0,-35.0,5.0,2021,juli
Agder,4125.0,2.7,-3072.0,-43.0,4.7,2021,juli
Vestland,9894.0,2.9,-6015.0,-38.0,4.7,2021,juli
Trøndelag - Trööndelage,5672.0,2.3,-3966.0,-41.0,3.9,2021,juli
Troms og Finnmark - Romsa ja Finnmárku,2981.0,2.3,-2230.0,-43.0,4.0,2021,juli
Øvrige områder,51.0,,-44.0,-46.0,,2021,juli
Ukjent,9.0,,-17.0,-65.0,,2021,juli
