Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2017,,,,,,2017,juli
I alt,77431.0,2.8,-10305.0,-12.0,3.2,2017,juli
Østfold,4382.0,3.1,-395.0,-8.0,3.3,2017,juli
Akershus,7155.0,2.2,-880.0,-11.0,2.6,2017,juli
Oslo,11287.0,3.0,-1320.0,-10.0,3.4,2017,juli
Hedmark,1923.0,2.0,-436.0,-18.0,2.4,2017,juli
Oppland,1573.0,1.6,-330.0,-17.0,1.9,2017,juli
Buskerud,4044.0,2.8,-301.0,-7.0,3.0,2017,juli
Vestfold,4013.0,3.2,-106.0,-3.0,3.3,2017,juli
Telemark,2569.0,3.0,-266.0,-9.0,3.2,2017,juli
Aust-Agder,1893.0,3.3,-532.0,-22.0,4.2,2017,juli
Vest-Agder,3105.0,3.3,-559.0,-15.0,3.9,2017,juli
Rogaland,10119.0,4.0,-1831.0,-15.0,4.6,2017,juli
Hordaland,8987.0,3.2,-1115.0,-11.0,3.6,2017,juli
Sogn og Fjordane,953.0,1.6,-40.0,-4.0,1.7,2017,juli
Møre og Romsdal,4027.0,2.9,-615.0,-13.0,3.3,2017,juli
Sør-Trøndelag,4045.0,2.4,-397.0,-9.0,2.6,2017,juli
Nord-Trøndelag,1544.0,2.2,-199.0,-11.0,2.5,2017,juli
Nordland,2667.0,2.1,-678.0,-20.0,2.7,2017,juli
Troms,1820.0,2.0,-180.0,-9.0,2.3,2017,juli
Finnmark,1319.0,3.3,-112.0,-8.0,3.6,2017,juli
Øvrige områder,6.0,,-7.0,-54.0,,2017,juli
Ukjent,,,,,,2017,juli
