År,Fødselsoverskudd,Netto innenlands flytting,Nettoinnvandring,Folkevekst
2010,455,450,2418,3345
2011,378,314,2789,3470
2012,157,208,2860,3214
2013,148,367,2141,2669
2014,142,198,1918,2265
2015,107,375,2305,2843
2016,224,501,2102,2852
2017,-60,506,1619,2080
2018,37,697,1171,1940
2019,-33,607,1091,1685
2020,-152,1584,1025,2486
