År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3807 Skien;55 år;17;24;7
2016;3807 Skien;56 år;9;15;6
2016;3807 Skien;57 år;18;12;-6
2016;3807 Skien;58 år;15;12;-3
2016;3807 Skien;59 år;18;12;-6
2016;3807 Skien;6 år;27;24;-3
2016;3807 Skien;60 år;9;10;1
2016;3807 Skien;61 år;7;13;6
2016;3807 Skien;62 år;16;6;-10
2016;3807 Skien;63 år;11;8;-3
2016;3807 Skien;64 år;8;10;2
2016;3807 Skien;65 år;9;5;-4
2016;3807 Skien;66 år;9;10;1
2016;3807 Skien;67 år;4;4;0
2016;3807 Skien;68 år;8;9;1
2016;3807 Skien;69 år;6;9;3
2016;3807 Skien;7 år;19;18;-1
2016;3807 Skien;70 år;8;12;4
2016;3807 Skien;8 år;21;15;-6
2016;3807 Skien;9 år;15;31;16
2016;3808 Notodden;0 år;1;5;4
2016;3808 Notodden;1 år;7;10;3
2016;3808 Notodden;10 år;2;7;5
2016;3808 Notodden;11 år;6;15;9
2016;3808 Notodden;12 år;2;3;1
2016;3808 Notodden;13 år;3;3;0
2016;3808 Notodden;14 år;5;3;-2
2016;3808 Notodden;15 år;8;9;1
2016;3808 Notodden;16 år;5;5;0
2016;3808 Notodden;17 år;2;3;1
2016;3808 Notodden;18 år;9;12;3
2016;3808 Notodden;19 år;23;15;-8
2016;3808 Notodden;2 år;12;7;-5
2016;3808 Notodden;20 år;19;25;6
2016;3808 Notodden;21 år;23;34;11
2016;3808 Notodden;22 år;29;39;10
2016;3808 Notodden;23 år;19;18;-1
2016;3808 Notodden;24 år;12;16;4
2016;3808 Notodden;25 år;27;20;-7
2016;3808 Notodden;26 år;24;26;2
2016;3808 Notodden;27 år;27;23;-4
2016;3808 Notodden;28 år;19;23;4
2016;3808 Notodden;29 år;12;14;2
2016;3808 Notodden;3 år;4;4;0
2016;3808 Notodden;30 år;7;14;7
2016;3808 Notodden;31 år;20;12;-8
2016;3808 Notodden;32 år;19;13;-6
2016;3808 Notodden;33 år;14;9;-5
2016;3808 Notodden;34 år;8;9;1
2016;3808 Notodden;35 år;4;8;4
2016;3808 Notodden;36 år;6;11;5
2016;3808 Notodden;37 år;9;10;1
2016;3808 Notodden;38 år;7;5;-2
2016;3808 Notodden;39 år;13;8;-5
2016;3808 Notodden;4 år;8;6;-2
2016;3808 Notodden;40 år;7;7;0
2016;3808 Notodden;41 år;5;6;1
2016;3808 Notodden;42 år;7;6;-1
2016;3808 Notodden;43 år;7;6;-1
2016;3808 Notodden;44 år;7;7;0
2016;3808 Notodden;45 år;5;9;4
2016;3808 Notodden;46 år;3;5;2
2016;3808 Notodden;47 år;8;4;-4
2016;3808 Notodden;48 år;6;6;0
2016;3808 Notodden;49 år;6;4;-2
2016;3808 Notodden;5 år;4;11;7
2016;3808 Notodden;50 år;4;5;1
2016;3808 Notodden;51 år;8;4;-4
2016;3808 Notodden;52 år;6;;-6
2016;3808 Notodden;53 år;3;6;3
2016;3808 Notodden;54 år;5;4;-1
2016;3808 Notodden;55 år;2;3;1
2016;3808 Notodden;56 år;3;4;1
2016;3808 Notodden;57 år;6;2;-4
2016;3808 Notodden;58 år;6;3;-3
2016;3808 Notodden;59 år;4;3;-1
2016;3808 Notodden;6 år;3;5;2
2016;3808 Notodden;60 år;2;1;-1
2016;3808 Notodden;61 år;4;4;0
2016;3808 Notodden;62 år;;3;3
2016;3808 Notodden;63 år;2;;-2
2016;3808 Notodden;64 år;4;1;-3
2016;3808 Notodden;65 år;1;3;2
2016;3808 Notodden;66 år;;4;4
2016;3808 Notodden;67 år;1;1;0
2016;3808 Notodden;68 år;2;2;0
2016;3808 Notodden;69 år;;1;1
2016;3808 Notodden;7 år;2;5;3
2016;3808 Notodden;70 år;2;2;0
2016;3808 Notodden;8 år;5;6;1
2016;3808 Notodden;9 år;3;1;-2
2016;3812 Siljan;0 år;1;;-1
2016;3812 Siljan;1 år;1;4;3
2016;3812 Siljan;10 år;;3;3
2016;3812 Siljan;11 år;2;1;-1
2016;3812 Siljan;12 år;;;
2016;3812 Siljan;13 år;1;1;0
2016;3812 Siljan;14 år;1;1;0
2016;3812 Siljan;15 år;;2;2
2016;3812 Siljan;16 år;2;3;1
