Kommunenummer;Kommune;Svaralternativ;Andel;Antall (uvektet);Antall som svarte (uvektet)
4022;Seljord;Jeg/vi er fornøyde med boligen;89.1;284;253
4022;Seljord;Jeg/vi trenger plassen i boligen til familie og besøk;23.9;284;68
4022;Seljord;Jeg/vi er fornøyde med hagen/uteområdet;47.9;284;136
4022;Seljord;Jeg/vi trives i nabolaget der boligen ligger;42.3;284;120
4022;Seljord;Jeg/vi finner ikke passende bolig i ønsket område;2.5;284;7
4022;Seljord;Jeg/vi har ikke råd til å bytte bolig;6.7;284;19
4022;Seljord;Jeg/vi har ikke kapasitet til å bytte bolig;2.8;284;8
4022;Seljord;Annen årsak;6.0;284;17
4024;Hjartdal;Jeg/vi er fornøyde med boligen;81.5;254;207
4024;Hjartdal;Jeg/vi trenger plassen i boligen til familie og besøk;21.3;254;54
4024;Hjartdal;Jeg/vi er fornøyde med hagen/uteområdet;40.6;254;103
4024;Hjartdal;Jeg/vi trives i nabolaget der boligen ligger;34.3;254;87
4024;Hjartdal;Jeg/vi finner ikke passende bolig i ønsket område;2.8;254;7
4024;Hjartdal;Jeg/vi har ikke råd til å bytte bolig;11.4;254;29
4024;Hjartdal;Jeg/vi har ikke kapasitet til å bytte bolig;5.9;254;15
4024;Hjartdal;Annen årsak;11.4;254;29
4026;Tinn;Jeg/vi er fornøyde med boligen;81.2;553;449
4026;Tinn;Jeg/vi trenger plassen i boligen til familie og besøk;18.7;553;103
4026;Tinn;Jeg/vi er fornøyde med hagen/uteområdet;38.8;553;220
4026;Tinn;Jeg/vi trives i nabolaget der boligen ligger;41.7;553;232
4026;Tinn;Jeg/vi finner ikke passende bolig i ønsket område;4.7;553;25
4026;Tinn;Jeg/vi har ikke råd til å bytte bolig;8.1;553;43
4026;Tinn;Jeg/vi har ikke kapasitet til å bytte bolig;3.9;553;21
4026;Tinn;Annen årsak;9.2;553;53
4028;Kviteseid;Jeg/vi er fornøyde med boligen;86.0;301;259
4028;Kviteseid;Jeg/vi trenger plassen i boligen til familie og besøk;23.9;301;72
4028;Kviteseid;Jeg/vi er fornøyde med hagen/uteområdet;47.5;301;143
4028;Kviteseid;Jeg/vi trives i nabolaget der boligen ligger;44.5;301;134
4028;Kviteseid;Jeg/vi finner ikke passende bolig i ønsket område;3.0;301;9
4028;Kviteseid;Jeg/vi har ikke råd til å bytte bolig;9.0;301;27
4028;Kviteseid;Jeg/vi har ikke kapasitet til å bytte bolig;3.0;301;9
4028;Kviteseid;Annen årsak;6.3;301;19
4030;Nissedal;Jeg/vi er fornøyde med boligen;86.2;282;243
4030;Nissedal;Jeg/vi trenger plassen i boligen til familie og besøk;20.6;282;58
4030;Nissedal;Jeg/vi er fornøyde med hagen/uteområdet;44.7;282;126
4030;Nissedal;Jeg/vi trives i nabolaget der boligen ligger;43.3;282;122
4030;Nissedal;Jeg/vi finner ikke passende bolig i ønsket område;2.8;282;8
4030;Nissedal;Jeg/vi har ikke råd til å bytte bolig;7.8;282;22
4030;Nissedal;Jeg/vi har ikke kapasitet til å bytte bolig;2.5;282;7
4030;Nissedal;Annen årsak;7.4;282;21
4032;Fyresdal;Jeg/vi er fornøyde med boligen;88.2;287;253
4032;Fyresdal;Jeg/vi trenger plassen i boligen til familie og besøk;20.9;287;60
4032;Fyresdal;Jeg/vi er fornøyde med hagen/uteområdet;42.9;287;123
4032;Fyresdal;Jeg/vi trives i nabolaget der boligen ligger;40.4;287;116
4032;Fyresdal;Jeg/vi finner ikke passende bolig i ønsket område;4.5;287;13
4032;Fyresdal;Jeg/vi har ikke råd til å bytte bolig;4.5;287;13
4032;Fyresdal;Jeg/vi har ikke kapasitet til å bytte bolig;0.7;287;2
4032;Fyresdal;Annen årsak;11.1;287;32
4034;Tokke;Jeg/vi er fornøyde med boligen;84.4;327;276
4034;Tokke;Jeg/vi trenger plassen i boligen til familie og besøk;20.2;327;66
4034;Tokke;Jeg/vi er fornøyde med hagen/uteområdet;38.5;327;126
4034;Tokke;Jeg/vi trives i nabolaget der boligen ligger;39.4;327;129
4034;Tokke;Jeg/vi finner ikke passende bolig i ønsket område;3.1;327;10
4034;Tokke;Jeg/vi har ikke råd til å bytte bolig;9.5;327;31
4034;Tokke;Jeg/vi har ikke kapasitet til å bytte bolig;4.0;327;13
4034;Tokke;Annen årsak;8.9;327;29
4036;Vinje;Jeg/vi er fornøyde med boligen;85.3;628;535
4036;Vinje;Jeg/vi trenger plassen i boligen til familie og besøk;24.0;628;151
