Kommunenummer;Kommune;Svaralternativ;Andel;Antall (uvektet);Antall som svarte (uvektet)
4020;Midt-Telemark;At den er tilpasset alderen og helsen min;47.6;831;390
4020;Midt-Telemark;Mer plass;24.2;831;207
4020;Midt-Telemark;Mindre plass;12.4;831;101
4020;Midt-Telemark;Egen hage/uteområde;43.4;831;366
4020;Midt-Telemark;Mindre vedlikehold;34.5;831;283
4020;Midt-Telemark;Lave bokostnader;33.9;831;286
4020;Midt-Telemark;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;24.3;831;203
4020;Midt-Telemark;Nærhet til natur;52.4;831;437
4020;Midt-Telemark;Nærhet til kollektivtransport;25.3;831;211
4020;Midt-Telemark;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;44.1;831;367
4020;Midt-Telemark;Annet;12.3;831;100
4022;Seljord;At den er tilpasset alderen og helsen min;53.1;243;129
4022;Seljord;Mer plass;22.2;243;54
4022;Seljord;Mindre plass;16.0;243;39
4022;Seljord;Egen hage/uteområde;33.7;243;82
4022;Seljord;Mindre vedlikehold;32.5;243;79
4022;Seljord;Lave bokostnader;30.9;243;75
4022;Seljord;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;20.6;243;50
4022;Seljord;Nærhet til natur;44.0;243;107
4022;Seljord;Nærhet til kollektivtransport;23.0;243;56
4022;Seljord;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;47.7;243;116
4022;Seljord;Annet;11.9;243;29
4024;Hjartdal;At den er tilpasset alderen og helsen min;54.0;189;102
4024;Hjartdal;Mer plass;28.0;189;53
4024;Hjartdal;Mindre plass;13.8;189;26
4024;Hjartdal;Egen hage/uteområde;41.8;189;79
4024;Hjartdal;Mindre vedlikehold;34.9;189;66
4024;Hjartdal;Lave bokostnader;34.9;189;66
4024;Hjartdal;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;27.0;189;51
4024;Hjartdal;Nærhet til natur;47.6;189;90
4024;Hjartdal;Nærhet til kollektivtransport;25.4;189;48
4024;Hjartdal;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;37.0;189;70
4024;Hjartdal;Annet;11.6;189;22
4026;Tinn;At den er tilpasset alderen og helsen min;56.0;554;313
4026;Tinn;Mer plass;20.8;554;114
4026;Tinn;Mindre plass;13.5;554;78
4026;Tinn;Egen hage/uteområde;39.4;554;217
4026;Tinn;Mindre vedlikehold;37.8;554;211
4026;Tinn;Lave bokostnader;26.5;554;147
4026;Tinn;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;22.4;554;126
4026;Tinn;Nærhet til natur;43.5;554;247
4026;Tinn;Nærhet til kollektivtransport;23.0;554;126
4026;Tinn;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;43.6;554;240
4026;Tinn;Annet;12.8;554;69
4028;Kviteseid;At den er tilpasset alderen og helsen min;54.2;264;143
4028;Kviteseid;Mer plass;19.3;264;51
4028;Kviteseid;Mindre plass;14.0;264;37
4028;Kviteseid;Egen hage/uteområde;37.9;264;100
4028;Kviteseid;Mindre vedlikehold;31.8;264;84
4028;Kviteseid;Lave bokostnader;28.8;264;76
4028;Kviteseid;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;25.0;264;66
4028;Kviteseid;Nærhet til natur;45.1;264;119
4028;Kviteseid;Nærhet til kollektivtransport;20.8;264;55
4028;Kviteseid;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;42.0;264;111
4028;Kviteseid;Annet;13.6;264;36
4030;Nissedal;At den er tilpasset alderen og helsen min;50.3;181;91
4030;Nissedal;Mer plass;17.7;181;32
4030;Nissedal;Mindre plass;16.6;181;30
4030;Nissedal;Egen hage/uteområde;35.9;181;65
4030;Nissedal;Mindre vedlikehold;34.8;181;63
4030;Nissedal;Lave bokostnader;30.4;181;55
4030;Nissedal;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;24.9;181;45
4030;Nissedal;Nærhet til natur;50.3;181;91
4030;Nissedal;Nærhet til kollektivtransport;20.4;181;37
4030;Nissedal;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;45.3;181;82
4030;Nissedal;Annet;12.2;181;22
4032;Fyresdal;At den er tilpasset alderen og helsen min;46.5;198;92
4032;Fyresdal;Mer plass;22.7;198;45
4032;Fyresdal;Mindre plass;10.6;198;21
4032;Fyresdal;Egen hage/uteområde;44.4;198;88
4032;Fyresdal;Mindre vedlikehold;26.8;198;53
4032;Fyresdal;Lave bokostnader;25.3;198;50
4032;Fyresdal;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;24.2;198;48
4032;Fyresdal;Nærhet til natur;47.0;198;93
4032;Fyresdal;Nærhet til kollektivtransport;15.2;198;30
4032;Fyresdal;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;37.4;198;74
4032;Fyresdal;Annet;14.1;198;28
4034;Tokke;At den er tilpasset alderen og helsen min;54.3;258;140
4034;Tokke;Mer plass;26.0;258;67
4034;Tokke;Mindre plass;10.1;258;26
4034;Tokke;Egen hage/uteområde;38.4;258;99
4034;Tokke;Mindre vedlikehold;34.9;258;90
4034;Tokke;Lave bokostnader;31.0;258;80
4034;Tokke;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;30.6;258;79
4034;Tokke;Nærhet til natur;50.4;258;130
4034;Tokke;Nærhet til kollektivtransport;20.2;258;52
4034;Tokke;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;38.0;258;98
4034;Tokke;Annet;13.2;258;34
4036;Vinje;At den er tilpasset alderen og helsen min;49.2;517;252
4036;Vinje;Mer plass;20.2;517;107
4036;Vinje;Mindre plass;13.1;517;66
4036;Vinje;Egen hage/uteområde;35.2;517;185
4036;Vinje;Mindre vedlikehold;33.8;517;174
4036;Vinje;Lave bokostnader;31.2;517;161
4036;Vinje;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;27.0;517;140
4036;Vinje;Nærhet til natur;51.1;517;267
4036;Vinje;Nærhet til kollektivtransport;25.0;517;129
4036;Vinje;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;43.4;517;224
4036;Vinje;Annet;13.5;517;68
40;Telemark;At den er tilpasset alderen og helsen min;54.0;11454;6150
40;Telemark;Mer plass;22.9;11454;2598
40;Telemark;Mindre plass;14.3;11454;1648
40;Telemark;Egen hage/uteområde;38.7;11454;4415
40;Telemark;Mindre vedlikehold;39.8;11454;4487
40;Telemark;Lave bokostnader;35.6;11454;3961
40;Telemark;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;22.9;11454;2657
40;Telemark;Nærhet til natur;43.2;11454;5091
40;Telemark;Nærhet til kollektivtransport;28.9;11454;3202
40;Telemark;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;44.5;11454;5033
40;Telemark;Annet;10.7;11454;1245
