ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;ULYKKESKODE;ANTALL ENHETER;VEGTYPE;STEDSFORHOLD;TETTSTED;FARTSGRENSE;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;UID;UKEDAGSTYPE;ULYKKESTYPE;ULYKKESTYPE UNDERKATEGORI;ÅR;ANTALL ANDRE ENHETER;ANTALL BUSS;ANTALL FOTGJENGERE;ANTALL LASTEBIL;ANTALL LETT MC;ANTALL MC;ANTALL MOPED;ANTALL PERSONBIL;ANTALL SKINNEGÅENDE MATERIELL;ANTALL LITEN ELEKTRISK MOTORVOGN;ANTALL SYKKEL;ANTALL TRAKTOR;ANTALL UKJENTE ENHETER;ANTALL VAREBIL;VEGBELYSNING;FYLKENAVN;FYLKENUMMER;KOMMUNENAVN;KOMMUNENUMMER;VEGSYSTEMREFERANSE;VEGKATEGORI;VEGNUMMER;VEGOBJEKT_ID;Latitude;Longitude;VEGKATEGORI (grupper);ALVORLIGHETSGRAD;MÅNED;ANTALL DREPTE;ANTALL MEGET ALVORLIG SKADET;ANTALL ALVORLIG SKADET;ANTALL LETTERE SKADET;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT;ÅRSDØGNTRAFIKK
fredag 1. april 2005;20:28:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000201164;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2005;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Vinje;4036;;;0;107126626;59,72978771;7,622428223;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;
fredag 1. august 2008;20:55:00;Fredag;Enslig kjøretøy kjørte på trafikkøy eller ende av midtdeler;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;36;UID1000230349;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Seljord;4022;;;0;178285372;59,45089896;8,735171581;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. februar 2008;07:34:00;Fredag;Møting i kurve;2;Motortrafikkveg;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;18;UID1000226533;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2008;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;157082999;59,08396683;9,81478872;Fylkesveg;;2;;;;;Asfalt, oljegrus;Våt, bar veg;Dårlig sikt, nedbør;Mørkt med vegbelysning;Vanlig kjørefelt;2;
fredag 1. juli 2016;15:18:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;51;UID1000278368;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2016;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;;;0;719004167;59,17476817;9,579742799;Fylkesveg;;7;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;2800
fredag 1. november 1996;08:00:00;Fredag;Venstresving foran kjørende i motsatt retning;3;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;36;UID1000204713;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1996;0;0;0;0;0;0;1;1;0;0;0;0;0;1;Ukjent;Telemark;40;Skien;4003;;;0;107147628;59,19063315;9,588974932;Fylkesveg;;11;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. oktober 2004;16:30:00;Fredag;Påkjøring bakfra;3;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;36;UID1000201378;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2004;0;0;0;0;0;0;0;3;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;;;0;107128001;59,19075083;9,588991352;Fylkesveg;;10;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. oktober 2004;20:15:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000201438;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2004;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Kviteseid;4028;;;0;107128345;59,4781117;8,364579358;Fylkesveg;;10;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;
fredag 10. august 2007;15:00:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Europaveg;134;UID1000223199;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2007;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Nei;Telemark;40;Vinje;4036;;;0;143356678;59,61747358;7,852032407;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;1406
fredag 10. august 2007;15:15:00;Fredag;Enslig kjøretøy veltet i kjørebanen;1;Annet (plass m.m.);Annet (P-plass, torv, o. l.);Ikke tettsted;;Kommunal veg;1039;UID1000223594;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2007;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Siljan;4010;;;0;144998522;59,28263838;9,73286487;Fylkesveg;;8;;;;;Grus;Tørr, bar veg;God sikt, opphold;Dagslys;Parkeringsfelt (skiltet / merket);;
fredag 10. februar 2006;20:00:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;36;UID1000200800;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2006;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;;;0;107124434;59,12257013;9,707636473;Fylkesveg;;2;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, nedbør;Mørkt med vegbelysning;Vanlig kjørefelt;3;11124
