ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;ULYKKESKODE;ANTALL ENHETER;VEGTYPE;STEDSFORHOLD;TETTSTED;FARTSGRENSE;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;UID;UKEDAGSTYPE;ULYKKESTYPE;ULYKKESTYPE UNDERKATEGORI;ÅR;ANTALL ANDRE ENHETER;ANTALL BUSS;ANTALL FOTGJENGERE;ANTALL LASTEBIL;ANTALL LETT MC;ANTALL MC;ANTALL MOPED;ANTALL PERSONBIL;ANTALL SKINNEGÅENDE MATERIELL;ANTALL LITEN ELEKTRISK MOTORVOGN;ANTALL SYKKEL;ANTALL TRAKTOR;ANTALL UKJENTE ENHETER;ANTALL VAREBIL;VEGBELYSNING;FYLKENAVN;FYLKENUMMER;KOMMUNENAVN;KOMMUNENUMMER;VEGSYSTEMREFERANSE;VEGKATEGORI;VEGNUMMER;VEGOBJEKT_ID;Latitude;Longitude;VEGKATEGORI (grupper);ALVORLIGHETSGRAD;MÅNED;ANTALL DREPTE;ANTALL MEGET ALVORLIG SKADET;ANTALL ALVORLIG SKADET;ANTALL LETTERE SKADET;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT;ÅRSDØGNTRAFIKK
fredag 12. mars 2010;15:36:00;Fredag;Påkjøring bakfra;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Fylkesveg;49;UID1000242210;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2010;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Nei;Telemark;40;Skien;4003;FV3290 S1D1 m4762;Fylkesveg;3290;245821887;59,18478214;9,603405788;Fylkesveg;;3;;;;;Asfalt, oljegrus;Ukjent;Ukjent;Dagslys;Vanlig kjørefelt;2;10200
fredag 12. november 1993;08:05:00;Fredag;Møting i kurve;2;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;11;UID1000205874;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;1993;0;0;0;1;0;0;0;0;0;0;0;0;0;1;Ukjent;Telemark;40;Notodden;4005;EV134 S40D1 m6744;Europaveg;134;107154711;59,59552903;9,380913494;Europa- og riksveg;;11;;;;;Ukjent;Snø / isbelagt veg;Dårlig sikt, nedbør;Tussmørke, skumring;Ukjent;;
fredag 12. november 1999;15:05:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;354;UID1000203428;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1999;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;RV36 S1D1 m1;Riksveg;36;107140082;59,09883964;9,684996312;Europa- og riksveg;;11;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 12. november 1999;13:00:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;60;Riksveg;36;UID1000203439;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1999;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ukjent;Telemark;40;Skien;4003;;;0;107140146;59,19544336;9,601386359;Fylkesveg;;11;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 12. november 1999;00:10:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;60;Riksveg;354;UID1000203443;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1999;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;RV36 S2D1 m3996;Riksveg;36;107140165;59,17768746;9,623900988;Europa- og riksveg;;11;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Mørkt med vegbelysning;Vanlig kjørefelt;2;
fredag 12. november 2004;07:15:00;Fredag;Avsvinging til høyre foran kjørende i motsatt retning fra fortau eller G/S-veg;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;354;UID1000201343;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra motsatte kjøreretning;2004;0;0;0;0;0;0;0;0;0;0;1;0;0;1;Nei;Telemark;40;Skien;4003;RV36 S2D1 m4317;Riksveg;36;107127778;59,17995422;9,620405486;Europa- og riksveg;;11;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt med vegbelysning;Vanlig kjørefelt;3;20300
fredag 12. november 2004;23:30:00;Fredag;Møting på rett vegstrekning;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Fylkesveg;2;UID1000201344;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2004;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;FV3266 S3D1 m1136;Fylkesveg;3266;107127783;59,11699496;9,652548341;Fylkesveg;;11;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;1906
fredag 12. november 2010;19:12:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;356;UID1000245970;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;FV356 S4D1 m1972;Fylkesveg;356;268829784;59,08159932;9,383016107;Fylkesveg;;11;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, nedbør;Mørkt uten vegbelysning;Vanlig kjørefelt;2;1700
fredag 12. november 2021;20:53:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Fylkesveg;32;UID3549242419;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2021;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Skien;4003;FV32 S7D1 m4825;Fylkesveg;32;1015559028;59,18325953;9,629581811;Fylkesveg;;11;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Mørkt med vegbelysning;Vanlig kjørefelt;2;7059
fredag 12. oktober 1990;17:38:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;36;UID1000207288;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1990;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;RV36 S5D1 m570;Riksveg;36;107162919;59,2151564;9,406753843;Europa- og riksveg;;10;;;;;Ukjent;Våt, bar veg;God sikt, nedbør;Mørkt med vegbelysning;Ukjent;;
fredag 12. oktober 2007;13:00:00;Fredag;Påkjøring av kjørende fra fortau eller G/S-veg, ved høyresving;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;50;Kommunal veg;35700;UID1000224345;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra samme kjøreretning;2007;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Nei;Telemark;40;Skien;4003;KV35700 S1D1 m3334;Kommunal veg;35700;147826824;59,22572813;9,555134749;Kommunal veg;;10;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 12. oktober 2012;06:30:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i høyrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;40;Kommunal veg;87600;UID1000257901;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2012;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;KV87600 S1D1 m1252;Kommunal veg;87600;363947591;59,19964385;9,572018738;Kommunal veg;;10;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Tussmørke, skumring;Vanlig kjørefelt;2;
fredag 12. oktober 2012;08:10:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;37;UID1000258455;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2012;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Notodden;4005;FV37 S12D1 m8716;Fylkesveg;37;369968092;59,83664075;8,95795399;Fylkesveg;;10;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;1000
fredag 12. september 1997;12:20:00;Fredag;Fotgjenger påkjørt på fortau;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;40;Kommunal veg;94900;UID1000204340;Yrkesdøgn;Fotgjenger/akende;Fotgjenger langs vegen eller i kjørebanen;1997;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;KV94900 S1D1 m861;Kommunal veg;94900;107145393;59,20512412;9,617559126;Kommunal veg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 12. september 2003;06:00:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;36;UID1000201904;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2003;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;RV36 S4D1 m3719;Riksveg;36;107131112;59,19245101;9,459018164;Europa- og riksveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;5000
fredag 12. september 2003;11:58:00;Fredag;Uhell med uklart forløp mellom kjøretøy med samme kjøreretning;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;50;Kommunal veg;3055;UID1000201916;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2003;0;0;0;0;0;0;1;0;0;0;1;0;0;0;Nei;Telemark;40;Porsgrunn;4001;KV3055 S2D1 m421;Kommunal veg;3055;107131185;59,13985354;9,672879363;Kommunal veg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 12. september 2003;08:03:00;Fredag;Kryssende kjøreretninger (uten avsvinging);2;Vanlig veg/gate;4 armet kryss (X-kryss);Ikke tettsted;60;Europaveg;134;UID1000201957;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2003;1;0;0;0;1;0;0;0;0;0;0;0;0;0;Ja;Telemark;40;Notodden;4005;EV134 S38D1 m7224;Europaveg;134;107131387;59,57223859;9,199692166;Europa- og riksveg;;9;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;7412
fredag 12. september 2008;22:42:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Riksveg;38;UID1000231663;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Drangedal;4016;FV38 S6D1 m6604;Fylkesveg;38;184942162;59,08160205;9,069173163;Fylkesveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;1700
fredag 12. september 2008;11:32:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Motortrafikkveg;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;18;UID1000231685;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Kragerø;4014;EV18 S22D1 m462;Europaveg;18;186787364;58,87879314;9,175940504;Europa- og riksveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;6450
fredag 12. september 2008;20:25:00;Fredag;Avsvinging til venstre foran kjørende i motsatt retning;2;Vanlig veg/gate;Annet (P-plass, torv, o. l.);Ikke tettsted;70;Europaveg;134;UID1000231692;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra motsatte kjøreretning;2008;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Notodden;4005;EV134 S38D1 m984;Europaveg;134;190479681;59,6005537;9,109441621;Europa- og riksveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;8100
fredag 12. september 2008;15:40:00;Fredag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;601;UID1000231693;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2008;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Notodden;4005;FV3346 S2D1 m7438;Fylkesveg;3346;190485068;59,63937185;9,219456407;Fylkesveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;800
fredag 12. september 2008;23:56:00;Fredag;Fotgjenger gikk på vegens høyre side;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;60;Kommunal veg;1027;UID1000231824;Yrkesdøgn;Fotgjenger/akende;Fotgjenger langs vegen eller i kjørebanen;2008;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Seljord;4022;KV1027 S1D1 m1571;Kommunal veg;1027;197667686;59,47476646;8,598183857;Kommunal veg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;
fredag 12. september 2014;09:45:00;Fredag;Venstresving foran kjørende i samme retning;3;Vanlig veg/gate;4 armet kryss (X-kryss);Tettsted;50;Europaveg;134;UID1000269359;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2014;0;0;0;0;0;0;0;3;0;0;0;0;0;0;Nei;Telemark;40;Hjartdal;4024;EV134 S37D1 m200;Europaveg;134;569837247;59,61359745;8,947723546;Europa- og riksveg;;9;;;;;Asfalt, oljegrus;Ukjent;Ukjent;Dagslys;Vanlig kjørefelt;3;1750
fredag 12. september 2025;22:26:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Fylkesveg;3300;UID0101927419;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2025;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Skien;4003;FV3300 S2D1 m601;Fylkesveg;3300;1027212655;59,19100652;9,552765104;Fylkesveg;;9;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Mørkt med vegbelysning;Vanlig kjørefelt;2;3500
fredag 13. april 2007;13:25:00;Fredag;Fotgjenger krysset kjørebanen på bortsiden av krysset;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;;Kommunal veg;1920;UID1000220247;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;2007;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;132212331;59,13890765;9,647318602;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. april 2007;15:00:00;Fredag;Avsvinging til venstre foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;50;Riksveg;360;UID1000220258;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra motsatte kjøreretning;2007;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ja;Telemark;40;Notodden;4005;FV360 S1D1 m117;Fylkesveg;360;132212381;59,56098696;9,26756723;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;3341
fredag 13. april 2012;13:30:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Europaveg;134;UID1000254951;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2012;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Notodden;4005;EV134 S38D1 m3871;Europaveg;134;334802692;59,59010122;9,153711067;Europa- og riksveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;8150
fredag 13. april 2018;14:30:00;Fredag;Påkjøring bakfra ved venstresving;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;50;Fylkesveg;356;UID1000286195;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra samme kjøreretning;2018;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ja;Telemark;40;Porsgrunn;4001;FV356 S1D10 m652;Fylkesveg;356;852685566;59,13021274;9,642271141;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;12700
fredag 13. april 2018;16:38:00;Fredag;Høyresving foran kjørende i samme retning;2;Vanlig veg/gate;Rundkjøring;Tettsted;60;Europaveg;134;UID1000286196;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2018;0;0;1;0;0;0;1;0;0;0;0;0;0;0;Ja;Telemark;40;Notodden;4005;EV134 S39D1 m451 KD1 m86;Europaveg;134;852685960;59,55746085;9,2557533;Europa- og riksveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;1;2000
fredag 13. august 1999;13:10:00;Fredag;Påkjøring bakfra;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;38;UID1000203574;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;1999;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Kragerø;4014;FV38 S1D1 m2713;Fylkesveg;38;107140885;58,87398486;9,38164379;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. desember 1996;18:05:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;32;UID1000204653;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Ukjent;Telemark;40;Skien;4003;FV32 S6D1 m4782;Fylkesveg;32;107147286;59,23961906;9,642144562;Fylkesveg;;12;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;
fredag 13. desember 1996;12:20:00;Fredag;Fotgjenger krysset kjørebanen foran høyresvingende kjøretøy i kryss;2;Vanlig veg/gate;Annet kryss;Tettsted;50;Kommunal veg;22800;UID1000204654;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;1996;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;KV22800 S1D1 m127;Kommunal veg;22800;107147289;59,21349615;9,602898524;Kommunal veg;;12;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. desember 2002;16:10:00;Fredag;Kryssende kjøreretninger (uten avsvinging);3;Vanlig veg/gate;4 armet kryss (X-kryss);Tettsted;50;Kommunal veg;10000;UID1000202244;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2002;0;0;0;0;0;0;0;3;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;KV10000 S1D1 m94;Kommunal veg;10000;107133074;59,21064212;9,601788299;Kommunal veg;;12;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, opphold;Tussmørke, skumring;Vanlig kjørefelt;2;
fredag 13. februar 1998;18:10:00;Fredag;Ulykke med uklart forløp hvor fotgjenger krysset kjørebanen;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;354;UID1000204154;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;1998;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;RV36 S2D1 m2741;Riksveg;36;107144238;59,16843628;9,634541727;Europa- og riksveg;;2;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Mørkt med vegbelysning;Vanlig kjørefelt;3;
fredag 13. februar 2009;16:22:00;Fredag;Påkjøring bakfra;4;Vanlig veg/gate;Bru;Ikke tettsted;70;Riksveg;354;UID1000234356;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2009;0;0;0;0;0;0;0;3;0;0;0;0;0;1;Ja;Telemark;40;Skien;4003;FV357 S1D10 m415;Fylkesveg;357;210463948;59,19861803;9,581918969;Fylkesveg;;2;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;11250
fredag 13. januar 2023;16:21:00;Fredag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;41;UID7581314143;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2023;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Kviteseid;4028;RV41 S20D1 m413;Riksveg;41;1019204166;59,35901531;8,521194878;Europa- og riksveg;;1;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, nedbør;Mørkt uten vegbelysning;Vanlig kjørefelt;2;1354
fredag 13. juli 2001;15:35:00;Fredag;Møting i kurve;3;Vanlig veg/gate;Bru;Ikke tettsted;80;Riksveg;354;UID1000202771;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2001;0;0;0;0;0;0;0;3;0;0;0;0;0;0;Ja;Telemark;40;Skien;4003;FV357 S1D10 m375;Fylkesveg;357;107136124;59,19897544;9,582072737;Fylkesveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;13000
fredag 13. juli 2001;22:30:00;Fredag;Enslig kjøretøy veltet i kjørebanen;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;50;Kommunal veg;5516;UID1000202801;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2001;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;KV5516 S1D1 m85;Kommunal veg;5516;107136283;59,14494364;9,631170028;Kommunal veg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. juli 2007;15:30:00;Fredag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;50;Kommunal veg;35700;UID1000222316;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2007;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;KV35700 S1D1 m4641;Kommunal veg;35700;140855581;59,21937201;9,571826761;Kommunal veg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. juli 2007;19:00:00;Fredag;Avsvinging til venstre foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;352;UID1000222321;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra motsatte kjøreretning;2007;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Bamble;4012;FV352 S1D1 m616;Fylkesveg;352;140855605;59,04086679;9,700067644;Fylkesveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;3;6018
fredag 13. juli 2018;14:18:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Motortrafikkveg;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;90;Europaveg;18;UID1000287518;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2018;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Kragerø;4014;EV18 S22D1 m2348;Europaveg;18;893884655;58,8800186;9,20490962;Europa- og riksveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;7500
fredag 13. juni 2008;09:00:00;Fredag;Påkjøring bakfra;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;354;UID1000229475;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2008;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;RV36 S1D1 m3474;Riksveg;36;168746363;59,12096205;9,649898111;Europa- og riksveg;;6;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;11000
fredag 13. juni 2008;20:45:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;44;UID1000229476;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;FV3282 S3D1 m2096;Fylkesveg;3282;168748682;59,30111242;9,483946476;Fylkesveg;;6;;;;;Asfalt, oljegrus;;;Dagslys;Vanlig kjørefelt;2;600
