Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2019,,,,,,2019,januar
I alt,71148.0,2.6,-701.0,-1.0,2.6,2019,januar
Østfold,4651.0,3.3,249.0,6.0,3.1,2019,januar
Akershus,7002.0,2.2,331.0,5.0,2.0,2019,januar
Oslo,10560.0,2.8,322.0,3.0,2.7,2019,januar
Hedmark,2347.0,2.4,404.0,21.0,2.0,2019,januar
Oppland,2007.0,2.1,216.0,12.0,1.8,2019,januar
Buskerud,3861.0,2.6,219.0,6.0,2.5,2019,januar
Vestfold,4005.0,3.2,247.0,7.0,3.0,2019,januar
Telemark,2547.0,3.0,221.0,10.0,2.7,2019,januar
Aust-Agder,1605.0,2.8,-308.0,-16.0,3.4,2019,januar
Vest-Agder,2481.0,2.7,-232.0,-9.0,2.9,2019,januar
Rogaland,6669.0,2.7,-1816.0,-21.0,3.4,2019,januar
Hordaland,7793.0,2.8,-370.0,-5.0,3.0,2019,januar
Sogn og Fjordane,1020.0,1.7,33.0,3.0,1.7,2019,januar
Møre og Romsdal,3521.0,2.6,-405.0,-10.0,2.8,2019,januar
Nordland,2791.0,2.2,67.0,2.0,2.2,2019,januar
Troms Romsa,1737.0,2.0,234.0,16.0,1.7,2019,januar
Finnmark Finnmárku,1183.0,3.0,-60.0,-5.0,3.1,2019,januar
Trøndelag,5357.0,2.2,-56.0,-1.0,2.2,2019,januar
Øvrige områder,7.0,,0.0,0.0,,2019,januar
Ukjent,4.0,,,,,2019,januar
