Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2017,,,,,,2017,juni
I alt,71482.0,2.6,-9483.0,-12.0,2.9,2017,juni
Østfold,4038.0,2.8,-565.0,-12.0,3.2,2017,juni
Akershus,6640.0,2.1,-765.0,-10.0,2.4,2017,juni
Oslo,10181.0,2.7,-1589.0,-14.0,3.2,2017,juni
Hedmark,1842.0,1.9,-326.0,-15.0,2.2,2017,juni
Oppland,1524.0,1.5,-251.0,-14.0,1.8,2017,juni
Buskerud,3650.0,2.5,-325.0,-8.0,2.7,2017,juni
Vestfold,3673.0,2.9,-83.0,-2.0,3.0,2017,juni
Telemark,2407.0,2.8,-252.0,-9.0,3.0,2017,juni
Aust-Agder,1748.0,3.1,-363.0,-17.0,3.7,2017,juni
Vest-Agder,2861.0,3.1,-550.0,-16.0,3.6,2017,juni
Rogaland,9535.0,3.7,-1753.0,-16.0,4.3,2017,juni
Hordaland,8352.0,3.0,-907.0,-10.0,3.3,2017,juni
Sogn og Fjordane,846.0,1.4,-64.0,-7.0,1.6,2017,juni
Møre og Romsdal,3736.0,2.7,-428.0,-10.0,2.9,2017,juni
Sør-Trøndelag,3655.0,2.1,-339.0,-8.0,2.4,2017,juni
Nord-Trøndelag,1386.0,2.0,-158.0,-10.0,2.2,2017,juni
Nordland,2526.0,2.0,-551.0,-18.0,2.5,2017,juni
Troms,1655.0,1.9,-134.0,-7.0,2.0,2017,juni
Finnmark,1221.0,3.0,-58.0,-5.0,3.2,2017,juni
Øvrige områder,5.0,,-14.0,-74.0,,2017,juni
Ukjent,,,,,,2017,juni
