Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2020,,,,,,2020,desember
I alt,106941.0,3.8,46205.0,76.0,2.2,2020,desember
Oslo,22790.0,5.7,13332.0,141.0,2.4,2020,desember
Rogaland,8965.0,3.5,3452.0,63.0,2.2,2020,desember
Møre og Romsdal,4093.0,2.9,1388.0,51.0,2.0,2020,desember
Nordland,3235.0,2.6,854.0,36.0,1.9,2020,desember
Viken,27206.0,4.2,12643.0,87.0,2.3,2020,desember
Innlandet,5408.0,2.9,1821.0,51.0,1.9,2020,desember
Vestfold og Telemark,7755.0,3.7,2468.0,47.0,2.5,2020,desember
Agder,4850.0,3.2,1292.0,36.0,2.3,2020,desember
Vestland,12317.0,3.6,5545.0,82.0,2.0,2020,desember
Trøndelag - Trööndelage,6572.0,2.6,2162.0,49.0,1.8,2020,desember
Troms og Finnmark - Romsa ja Finnmárku,3658.0,2.8,1175.0,47.0,1.9,2020,desember
Øvrige områder,73.0,,66.0,943.0,,2020,desember
Ukjent,19.0,,7.0,58.0,,2020,desember
