Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2024,,,,,,2024,mars
I alt,61071.0,2.0,7615.0,14.0,1.8,2024,mars
Oslo,10587.0,2.6,1524.0,17.0,2.2,2024,mars
Rogaland,4689.0,1.8,427.0,10.0,1.7,2024,mars
Møre og Romsdal,2557.0,1.8,251.0,11.0,1.7,2024,mars
Nordland - Nordlánnda,1905.0,1.6,350.0,23.0,1.3,2024,mars
Østfold,4313.0,2.9,418.0,11.0,2.6,2024,mars
Akershus,8782.0,2.3,1389.0,19.0,2.0,2024,mars
Buskerud,3144.0,2.3,516.0,20.0,1.9,2024,mars
Innlandet,3462.0,1.9,351.0,11.0,1.7,2024,mars
Vestfold,3301.0,2.6,328.0,11.0,2.4,2024,mars
Telemark,2166.0,2.5,136.0,7.0,2.4,2024,mars
Agder,3252.0,2.1,380.0,13.0,1.8,2024,mars
Vestland,6411.0,1.9,576.0,10.0,1.7,2024,mars
Trøndelag - Trööndelage,4304.0,1.7,625.0,17.0,1.5,2024,mars
Troms - Romsa - Tromssa ,1242.0,1.4,186.0,18.0,1.2,2024,mars
Finnmark - Finnmárku - Finmarkku,936.0,2.4,157.0,20.0,2.0,2024,mars
Øvrige områder,13.0,,4.0,44.0,,2024,mars
Ukjent,7.0,,-3.0,-30.0,,2024,mars
