Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4777.0,3.45527757990882,-308.0,-6.05703048180924,2011,juli
Akershus,7227.0,2.4845555068832,-553.0,-7.107969151670949,2011,juli
Oslo,11887.0,3.5199494117501797,-1829.0,-13.33479148439778,2011,juli
Hedmark,2759.0,2.8747857625563,-9.0,-0.32514450867051997,2011,juli
Oppland,2225.0,2.3137439018679697,61.0,2.81885397412199,2011,juli
Buskerud,3733.0,2.6811113329290404,-420.0,-10.11317120154105,2011,juli
Vestfold,4019.0,3.3384017953374903,-123.0,-2.96957991308546,2011,juli
Telemark,3058.0,3.5415248068641296,106.0,3.5907859078590696,2011,juli
Aust-Agder,1775.0,3.18927982252439,-216.0,-10.84881968859869,2011,juli
Vest-Agder,2491.0,2.79876206405769,-119.0,-4.55938697318007,2011,juli
Rogaland,4805.0,2.0271574122958,-423.0,-8.09104820198928,2011,juli
Hordaland,6575.0,2.54624768057167,-340.0,-4.91684743311641,2011,juli
Sogn og Fjordane,1175.0,2.09077400507049,-188.0,-13.79310344827586,2011,juli
Møre og Romsdal,3046.0,2.28064659101174,-275.0,-8.28063836193917,2011,juli
Sør-Trøndelag,4388.0,2.81269536590682,-456.0,-9.41370767960363,2011,juli
Nord-Trøndelag,1736.0,2.61359483333251,-310.0,-15.151515151515149,2011,juli
Nordland,3606.0,3.00029680972849,115.0,3.29418504726439,2011,juli
Troms,2022.0,2.43341048038844,-224.0,-9.97328584149599,2011,juli
Finnmark,1273.0,3.34933268953177,-128.0,-9.136331192005711,2011,juli
Ikke i et fylkesdistrikt,28.0,,2.0,7.69230769230769,2011,juli
Riket,72605.0,2.7942989460173697,-5637.0,-7.20457043531607,2011,juli
