09539: Museum og samlingar. Besøk, etter region, besøk i museum, statistikkvariabel og år;;;;;;;
;;;;;;;
region;besøk i museum;Museumsbesøk 2015;Museumsbesøk 2016;Museumsbesøk 2017;Museumsbesøk 2018;Museumsbesøk 2019;Museumsbesøk 2020
38 Vestfold og Telemark;Enkeltbesøk;0;0;0;0;0;218324
38 Vestfold og Telemark;Gruppebesøk;0;0;0;0;0;45002
38 Vestfold og Telemark;Betalande besøkjande;0;0;0;0;0;137357
07 Vestfold (-2019);Enkeltbesøk;93025;104660;131065;124100;135566;0
07 Vestfold (-2019);Gruppebesøk;44968;39624;38588;36964;43345;0
07 Vestfold (-2019);Betalande besøkjande;42716;48942;83186;75389;67930;0
08 Telemark (-2019);Enkeltbesøk;183495;182755;134142;140381;169763;0
08 Telemark (-2019);Gruppebesøk;40596;44236;43191;38820;38119;0
08 Telemark (-2019);Betalande besøkjande;124917;98914;120297;110311;127995;0
