ogc_fid;SSBID250M;est_tot;emp_tot
1;19252506617250;2;0
2;19252506617500;2;0
3;19252506618500;1;0
4;19255006617000;3;0
5;19255006617250;1;0
6;19255006617500;3;12
7;19257506617000;2;0
8;19257506617250;1;5
9;19387506630750;1;0
10;19390006630500;1;0
11;19390006630750;1;0
12;19392506630250;3;0
13;19392506630500;4;1
14;19392506630750;3;0
15;19392506631000;2;0
16;19395006630750;2;6
17;19400006603750;1;0
18;19402506602250;1;0
19;19402506602500;2;0
20;19402506602750;4;1
21;19402506603750;4;0
22;19402506604750;2;0
23;19402506782000;1;0
24;19402506782500;1;0
25;19405006600750;3;0
26;19405006601000;2;0
27;19405006601250;1;0
28;19405006601500;2;0
29;19405006601750;1;0
30;19405006602000;1;1
31;19405006602250;1;0
32;19405006602750;2;0
33;19405006603750;1;0
34;19405006604750;4;2
35;19407506600750;2;1
36;19407506601500;1;0
37;19407506602000;1;0
38;19407506603250;2;11
39;19407506604250;1;14
40;19407506604750;1;0
41;19407506605000;1;0
42;19407506605250;3;0
43;19407506606000;1;0
44;19407506606250;1;0
45;19407506606500;1;0
46;19407506606750;7;6
47;19407506607000;1;0
48;19410006600000;2;3
49;19410006600500;5;0
50;19410006600750;1;0
51;19410006605250;2;0
52;19410006605500;4;7
53;19410006605750;2;0
54;19410006606250;3;2
55;19410006606500;1;0
56;19410006606750;4;0
57;19412506603000;1;0
58;19412506603750;2;0
59;19412506605000;2;5
60;19412506605500;1;0
61;19412506605750;1;0
62;19412506606000;1;0
63;19412506606250;4;1
64;19412506606500;1;0
65;19412506609250;3;20
66;19412506609500;9;27
67;19412506609750;9;10
68;19412506610000;17;68
69;19412506610250;4;27
70;19412506610500;3;1
71;19412506782000;1;0
72;19412506782250;2;248
73;19412506783000;1;0
74;19415006598250;1;1
75;19415006600250;1;2
76;19415006603500;1;0
77;19415006604500;1;0
78;19415006605000;2;5
79;19415006605500;3;8
80;19415006605750;2;19
81;19415006606000;2;0
82;19415006606500;1;1
83;19415006606750;5;2
84;19415006607000;5;1
85;19415006607250;1;0
86;19415006607500;1;0
87;19415006607750;1;0
88;19415006608000;1;0
89;19415006609250;1;3
90;19415006609500;6;60
91;19415006609750;2;1
92;19415006610000;3;0
93;19415006610250;8;5
94;19415006610500;2;0
95;19415006623250;1;0
