ogc_fid;SSBID250M;est_tot;emp_tot
2;19252506617250;2;0
3;19252506618500;2;0
4;19255006616750;1;0
5;19255006617000;4;3
6;19255006617250;2;0
7;19255006617500;6;11
8;19255006617750;1;1
9;19255006618250;1;0
10;19255006618500;1;0
11;19257506616750;1;0
12;19257506617000;1;0
13;19257506617250;2;0
14;19257506617500;1;7
15;19260006616750;1;0
16;19260006617000;1;0
17;19262506617250;1;0
18;19267506617250;1;0
19;19387506630750;1;0
20;19390006630500;3;9
21;19390006630750;1;0
22;19392506630250;1;0
23;19392506630500;4;0
24;19392506630750;2;0
25;19392506631000;2;0
26;19400006601250;1;0
27;19400006604000;1;2
28;19402506602000;1;0
29;19402506602500;5;0
30;19402506602750;3;1
31;19402506603750;3;0
32;19402506782500;2;0
33;19405006600750;1;0
34;19405006601000;3;0
35;19405006601250;1;0
36;19405006601750;1;0
37;19405006602000;2;0
38;19405006602250;2;0
39;19405006602750;3;0
40;19405006603750;4;1
41;19405006604750;3;0
42;19405006606500;2;1
43;19405006782250;1;15
44;19407506598250;2;7
45;19407506600500;4;0
46;19407506600750;1;0
47;19407506601000;1;0
48;19407506601500;1;0
49;19407506602000;1;0
50;19407506603250;3;16
51;19407506604000;1;0
52;19407506604250;2;0
53;19407506605250;1;0
54;19407506605500;1;0
55;19407506606000;2;0
56;19407506606500;3;1
57;19407506606750;8;4
58;19407506607000;3;1
59;19410006598000;1;0
60;19410006600000;5;1
61;19410006600500;4;0
62;19410006600750;1;0
63;19410006603250;1;0
64;19410006605250;3;3
65;19410006605500;6;9
66;19410006605750;1;0
67;19410006606000;3;0
68;19410006606250;4;2
69;19410006606500;1;0
70;19410006782500;1;8
71;19412506600500;1;0
72;19412506603750;3;3
73;19412506604750;2;0
74;19412506605000;3;0
75;19412506605500;2;0
76;19412506605750;2;4
77;19412506606000;3;0
78;19412506606250;3;3
79;19412506606500;1;0
80;19412506609250;8;28
81;19412506609500;11;35
82;19412506609750;5;9
83;19412506610000;14;70
84;19412506610250;4;30
85;19412506610500;2;1
86;19412506771750;1;0
87;19412506782000;5;50
88;19412506782250;9;358
89;19412506782750;1;0
90;19415006598000;1;0
91;19415006598250;1;0
92;19415006603500;2;0
93;19415006605000;2;0
94;19415006605500;1;0
95;19415006605750;3;24
96;19415006606000;1;8
97;19415006606250;2;0
98;19415006606500;3;1
99;19415006606750;2;0
100;19415006607000;6;5
101;19415006607250;1;0
102;19415006608000;1;0
103;19415006609250;16;36
104;19415006609500;7;19
105;19415006609750;6;4
106;19415006610000;8;2
107;19415006610250;16;3
108;19415006610500;2;3
109;19415006623500;1;0
110;19415006623750;1;0
111;19415006781750;1;26
112;19415006782000;10;50
113;19415006782250;1;2
114;19415006782500;1;0
115;19417506597750;1;0
116;19417506598000;2;0
117;19417506600000;1;0
118;19417506600250;1;0
119;19417506605250;1;0
120;19417506605500;1;0
121;19417506605750;1;0
122;19417506606250;3;0
123;19417506606500;2;0
124;19417506606750;3;0
125;19417506607000;1;0
126;19417506607500;2;3
127;19417506607750;2;0
128;19417506608000;1;0
129;19417506609250;5;27
130;19417506609500;1;0
131;19417506609750;6;11
132;19417506610000;8;73
133;19417506610250;9;87
134;19417506610500;8;2
135;19417506610750;2;0
136;19417506781250;1;0
137;19417506781750;1;0
138;19417506782000;2;0
139;19417506782500;1;1
140;19420006598000;3;0
141;19420006598500;1;0
142;19420006599750;1;0
143;19420006606000;3;1
144;19420006606250;2;0
145;19420006607250;3;0
146;19420006608250;4;0
147;19420006608500;7;8
148;19420006609250;6;1
149;19420006609500;11;67
150;19420006609750;8;119
151;19420006610000;44;186
152;19420006610250;35;126
153;19420006610500;30;124
154;19420006610750;6;1
155;19420006611250;16;14
156;19420006623500;4;0
157;19420006779250;2;0
158;19420006781250;1;0
159;19420006782250;2;0
160;19422506598000;5;1
161;19422506598250;1;0
162;19422506608000;7;27
163;19422506608250;3;0
164;19422506608500;1;0
165;19422506608750;5;1
166;19422506609000;7;31
167;19422506609250;3;1
168;19422506609500;2;20
169;19422506609750;8;367
170;19422506610000;4;0
171;19422506610250;4;8
172;19422506610500;2;2
173;19422506610750;6;0
174;19422506611000;1;0
175;19422506611250;2;4
176;19422506611500;2;2
177;19422506611750;1;4
178;19422506612000;6;5
179;19422506612250;9;0
180;19422506779500;1;0
181;19422506781000;1;1
182;19422506781250;2;0
183;19422506781500;2;0
184;19422506781750;5;11
185;19425006598000;1;0
186;19425006599000;1;0
187;19425006607500;1;0
188;19425006607750;2;0
189;19425006608250;2;0
190;19425006608500;9;2
191;19425006608750;7;1
192;19425006609000;2;0
193;19425006609250;8;39
194;19425006609500;3;0
195;19425006609750;6;167
196;19425006610000;7;1
197;19425006610250;4;28
198;19425006610500;1;0
199;19425006610750;1;0
200;19425006611000;8;29
201;19425006611250;7;28
202;19425006611500;7;4
203;19425006611750;2;0
204;19425006612000;2;3
205;19425006760250;1;0
206;19425006781500;1;0
207;19425006782000;2;0
208;19427506597750;1;0
209;19427506598000;2;22
210;19427506598250;12;54
211;19427506607750;1;0
212;19427506608000;2;0
213;19427506608500;2;1
214;19427506608750;1;0
215;19427506609000;2;0
216;19427506609250;3;1
217;19427506609500;7;6
218;19427506609750;8;0
219;19427506610000;4;7
220;19427506610250;3;0
221;19427506610500;14;3
222;19427506610750;2;0
223;19427506611000;5;1
224;19427506611250;5;0
225;19427506611500;5;32
226;19427506611750;3;0
227;19427506761500;1;0
228;19427506807500;1;0
229;19427506811000;1;0
230;19430006597500;9;6
231;19430006598000;8;6
232;19430006598250;11;34
233;19430006607750;1;0
234;19430006609500;8;19
235;19430006609750;5;4
236;19430006610000;5;4
237;19430006610250;7;0
238;19430006610500;6;14
239;19430006610750;1;0
240;19430006611000;2;40
241;19430006611250;4;1
242;19430006611750;4;6
243;19430006614000;4;1
244;19430006614250;4;0
245;19430006614500;1;0
246;19430006761750;1;0
247;19430006767750;1;0
248;19430006807500;1;0
249;19430006811750;1;0
250;19432506597000;1;0
251;19432506597250;6;2
252;19432506597500;8;61
253;19432506597750;4;0
254;19432506598000;2;13
255;19432506598250;4;9
256;19432506609750;1;6
257;19432506610000;1;0
258;19432506610250;2;0
259;19432506610500;14;4
260;19432506610750;2;3
261;19432506611250;3;7
262;19432506611500;1;0
263;19432506611750;4;4
264;19432506612000;2;0
265;19432506614250;5;3
266;19432506614500;1;0
267;19432506757750;1;0
268;19432506758000;1;0
269;19432506759750;1;0
270;19432506760250;1;0
271;19432506764250;1;0
272;19432506766000;2;2
273;19432506768250;1;0
274;19432506768500;5;18
275;19432506808250;1;0
276;19432506811500;1;0
277;19435006596750;5;2
278;19435006597000;1;0
279;19435006597250;9;0
280;19435006597500;4;0
281;19435006597750;2;14
282;19435006598000;1;2
283;19435006611500;1;0
284;19435006613250;1;0
285;19435006613500;1;0
286;19435006613750;2;11
287;19435006614000;1;0
288;19435006757500;1;0
289;19435006760250;1;0
290;19435006761750;1;0
291;19435006763750;2;0
292;19435006764250;2;1
293;19435006765500;1;0
294;19435006765750;1;0
295;19435006768250;3;1
296;19435006768500;2;0
297;19437506597000;7;0
298;19437506597250;20;31
299;19437506597500;7;10
300;19437506597750;1;31
301;19437506609250;1;0
302;19437506611500;1;0
303;19437506612750;2;0
304;19437506613000;1;0
305;19437506613250;3;0
306;19437506613500;6;0
307;19437506613750;6;20
308;19437506614000;6;1
309;19437506614250;2;0
310;19437506616750;3;1
311;19437506617000;1;0
312;19437506617250;2;1
313;19437506617750;1;2
314;19437506618000;1;0
315;19437506619000;1;0
316;19437506757500;2;2
317;19437506763750;1;0
318;19437506764500;1;0
319;19437506766000;1;0
320;19437506767750;1;0
321;19437506768500;1;0
322;19440006597000;9;4
323;19440006597250;41;86
324;19440006597500;14;110
325;19440006597750;6;2
326;19440006598000;4;0
327;19440006612750;2;3
328;19440006613000;1;0
329;19440006613250;1;0
330;19440006613500;7;2
331;19440006613750;4;15
332;19440006614000;8;4
333;19440006614250;8;0
334;19440006616750;4;0
335;19440006617250;1;18
336;19440006763750;2;9
337;19440006764750;1;13
338;19442506597000;1;3
339;19442506597250;9;1
340;19442506597500;3;48
341;19442506597750;1;7
342;19442506611250;1;0
343;19442506611500;3;5
344;19442506613250;8;23
345;19442506613500;2;0
346;19442506613750;6;4
347;19442506614000;2;0
348;19442506614250;1;0
349;19442506616500;1;1
350;19442506616750;3;6
