ogc_fid;SSBID250M;est_tot;emp_tot
265;19435006760250;1;1
266;19435006761750;1;0
267;19435006764250;4;0
268;19435006765750;1;0
269;19435006768250;3;0
270;19435006768500;2;0
271;19437506597000;4;0
272;19437506597250;15;26
273;19437506597500;9;12
274;19437506597750;1;33
275;19437506609250;1;0
276;19437506611500;1;1
277;19437506612750;1;0
278;19437506613000;2;0
279;19437506613250;1;0
280;19437506613500;1;1
281;19437506613750;3;16
282;19437506614000;3;1
283;19437506614250;1;0
284;19437506616750;2;1
285;19437506617000;1;0
286;19437506617250;1;0
287;19437506617750;1;3
288;19437506619000;1;0
289;19437506757500;3;3
290;19437506764500;2;0
291;19437506766000;1;0
292;19440006597000;9;53
293;19440006597250;45;70
294;19440006597500;20;179
295;19440006597750;7;1
296;19440006598000;5;0
297;19440006612750;1;5
298;19440006613000;2;0
299;19440006613250;1;0
300;19440006613500;6;2
301;19440006613750;4;31
302;19440006614000;9;5
303;19440006614250;6;2
304;19440006616500;1;4
305;19440006616750;2;0
306;19440006617250;2;21
307;19440006760500;1;0
308;19440006763750;1;3
309;19442506597000;1;0
310;19442506597250;5;0
311;19442506597500;3;46
312;19442506597750;1;12
313;19442506611250;1;0
314;19442506611500;2;5
315;19442506613000;2;0
316;19442506613250;7;27
317;19442506613500;4;0
318;19442506613750;4;3
319;19442506614000;2;0
320;19442506614250;2;0
321;19442506616500;1;1
322;19442506616750;1;0
323;19442506757500;1;0
324;19442506757750;3;0
325;19442506759750;1;0
326;19442506760250;1;0
327;19442506762750;1;1
328;19442506764000;1;0
329;19445006596750;20;1180
330;19445006597000;8;3
331;19445006597250;3;0
332;19445006597500;2;1
333;19445006597750;3;0
334;19445006611500;1;0
335;19445006612750;2;0
336;19445006613000;5;7
337;19445006613250;19;68
338;19445006613500;12;55
339;19445006613750;7;5
340;19445006614000;6;4
341;19445006614750;1;3
342;19445006616750;1;0
343;19445006646750;2;6
344;19445006757750;1;12
345;19445006759750;1;0
346;19445006760000;1;1
347;19445006764000;1;0
348;19447506596750;3;1
349;19447506597000;3;2
350;19447506597250;7;0
351;19447506597500;5;0
352;19447506597750;7;2
353;19447506598250;1;0
354;19447506598750;2;0
355;19447506611750;3;266
356;19447506612250;2;0
357;19447506612500;3;0
358;19447506612750;3;0
359;19447506613000;5;8
360;19447506613250;1;0
361;19447506613500;8;0
362;19447506613750;3;5
363;19447506614000;1;4
364;19447506614500;1;0
365;19447506614750;2;0
366;19447506616750;1;0
367;19447506619250;4;69
368;19447506646750;2;3
369;19447506759750;3;18
370;19447506760250;1;19
371;19447506760500;1;0
372;19447506766500;1;0
373;19450006597750;1;2
374;19450006598000;3;16
375;19450006598250;2;0
376;19450006600750;1;0
377;19450006601250;1;0
378;19450006611500;5;8
379;19450006611750;4;103
380;19450006612000;2;2
381;19450006612250;8;11
382;19450006612500;8;2
383;19450006612750;5;42
384;19450006613000;2;0
385;19450006613250;2;0
386;19450006613500;3;1
387;19450006614000;2;8
388;19450006614250;2;0
389;19450006614500;1;4
390;19450006620250;1;0
391;19450006620500;1;0
392;19450006646750;2;2
393;19450006760000;7;41
394;19450006760250;3;33
395;19450006761000;2;0
396;19450006761250;1;0
397;19450006838500;1;14
398;19450006838750;1;6
399;19450006839250;1;0
400;19452506597000;1;0
401;19452506597500;2;0
402;19452506597750;1;0
403;19452506599000;3;4
404;19452506611500;2;8
405;19452506611750;13;282
406;19452506612250;2;0
407;19452506612500;1;0
408;19452506612750;1;31
409;19452506613750;1;0
410;19452506614000;2;1
411;19452506615000;7;23
412;19452506619750;2;0
413;19452506620000;2;0
414;19452506752750;1;0
415;19452506753000;1;0
416;19452506753250;2;0
417;19452506760000;1;5
418;19452506760750;1;0
419;19452506763250;1;0
420;19452506763500;2;0
421;19452506838500;4;0
422;19452506839000;1;4
423;19452506839250;1;2
424;19452506839500;2;0
425;19455006597250;1;0
426;19455006599500;2;1
427;19455006612500;1;17
428;19455006613250;1;0
429;19455006616500;1;0
430;19455006620000;2;0
431;19455006620250;2;4
432;19455006621000;1;0
433;19455006754250;1;4
434;19455006756500;1;0
435;19455006756750;1;0
436;19455006760000;1;1
437;19455006815500;1;0
438;19455006838250;1;0
439;19455006838750;1;0
440;19455006839000;2;0
441;19457506597000;1;0
442;19457506610750;5;0
443;19457506611000;5;4
444;19457506611250;1;0
445;19457506613000;1;2
446;19457506613250;2;0
447;19457506619750;1;16
448;19457506620500;3;0
449;19457506620750;1;0
450;19457506622750;1;0
451;19457506625000;2;0
452;19457506752250;4;63
453;19457506752500;1;0
454;19457506753250;1;0
455;19457506753750;2;0
456;19457506754250;1;0
457;19457506756250;2;0
458;19457506756750;1;0
459;19457506757250;1;105
460;19457506757500;4;1
461;19457506759250;1;0
462;19457506806750;1;0
463;19457506814000;1;0
464;19457506816000;1;0
465;19457506838750;1;0
466;19457506839250;1;0
467;19457506839750;2;5
468;19460006600500;1;0
469;19460006611250;1;0
470;19460006611500;2;0
471;19460006611750;2;0
472;19460006612000;1;0
473;19460006612500;5;1
474;19460006613250;1;0
475;19460006619000;1;2
476;19460006620250;2;0
477;19460006620500;2;0
478;19460006622000;1;0
479;19460006622250;2;0
480;19460006623250;3;0
481;19460006623750;2;0
482;19460006624000;1;1
483;19460006624750;1;10
484;19460006743750;2;1
485;19460006753750;2;26
486;19460006754000;1;7
487;19460006757750;1;0
488;19460006838750;1;0
489;19462506600250;2;1
490;19462506600750;1;0
491;19462506611250;1;0
492;19462506611500;2;0
493;19462506612000;9;1
494;19462506612250;3;0
495;19462506612500;2;0
496;19462506620000;3;0
497;19462506620250;2;0
498;19462506622750;1;0
499;19462506623000;1;1
500;19462506623500;1;0
501;19462506623750;1;0
502;19462506625500;2;0
503;19462506662750;1;0
504;19462506722750;1;6
505;19462506743500;2;1
506;19465006598250;1;0
507;19465006598750;1;0
508;19465006599500;1;6
509;19465006599750;1;0
510;19465006611500;1;2
511;19465006611750;1;0
512;19465006612000;1;1
513;19465006612250;4;0
514;19465006612500;3;0
515;19465006619750;4;1
516;19465006620250;1;0
517;19465006620500;2;2
518;19465006621000;2;2
519;19465006622250;1;0
520;19465006622500;2;0
521;19465006623000;2;0
522;19465006624250;2;0
523;19465006625250;4;0
524;19465006625500;1;0
525;19465006662500;1;0
526;19465006662750;1;0
527;19465006663000;1;0
528;19465006666750;1;0
529;19465006667000;1;3
530;19465006668250;2;1
531;19465006668750;1;0
532;19465006722000;1;0
533;19465006722250;1;0
534;19465006722500;1;0
535;19465006722750;1;0
536;19465006733250;1;0
537;19465006743750;1;0
538;19465006753500;1;7
539;19465006755500;1;0
540;19465006755750;1;31
541;19467506599500;1;0
542;19467506611500;2;0
543;19467506611750;7;20
544;19467506612250;4;5
545;19467506612500;2;0
546;19467506618750;1;0
547;19467506620000;2;0
548;19467506620250;2;0
549;19467506622750;2;0
550;19467506624500;3;2
551;19467506625000;3;0
552;19467506625500;1;2
553;19467506626000;1;0
554;19467506626500;1;0
555;19467506626750;3;10
556;19467506666750;1;0
557;19467506667000;1;0
558;19467506668000;2;0
559;19467506668250;2;2
560;19467506668500;1;0
561;19467506668750;1;0
562;19467506669250;1;0
563;19467506681000;1;2
564;19467506681250;1;0
565;19467506722000;2;0
566;19467506722500;1;0
567;19467506722750;3;0
568;19467506723000;1;0
569;19467506733250;2;6
570;19467506743500;1;6
571;19467506743750;1;0
572;19467506744000;1;0
573;19467506750250;1;0
574;19467506750750;2;42
575;19467506751250;1;0
576;19467506753000;1;5
577;19467506753750;2;0
578;19470006611500;1;3
579;19470006611750;5;17
580;19470006612250;1;0
581;19470006619250;2;0
582;19470006620000;3;10
583;19470006622000;2;0
584;19470006622250;1;0
585;19470006622750;2;8
586;19470006624000;3;25
587;19470006624500;3;7
588;19470006625750;1;3
589;19470006626000;3;0
590;19470006626250;2;15
591;19470006647250;1;0
592;19470006667750;4;2
593;19470006668000;2;1
594;19470006668250;1;0
595;19470006669250;2;0
596;19470006678000;1;0
597;19470006681000;1;0
598;19470006722500;1;0
599;19470006722750;1;12
600;19470006723000;1;0
601;19470006729250;3;22
602;19470006729500;2;0
603;19470006733250;2;0
604;19470006733500;1;0
605;19470006743750;1;0
606;19470006744000;1;1
607;19470006751000;2;0
608;19470006751500;2;3
609;19470006752750;1;0
610;19470006808250;1;0
611;19472506611750;3;22
612;19472506612000;3;1
613;19472506618500;1;0
614;19472506619500;1;0
615;19472506619750;3;7
616;19472506620000;1;0
617;19472506620250;3;8
618;19472506620750;1;2
619;19472506622250;1;0
620;19472506624750;2;4
621;19472506625000;1;0
622;19472506625250;5;4
623;19472506625500;1;0
624;19472506625750;4;5
625;19472506626000;4;3
626;19472506646500;1;0
627;19472506656000;1;0
628;19472506668250;1;2
629;19472506668750;1;0
630;19472506669750;2;0
631;19472506679250;1;0
632;19472506681000;3;0
633;19472506681250;1;0
634;19472506721000;1;0
635;19472506721750;2;1
636;19472506722250;1;0
637;19472506722750;2;2
638;19472506723000;2;0
639;19472506749500;1;0
640;19472506750250;1;0
641;19472506751000;9;33
642;19472506751250;1;35
643;19475006611250;4;2
644;19475006611500;8;77
645;19475006611750;5;104
646;19475006612000;8;7
647;19475006618750;1;0
648;19475006619000;1;0
649;19475006619500;2;1
650;19475006620000;1;0
651;19475006620250;1;0
652;19475006621000;1;0
653;19475006621500;1;0
654;19475006621750;2;0
655;19475006622000;1;0
656;19475006622500;1;1
657;19475006624000;1;49
658;19475006624500;2;0
659;19475006624750;1;0
660;19475006625000;1;0
661;19475006625500;1;0
662;19475006646500;2;0
663;19475006646750;1;0
664;19475006647500;6;36
665;19475006669500;3;19
666;19475006669750;1;0
667;19475006670250;4;294
668;19475006670500;1;0
669;19475006681000;1;73
670;19475006691250;2;3
671;19475006721250;2;0
672;19475006729250;1;0
673;19475006732500;1;0
674;19475006733000;2;0
675;19475006749500;1;0
676;19475006749750;2;1
677;19475006750250;4;0
678;19475006750500;1;0
679;19475006751000;5;68
680;19475006751250;3;268
681;19475006751500;1;39
682;19477506611250;6;57
683;19477506611500;4;16
684;19477506611750;10;13
685;19477506612250;1;0
686;19477506612500;9;52
687;19477506612750;6;22
688;19477506614750;1;2
689;19477506616750;2;0
690;19477506618000;1;0
691;19477506618250;6;10
692;19477506618500;13;87
693;19477506619250;1;0
694;19477506619500;1;1
695;19477506621250;3;0
696;19477506621500;1;0
697;19477506621750;1;0
698;19477506622250;5;15
699;19477506622750;2;0
700;19477506624500;2;1
701;19477506624750;1;0
702;19477506625250;3;30
703;19477506625500;5;15
704;19477506625750;2;0
705;19477506627250;1;10
706;19477506629250;4;3
707;19477506629500;2;3
708;19477506647000;1;7
709;19477506650750;3;0
710;19477506651000;2;0
711;19477506667250;1;0
712;19477506669250;1;27
713;19477506670250;1;0
714;19477506672250;2;2
715;19477506691500;2;8
716;19477506691750;4;0
717;19477506717000;1;3
718;19477506717500;1;0
719;19477506721750;1;0
720;19477506728000;1;0
721;19477506728250;1;0
722;19477506730000;1;0
723;19477506732250;1;6
724;19477506732750;5;0
725;19477506733000;2;1
726;19477506749250;5;41
727;19477506749500;2;0
728;19477506749750;4;0
729;19477506750000;3;6
730;19480006611500;10;54
731;19480006611750;4;6
732;19480006612000;3;11
733;19480006612250;2;0
734;19480006612500;30;259
735;19480006612750;13;427
736;19480006613000;9;56
737;19480006613250;22;90
738;19480006613500;3;6
739;19480006614750;1;0
740;19480006615000;1;0
741;19480006616500;3;1
742;19480006617000;1;0
743;19480006617250;1;0
744;19480006617500;3;8
745;19480006617750;2;0
746;19480006618000;5;2
747;19480006618250;4;0
748;19480006618500;7;104
749;19480006618750;3;1
750;19480006619000;3;3
751;19480006620000;2;0
752;19480006620250;2;0
753;19480006620750;1;0
