ssbid_250,År,ant_virksomheter,ant_ansatte
21875006575250,2013-01-01,2,1
21875006576000,2013-01-01,5,4
21875006576250,2013-01-01,6,1
21875006576500,2013-01-01,3,29
21875006576750,2013-01-01,9,21
21877506567500,2013-01-01,1,0
21877506569000,2013-01-01,2,0
21877506570000,2013-01-01,1,1
21877506574500,2013-01-01,2,1
21877506574750,2013-01-01,4,2
21877506575250,2013-01-01,4,0
21877506575500,2013-01-01,2,0
21877506576000,2013-01-01,5,18
21877506576500,2013-01-01,1,0
21877506576750,2013-01-01,5,0
21880006567250,2013-01-01,1,0
21880006567500,2013-01-01,1,0
21880006568250,2013-01-01,2,0
21880006568500,2013-01-01,2,0
21880006569250,2013-01-01,2,0
21880006572500,2013-01-01,2,0
21880006573000,2013-01-01,2,0
21880006574000,2013-01-01,1,0
21880006574250,2013-01-01,5,1
21880006574500,2013-01-01,5,12
21880006574750,2013-01-01,3,20
21880006575000,2013-01-01,3,5
21880006575250,2013-01-01,6,1
21880006575500,2013-01-01,1,1
21880006576750,2013-01-01,2,7
21882506567000,2013-01-01,5,20
21882506568250,2013-01-01,1,0
21882506569000,2013-01-01,1,0
21882506569250,2013-01-01,1,0
21882506569500,2013-01-01,1,7
21882506571000,2013-01-01,2,0
21882506572500,2013-01-01,1,0
21882506573250,2013-01-01,2,0
21882506573750,2013-01-01,1,0
21882506574000,2013-01-01,2,0
21882506574250,2013-01-01,11,4
21882506574500,2013-01-01,3,1
21882506574750,2013-01-01,1,0
21882506575000,2013-01-01,2,0
21882506575750,2013-01-01,1,1
21885006566750,2013-01-01,4,56
21885006567000,2013-01-01,1,95
21885006572000,2013-01-01,1,0
21885006573250,2013-01-01,2,2
21885006573750,2013-01-01,1,0
21885006574000,2013-01-01,6,27
21885006574250,2013-01-01,3,2
21885006574500,2013-01-01,1,0
21885006574750,2013-01-01,4,33
21885006575000,2013-01-01,3,0
21885006575750,2013-01-01,1,0
21885006576000,2013-01-01,6,18
21887506566250,2013-01-01,2,7
21887506566500,2013-01-01,5,82
21887506566750,2013-01-01,4,210
21887506570000,2013-01-01,2,1
21887506574750,2013-01-01,2,0
21887506575750,2013-01-01,1,0
21887506576000,2013-01-01,1,0
21887506576250,2013-01-01,3,0
21887506577500,2013-01-01,3,0
21887506577750,2013-01-01,1,0
21887506581250,2013-01-01,2,11
21887506600750,2013-01-01,1,0
21890006566500,2013-01-01,1,49
21890006568750,2013-01-01,1,1
21890006569750,2013-01-01,2,0
21890006572000,2013-01-01,1,2
21890006575250,2013-01-01,1,0
21890006575500,2013-01-01,1,3
21890006575750,2013-01-01,8,7
21890006576000,2013-01-01,6,2
21890006576250,2013-01-01,6,2
21890006576500,2013-01-01,2,12
21890006577000,2013-01-01,4,1
21890006577250,2013-01-01,2,0
21890006577500,2013-01-01,5,4
21890006577750,2013-01-01,5,32
21890006583000,2013-01-01,1,16
21890006584000,2013-01-01,1,0
21890006585250,2013-01-01,1,0
21892506566750,2013-01-01,3,4
21892506574000,2013-01-01,2,3
21892506575500,2013-01-01,2,0
21892506575750,2013-01-01,4,0
21892506576000,2013-01-01,3,101
21892506576250,2013-01-01,1,18
21892506576500,2013-01-01,4,51
21892506576750,2013-01-01,7,10
21892506577000,2013-01-01,4,0
21892506577250,2013-01-01,3,2
21892506577500,2013-01-01,5,23
21892506577750,2013-01-01,1,0
21892506578000,2013-01-01,1,0
21892506579750,2013-01-01,1,0
21892506583250,2013-01-01,1,0
21892506584250,2013-01-01,2,0
21895006568000,2013-01-01,3,15
21895006572750,2013-01-01,2,4
21895006573000,2013-01-01,1,0
21895006575250,2013-01-01,1,3
21895006575500,2013-01-01,9,9
21895006575750,2013-01-01,4,2
21895006576000,2013-01-01,2,3
21895006576250,2013-01-01,3,0
21895006576500,2013-01-01,1,0
21895006576750,2013-01-01,9,21
21895006577250,2013-01-01,2,50
21895006577500,2013-01-01,2,0
21895006577750,2013-01-01,1,0
21895006578000,2013-01-01,3,0
21895006581500,2013-01-01,1,0
21895006582500,2013-01-01,1,0
21895006582750,2013-01-01,1,1
21895006583000,2013-01-01,2,9
21897506568250,2013-01-01,1,0
21897506571750,2013-01-01,2,0
21897506573000,2013-01-01,2,19
21897506574250,2013-01-01,1,0
21897506574750,2013-01-01,1,2
21897506575250,2013-01-01,2,2
21897506575500,2013-01-01,7,6
21897506575750,2013-01-01,3,6
21897506576000,2013-01-01,5,16
21897506576250,2013-01-01,8,1
21897506576750,2013-01-01,18,412
21897506577000,2013-01-01,4,48
21897506577250,2013-01-01,3,32
21897506577500,2013-01-01,7,3
21897506577750,2013-01-01,3,7
21897506578500,2013-01-01,1,0
21897506579000,2013-01-01,1,0
21897506579750,2013-01-01,15,30
21897506582000,2013-01-01,2,17
21897506582500,2013-01-01,1,0
21897506584500,2013-01-01,1,0
21897506597500,2013-01-01,1,0
21897506598000,2013-01-01,1,0
21897506602000,2013-01-01,1,0
21900006566250,2013-01-01,1,0
21900006566500,2013-01-01,2,0
21900006573000,2013-01-01,1,1
21900006574250,2013-01-01,5,0
21900006574500,2013-01-01,4,3
21900006574750,2013-01-01,4,1
21900006575000,2013-01-01,1,1
21900006575250,2013-01-01,2,0
21900006575500,2013-01-01,2,0
21900006575750,2013-01-01,8,142
21900006576000,2013-01-01,7,0
21900006576250,2013-01-01,1,1
21900006576500,2013-01-01,1,0
21900006576750,2013-01-01,9,25
21900006577000,2013-01-01,4,2
21900006578000,2013-01-01,1,0
21900006579250,2013-01-01,2,2
21900006581000,2013-01-01,3,13
21900006581250,2013-01-01,2,0
21900006581750,2013-01-01,1,1
21900006582750,2013-01-01,1,0
21900006583250,2013-01-01,1,0
21900006583500,2013-01-01,4,0
21902506566500,2013-01-01,3,11
21902506574000,2013-01-01,1,0
21902506574250,2013-01-01,6,4
21902506574500,2013-01-01,5,0
21902506575250,2013-01-01,2,1
21902506575500,2013-01-01,6,1
21902506575750,2013-01-01,16,7
21902506576000,2013-01-01,7,2
21902506576250,2013-01-01,3,0
21902506576500,2013-01-01,1,0
21902506576750,2013-01-01,5,0
21902506577000,2013-01-01,4,2
21902506578500,2013-01-01,2,0
21902506578750,2013-01-01,1,2
21902506579000,2013-01-01,2,0
21902506579750,2013-01-01,1,0
21902506580000,2013-01-01,1,0
21902506580250,2013-01-01,2,1
21902506580500,2013-01-01,4,10
21902506580750,2013-01-01,2,0
21902506581250,2013-01-01,1,0
21902506581500,2013-01-01,1,0
21902506582750,2013-01-01,1,0
21902506583750,2013-01-01,3,1
21902506602500,2013-01-01,1,0
21905006566250,2013-01-01,1,0
21905006566500,2013-01-01,3,3
21905006573250,2013-01-01,2,11
21905006573500,2013-01-01,1,1
21905006573750,2013-01-01,1,0
21905006574000,2013-01-01,2,4
21905006574250,2013-01-01,4,0
21905006574500,2013-01-01,5,3
21905006574750,2013-01-01,1,2
21905006575000,2013-01-01,1,3
21905006575500,2013-01-01,6,1
21905006575750,2013-01-01,6,0
21905006576000,2013-01-01,21,34
21905006576250,2013-01-01,6,3
21905006576500,2013-01-01,3,3
21905006577250,2013-01-01,3,1
21905006577750,2013-01-01,4,4
21905006578000,2013-01-01,2,9
21905006578750,2013-01-01,1,0
21905006579000,2013-01-01,2,0
21905006579250,2013-01-01,2,0
21905006579750,2013-01-01,6,0
21905006580000,2013-01-01,4,29
21905006580250,2013-01-01,8,46
21905006580500,2013-01-01,1,11
21905006580750,2013-01-01,2,0
21905006581500,2013-01-01,1,0
21905006582500,2013-01-01,2,1
21905006582750,2013-01-01,1,0
21905006583750,2013-01-01,1,0
21905006585000,2013-01-01,3,0
21905006585500,2013-01-01,1,3
21907506566250,2013-01-01,2,3
21907506573000,2013-01-01,3,0
21907506573250,2013-01-01,4,0
21907506573500,2013-01-01,6,2
21907506573750,2013-01-01,2,25
21907506574000,2013-01-01,5,251
21907506575250,2013-01-01,4,0
21907506575500,2013-01-01,6,0
21907506575750,2013-01-01,7,2
21907506576000,2013-01-01,3,0
21907506576250,2013-01-01,3,0
21907506576500,2013-01-01,4,2
21907506576750,2013-01-01,2,1
21907506578250,2013-01-01,6,0
21907506578500,2013-01-01,1,1
21907506578750,2013-01-01,5,7
21907506579250,2013-01-01,3,0
21907506581000,2013-01-01,1,0
21907506581500,2013-01-01,1,4
21907506582000,2013-01-01,3,0
21907506582250,2013-01-01,2,4
21907506582500,2013-01-01,1,2
21907506585000,2013-01-01,1,0
21910006568000,2013-01-01,1,0
21910006571500,2013-01-01,2,7
21910006572000,2013-01-01,1,1
21910006573250,2013-01-01,2,1
21910006573500,2013-01-01,6,7
21910006573750,2013-01-01,6,41
21910006574000,2013-01-01,4,48
21910006574750,2013-01-01,19,283
21910006575000,2013-01-01,6,437
21910006575250,2013-01-01,8,30
21910006575500,2013-01-01,7,3
21910006575750,2013-01-01,4,0
21910006576000,2013-01-01,4,31
21910006576250,2013-01-01,5,55
21910006576500,2013-01-01,7,0
21910006576750,2013-01-01,3,35
21910006577000,2013-01-01,3,1
21910006578000,2013-01-01,3,5
21910006578250,2013-01-01,1,2
21910006578500,2013-01-01,3,3
21910006579750,2013-01-01,3,1
21910006581000,2013-01-01,1,0
21912506567750,2013-01-01,1,1
21912506568250,2013-01-01,1,0
21912506571250,2013-01-01,15,59
21912506571500,2013-01-01,8,48
21912506571750,2013-01-01,25,120
21912506572000,2013-01-01,2,2
21912506573250,2013-01-01,6,325
21912506574000,2013-01-01,13,2547
21912506574250,2013-01-01,1,85
21912506574750,2013-01-01,1,0
21912506575000,2013-01-01,6,121
21912506575250,2013-01-01,21,27
21912506575500,2013-01-01,6,2
21912506575750,2013-01-01,6,0
21912506576000,2013-01-01,25,140
21912506576500,2013-01-01,1,16
21912506576750,2013-01-01,5,24
21912506577000,2013-01-01,7,2
21912506577250,2013-01-01,5,4
21912506577750,2013-01-01,2,0
21912506579000,2013-01-01,4,0
21912506579250,2013-01-01,4,86
21912506579500,2013-01-01,3,1
21912506579750,2013-01-01,2,0
21915006569250,2013-01-01,1,0
21915006570500,2013-01-01,1,0
21915006570750,2013-01-01,4,40
21915006571250,2013-01-01,10,122
21915006571500,2013-01-01,10,78
21915006571750,2013-01-01,24,95
21915006572000,2013-01-01,10,116
21915006572500,2013-01-01,1,0
21915006572750,2013-01-01,5,2
21915006573000,2013-01-01,4,8
21915006573250,2013-01-01,2,0
