Kommune,År,Utslippskilde,Utslipp
Porsgrunn,2023,Varebiler,113.9
Skien,2009,Busser,1.64
Skien,2009,Busser,3795.12
Skien,2009,Busser,11.3
Skien,2009,Personbiler,175.42
Skien,2009,Personbiler,45149.62
Skien,2009,Personbiler,304.3
Skien,2009,Tunge kjøretøy,2.22
Skien,2009,Tunge kjøretøy,10454.33
Skien,2009,Tunge kjøretøy,28.24
Skien,2009,Varebiler,14.87
Skien,2009,Varebiler,9274.34
Skien,2009,Varebiler,62.02
Skien,2011,Busser,1.22
Skien,2011,Busser,3549.58
Skien,2011,Busser,14.42
Skien,2011,Personbiler,144.17
Skien,2011,Personbiler,43510.68
Skien,2011,Personbiler,300.28
Skien,2011,Tunge kjøretøy,1.89
Skien,2011,Tunge kjøretøy,10903.11
Skien,2011,Tunge kjøretøy,44.55
Skien,2011,Varebiler,12.31
Skien,2011,Varebiler,9397.84
Skien,2011,Varebiler,62.79
Skien,2013,Busser,0.68
Skien,2013,Busser,3418.49
Skien,2013,Busser,24.61
Skien,2013,Personbiler,126.63
Skien,2013,Personbiler,42217.91
Skien,2013,Personbiler,305.74
Skien,2013,Tunge kjøretøy,1.44
Skien,2013,Tunge kjøretøy,11195.6
Skien,2013,Tunge kjøretøy,67.01
Skien,2013,Varebiler,12.32
Skien,2013,Varebiler,9375.79
Skien,2013,Varebiler,65.6
Skien,2015,Busser,1.17
Skien,2015,Busser,3637.02
Skien,2015,Busser,22.9
Skien,2015,Personbiler,126.29
Skien,2015,Personbiler,41182.79
Skien,2015,Personbiler,327.09
Skien,2015,Tunge kjøretøy,1.27
Skien,2015,Tunge kjøretøy,11655.79
Skien,2015,Tunge kjøretøy,84.97
Skien,2015,Varebiler,15.23
Skien,2015,Varebiler,9221.72
Skien,2015,Varebiler,72.9
Skien,2016,Busser,0.64
Skien,2016,Busser,3332.29
Skien,2016,Busser,26.65
Skien,2016,Personbiler,127.35
Skien,2016,Personbiler,38586.37
Skien,2016,Personbiler,334.14
Skien,2016,Tunge kjøretøy,1.15
Skien,2016,Tunge kjøretøy,11352.99
Skien,2016,Tunge kjøretøy,98.04
Skien,2016,Varebiler,16.26
Skien,2016,Varebiler,8459.86
Skien,2016,Varebiler,76.18
Skien,2017,Busser,0.49
Skien,2017,Busser,3039.91
Skien,2017,Busser,33.72
Skien,2017,Personbiler,129.08
Skien,2017,Personbiler,35658.29
Skien,2017,Personbiler,339.72
Skien,2017,Tunge kjøretøy,1.03
Skien,2017,Tunge kjøretøy,10710.63
Skien,2017,Tunge kjøretøy,112.13
Skien,2017,Varebiler,18.04
Skien,2017,Varebiler,7669.33
Skien,2017,Varebiler,81.82
Skien,2018,Busser,0.55
Skien,2018,Busser,3352.92
Skien,2018,Busser,37.68
Skien,2018,Personbiler,129.28
Skien,2018,Personbiler,35662.42
Skien,2018,Personbiler,340.43
Skien,2018,Tunge kjøretøy,0.89
Skien,2018,Tunge kjøretøy,11598.84
Skien,2018,Tunge kjøretøy,124.08
Skien,2018,Varebiler,20.33
Skien,2018,Varebiler,7944.05
Skien,2018,Varebiler,86.66
Skien,2019,Busser,0.32
Skien,2019,Busser,3107.93
Skien,2019,Busser,44.91
Skien,2019,Personbiler,130.03
Skien,2019,Personbiler,33639.31
Skien,2019,Personbiler,339.1
Skien,2019,Tunge kjøretøy,0.82
Skien,2019,Tunge kjøretøy,11132.78
Skien,2019,Tunge kjøretøy,129.77
Skien,2019,Varebiler,23.91
Skien,2019,Varebiler,7767.1
Skien,2019,Varebiler,97.78
Skien,2020,Busser,0.26
Skien,2020,Busser,3004.68
Skien,2020,Busser,45.4
Skien,2020,Personbiler,118.3
Skien,2020,Personbiler,30472.74
Skien,2020,Personbiler,308.31
Skien,2020,Tunge kjøretøy,0.89
Skien,2020,Tunge kjøretøy,11616.94
Skien,2020,Tunge kjøretøy,135.68
Skien,2020,Varebiler,24.97
Skien,2020,Varebiler,7555.46
Skien,2020,Varebiler,99.29
Skien,2021,Busser,0.22
Skien,2021,Busser,2986.87
Skien,2021,Busser,46.13
Skien,2021,Personbiler,113.62
Skien,2021,Personbiler,28095.74
Skien,2021,Personbiler,294.26
Skien,2021,Tunge kjøretøy,1.01
Skien,2021,Tunge kjøretøy,11999.97
Skien,2021,Tunge kjøretøy,146.34
Skien,2021,Varebiler,25.98
Skien,2021,Varebiler,7813.64
Skien,2021,Varebiler,106.03
Skien,2022,Busser,0.21
Skien,2022,Busser,3082.98
Skien,2022,Busser,48.53
Skien,2022,Personbiler,110.24
Skien,2022,Personbiler,27242.7
Skien,2022,Personbiler,283.22
Skien,2022,Tunge kjøretøy,1.21
Skien,2022,Tunge kjøretøy,11927.23
Skien,2022,Tunge kjøretøy,146.68
Skien,2022,Varebiler,28.05
Skien,2022,Varebiler,7994.43
Skien,2022,Varebiler,113.55
Skien,2023,Busser,0.24
Skien,2023,Busser,3164.17
Skien,2023,Busser,49.64
Skien,2023,Personbiler,106.21
Skien,2023,Personbiler,24471.89
Skien,2023,Personbiler,270.41
Skien,2023,Tunge kjøretøy,1.42
Skien,2023,Tunge kjøretøy,11573.0
Skien,2023,Tunge kjøretøy,143.47
Skien,2023,Varebiler,29.05
Skien,2023,Varebiler,7945.48
Skien,2023,Varebiler,117.44
Notodden,2009,Busser,0.43
Notodden,2009,Busser,1179.96
Notodden,2009,Busser,3.02
Notodden,2009,Personbiler,48.09
Notodden,2009,Personbiler,13878.14
Notodden,2009,Personbiler,90.15
Notodden,2009,Tunge kjøretøy,1.27
Notodden,2009,Tunge kjøretøy,6932.8
Notodden,2009,Tunge kjøretøy,20.18
Notodden,2009,Varebiler,5.14
Notodden,2009,Varebiler,4103.04
Notodden,2009,Varebiler,24.9
Notodden,2011,Busser,0.35
Notodden,2011,Busser,1154.9
Notodden,2011,Busser,3.34
Notodden,2011,Personbiler,40.35
Notodden,2011,Personbiler,13382.5
Notodden,2011,Personbiler,91.15
Notodden,2011,Tunge kjøretøy,1.07
Notodden,2011,Tunge kjøretøy,7236.85
Notodden,2011,Tunge kjøretøy,33.85
Notodden,2011,Varebiler,4.03
Notodden,2011,Varebiler,4091.34
Notodden,2011,Varebiler,25.0
Notodden,2013,Busser,0.23
Notodden,2013,Busser,1114.17
Notodden,2013,Busser,4.7
Notodden,2013,Personbiler,36.09
Notodden,2013,Personbiler,13079.03
Notodden,2013,Personbiler,95.23
Notodden,2013,Tunge kjøretøy,0.89
Notodden,2013,Tunge kjøretøy,7439.44
Notodden,2013,Tunge kjøretøy,51.02
Notodden,2013,Varebiler,4.47
Notodden,2013,Varebiler,4057.8
Notodden,2013,Varebiler,25.94
Notodden,2015,Busser,0.22
Notodden,2015,Busser,1132.76
Notodden,2015,Busser,5.42
Notodden,2015,Personbiler,38.86
Notodden,2015,Personbiler,12821.99
Notodden,2015,Personbiler,106.9
Notodden,2015,Tunge kjøretøy,0.82
Notodden,2015,Tunge kjøretøy,7754.27
Notodden,2015,Tunge kjøretøy,61.03
Notodden,2015,Varebiler,6.09
Notodden,2015,Varebiler,4053.16
Notodden,2015,Varebiler,29.67
Notodden,2016,Busser,0.27
Notodden,2016,Busser,1109.0
Notodden,2016,Busser,6.01
Notodden,2016,Personbiler,40.47
Notodden,2016,Personbiler,12090.27
Notodden,2016,Personbiler,111.36
Notodden,2016,Tunge kjøretøy,0.72
Notodden,2016,Tunge kjøretøy,7561.23
Notodden,2016,Tunge kjøretøy,69.55
Notodden,2016,Varebiler,7.1
Notodden,2016,Varebiler,3805.15
Notodden,2016,Varebiler,31.93
Notodden,2017,Busser,0.31
Notodden,2017,Busser,1094.83
Notodden,2017,Busser,6.37
Notodden,2017,Personbiler,41.95
Notodden,2017,Personbiler,11170.73
Notodden,2017,Personbiler,113.62
Notodden,2017,Tunge kjøretøy,0.64
Notodden,2017,Tunge kjøretøy,7138.09
Notodden,2017,Tunge kjøretøy,79.88
Notodden,2017,Varebiler,8.73
Notodden,2017,Varebiler,3502.35
Notodden,2017,Varebiler,35.57
Notodden,2018,Busser,0.28
Notodden,2018,Busser,1139.3
Notodden,2018,Busser,8.04
Notodden,2018,Personbiler,43.86
Notodden,2018,Personbiler,11352.73
Notodden,2018,Personbiler,117.01
Notodden,2018,Tunge kjøretøy,0.54
Notodden,2018,Tunge kjøretøy,7702.46
Notodden,2018,Tunge kjøretøy,87.02
Notodden,2018,Varebiler,10.26
Notodden,2018,Varebiler,3733.56
Notodden,2018,Varebiler,39.14
Notodden,2019,Busser,0.14
Notodden,2019,Busser,1052.1
Notodden,2019,Busser,13.84
Notodden,2019,Personbiler,45.23
Notodden,2019,Personbiler,10692.6
Notodden,2019,Personbiler,118.14
Notodden,2019,Tunge kjøretøy,0.6
Notodden,2019,Tunge kjøretøy,7358.64
Notodden,2019,Tunge kjøretøy,92.32
Notodden,2019,Varebiler,11.53
Notodden,2019,Varebiler,3533.88
Notodden,2019,Varebiler,42.56
Notodden,2020,Busser,0.15
Notodden,2020,Busser,928.03
Notodden,2020,Busser,12.21
Notodden,2020,Personbiler,42.22
Notodden,2020,Personbiler,9819.01
Notodden,2020,Personbiler,108.1
Notodden,2020,Tunge kjøretøy,0.57
Notodden,2020,Tunge kjøretøy,7656.74
Notodden,2020,Tunge kjøretøy,96.2
Notodden,2020,Varebiler,12.23
Notodden,2020,Varebiler,3525.64
Notodden,2020,Varebiler,44.47
Notodden,2021,Busser,0.09
Notodden,2021,Busser,918.79
Notodden,2021,Busser,13.14
Notodden,2021,Personbiler,41.46
Notodden,2021,Personbiler,9386.95
Notodden,2021,Personbiler,105.85
Notodden,2021,Tunge kjøretøy,0.64
Notodden,2021,Tunge kjøretøy,7941.47
Notodden,2021,Tunge kjøretøy,103.37
Notodden,2021,Varebiler,12.6
Notodden,2021,Varebiler,3683.5
Notodden,2021,Varebiler,47.48
Notodden,2022,Busser,0.23
Notodden,2022,Busser,1108.02
Notodden,2022,Busser,11.27
Notodden,2022,Personbiler,41.23
Notodden,2022,Personbiler,9452.02
Notodden,2022,Personbiler,103.57
Notodden,2022,Tunge kjøretøy,0.63
Notodden,2022,Tunge kjøretøy,7918.75
Notodden,2022,Tunge kjøretøy,102.02
Notodden,2022,Varebiler,13.8
Notodden,2022,Varebiler,3949.09
Notodden,2022,Varebiler,52.48
Notodden,2023,Busser,0.24
Notodden,2023,Busser,1137.42
Notodden,2023,Busser,12.53
Notodden,2023,Personbiler,39.25
Notodden,2023,Personbiler,8614.34
Notodden,2023,Personbiler,98.18
Notodden,2023,Tunge kjøretøy,0.61
Notodden,2023,Tunge kjøretøy,7786.94
Notodden,2023,Tunge kjøretøy,102.04
Notodden,2023,Varebiler,14.57
Notodden,2023,Varebiler,3992.11
Notodden,2023,Varebiler,54.52
Siljan,2009,Busser,0.06
Siljan,2009,Busser,211.42
Siljan,2009,Busser,0.65
Siljan,2009,Personbiler,9.49
Siljan,2009,Personbiler,2483.1
Siljan,2009,Personbiler,15.75
Siljan,2009,Tunge kjøretøy,0.28
Siljan,2009,Tunge kjøretøy,1718.21
Siljan,2009,Tunge kjøretøy,4.36
Siljan,2009,Varebiler,0.87
Siljan,2009,Varebiler,549.11
Siljan,2009,Varebiler,3.44
Siljan,2011,Busser,0.05
Siljan,2011,Busser,200.7
Siljan,2011,Busser,0.87
Siljan,2011,Personbiler,7.85
Siljan,2011,Personbiler,2400.16
Siljan,2011,Personbiler,15.66
Siljan,2011,Tunge kjøretøy,0.23
Siljan,2011,Tunge kjøretøy,1788.03
Siljan,2011,Tunge kjøretøy,7.27
Siljan,2011,Varebiler,0.69
Siljan,2011,Varebiler,559.05
Siljan,2011,Varebiler,3.43
Siljan,2013,Busser,0.03
Siljan,2013,Busser,194.53
Siljan,2013,Busser,1.4
Siljan,2013,Personbiler,6.9
Siljan,2013,Personbiler,2337.27
Siljan,2013,Personbiler,16.09
Siljan,2013,Tunge kjøretøy,0.17
Siljan,2013,Tunge kjøretøy,1845.36
Siljan,2013,Tunge kjøretøy,10.4
Siljan,2013,Varebiler,0.66
Siljan,2013,Varebiler,551.16
Siljan,2013,Varebiler,3.53
Siljan,2015,Busser,0.07
Siljan,2015,Busser,219.3
Siljan,2015,Busser,1.12
Siljan,2015,Personbiler,6.96
Siljan,2015,Personbiler,2288.28
Siljan,2015,Personbiler,17.37
Siljan,2015,Tunge kjøretøy,0.14
Siljan,2015,Tunge kjøretøy,1928.93
Siljan,2015,Tunge kjøretøy,14.82
Siljan,2015,Varebiler,0.79
Siljan,2015,Varebiler,557.26
Siljan,2015,Varebiler,4.03
Siljan,2016,Busser,0.03
Siljan,2016,Busser,187.74
Siljan,2016,Busser,1.31
Siljan,2016,Personbiler,7.13
Siljan,2016,Personbiler,2155.36
Siljan,2016,Personbiler,17.97
Siljan,2016,Tunge kjøretøy,0.12
Siljan,2016,Tunge kjøretøy,1882.26
Siljan,2016,Tunge kjøretøy,17.12
Siljan,2016,Varebiler,0.83
Siljan,2016,Varebiler,515.59
Siljan,2016,Varebiler,4.2
Siljan,2017,Busser,0.02
Siljan,2017,Busser,168.03
Siljan,2017,Busser,1.58
Siljan,2017,Personbiler,7.32
Siljan,2017,Personbiler,1997.78
Siljan,2017,Personbiler,18.53
Siljan,2017,Tunge kjøretøy,0.11
Siljan,2017,Tunge kjøretøy,1773.71
Siljan,2017,Tunge kjøretøy,19.8
Siljan,2017,Varebiler,0.95
Siljan,2017,Varebiler,470.87
Siljan,2017,Varebiler,4.58
Siljan,2018,Busser,0.02
Siljan,2018,Busser,185.12
Siljan,2018,Busser,1.75
Siljan,2018,Personbiler,7.43
Siljan,2018,Personbiler,2018.34
Siljan,2018,Personbiler,18.88
Siljan,2018,Tunge kjøretøy,0.09
Siljan,2018,Tunge kjøretøy,1932.24
Siljan,2018,Tunge kjøretøy,21.55
Siljan,2018,Varebiler,1.08
Siljan,2018,Varebiler,483.1
Siljan,2018,Varebiler,4.84
Siljan,2019,Busser,0.02
Siljan,2019,Busser,174.13
Siljan,2019,Busser,2.01
Siljan,2019,Personbiler,7.58
Siljan,2019,Personbiler,1899.78
Siljan,2019,Personbiler,19.0
Siljan,2019,Tunge kjøretøy,0.08
Siljan,2019,Tunge kjøretøy,1857.63
Siljan,2019,Tunge kjøretøy,22.63
Siljan,2019,Varebiler,1.28
Siljan,2019,Varebiler,467.05
Siljan,2019,Varebiler,5.42
Siljan,2020,Busser,0.02
Siljan,2020,Busser,170.95
Siljan,2020,Busser,2.0
Siljan,2020,Personbiler,6.9
Siljan,2020,Personbiler,1727.14
Siljan,2020,Personbiler,17.53
Siljan,2020,Tunge kjøretøy,0.09
Siljan,2020,Tunge kjøretøy,1934.83
Siljan,2020,Tunge kjøretøy,23.49
Siljan,2020,Varebiler,1.44
Siljan,2020,Varebiler,471.11
Siljan,2020,Varebiler,5.77
Siljan,2021,Busser,0.01
Siljan,2021,Busser,177.11
Siljan,2021,Busser,2.66
Siljan,2021,Personbiler,6.79
Siljan,2021,Personbiler,1628.04
Siljan,2021,Personbiler,17.1
Siljan,2021,Tunge kjøretøy,0.11
Siljan,2021,Tunge kjøretøy,2003.38
Siljan,2021,Tunge kjøretøy,24.57
Siljan,2021,Varebiler,1.58
Siljan,2021,Varebiler,496.56
Siljan,2021,Varebiler,6.42
Siljan,2022,Busser,0.01
Siljan,2022,Busser,188.36
Siljan,2022,Busser,2.87
Siljan,2022,Personbiler,6.95
Siljan,2022,Personbiler,1650.44
Siljan,2022,Personbiler,17.26
Siljan,2022,Tunge kjøretøy,0.21
Siljan,2022,Tunge kjøretøy,1983.55
Siljan,2022,Tunge kjøretøy,24.19
Siljan,2022,Varebiler,1.73
Siljan,2022,Varebiler,525.55
Siljan,2022,Varebiler,7.04
Siljan,2023,Busser,0.01
Siljan,2023,Busser,192.42
Siljan,2023,Busser,2.93
Siljan,2023,Personbiler,6.68
Siljan,2023,Personbiler,1496.39
Siljan,2023,Personbiler,16.43
Siljan,2023,Tunge kjøretøy,0.32
Siljan,2023,Tunge kjøretøy,1908.67
Siljan,2023,Tunge kjøretøy,23.21
Siljan,2023,Varebiler,1.83
Siljan,2023,Varebiler,533.12
Siljan,2023,Varebiler,7.52
Bamble,2009,Busser,0.27
Bamble,2009,Busser,783.65
Bamble,2009,Busser,2.25
Bamble,2009,Personbiler,72.7
Bamble,2009,Personbiler,20298.7
Bamble,2009,Personbiler,114.74
Bamble,2009,Tunge kjøretøy,2.87
Bamble,2009,Tunge kjøretøy,11845.13
Bamble,2009,Tunge kjøretøy,33.53
Bamble,2009,Varebiler,7.14
Bamble,2009,Varebiler,4524.53
Bamble,2009,Varebiler,25.35
Bamble,2011,Busser,0.19
Bamble,2011,Busser,760.37
Bamble,2011,Busser,2.81
Bamble,2011,Personbiler,59.95
Bamble,2011,Personbiler,19541.8
Bamble,2011,Personbiler,113.78
Bamble,2011,Tunge kjøretøy,2.45
Bamble,2011,Tunge kjøretøy,12256.74
Bamble,2011,Tunge kjøretøy,51.55
Bamble,2011,Varebiler,5.45
Bamble,2011,Varebiler,4482.7
Bamble,2011,Varebiler,24.74
Bamble,2013,Busser,0.12
Bamble,2013,Busser,736.31
Bamble,2013,Busser,5.72
Bamble,2013,Personbiler,51.83
Bamble,2013,Personbiler,18855.1
Bamble,2013,Personbiler,114.94
Bamble,2013,Tunge kjøretøy,1.41
Bamble,2013,Tunge kjøretøy,12671.72
Bamble,2013,Tunge kjøretøy,110.82
Bamble,2013,Varebiler,5.29
Bamble,2013,Varebiler,4510.77
Bamble,2013,Varebiler,25.82
Bamble,2015,Busser,0.13
Bamble,2015,Busser,757.31
Bamble,2015,Busser,5.61
Bamble,2015,Personbiler,51.67
Bamble,2015,Personbiler,18358.75
Bamble,2015,Personbiler,122.56
Bamble,2015,Tunge kjøretøy,1.91
Bamble,2015,Tunge kjøretøy,13140.33
Bamble,2015,Tunge kjøretøy,102.71
Bamble,2015,Varebiler,5.89
Bamble,2015,Varebiler,4413.27
Bamble,2015,Varebiler,27.75
Bamble,2016,Busser,0.1
Bamble,2016,Busser,726.2
Bamble,2016,Busser,6.38
Bamble,2016,Personbiler,52.23
Bamble,2016,Personbiler,17123.24
Bamble,2016,Personbiler,125.63
Bamble,2016,Tunge kjøretøy,1.51
Bamble,2016,Tunge kjøretøy,12950.79
Bamble,2016,Tunge kjøretøy,118.53
Bamble,2016,Varebiler,6.35
Bamble,2016,Varebiler,4126.75
Bamble,2016,Varebiler,29.15
Bamble,2017,Busser,0.06
Bamble,2017,Busser,662.75
Bamble,2017,Busser,8.46
Bamble,2017,Personbiler,52.78
Bamble,2017,Personbiler,15781.7
Bamble,2017,Personbiler,127.01
Bamble,2017,Tunge kjøretøy,1.29
Bamble,2017,Tunge kjøretøy,12138.31
Bamble,2017,Tunge kjøretøy,132.69
Bamble,2017,Varebiler,7.23
Bamble,2017,Varebiler,3749.65
Bamble,2017,Varebiler,31.06
Bamble,2018,Busser,0.06
Bamble,2018,Busser,706.39
Bamble,2018,Busser,8.3
Bamble,2018,Personbiler,52.8
Bamble,2018,Personbiler,15790.66
Bamble,2018,Personbiler,127.21
Bamble,2018,Tunge kjøretøy,1.16
Bamble,2018,Tunge kjøretøy,13096.42
Bamble,2018,Tunge kjøretøy,145.18
Bamble,2018,Varebiler,8.27
Bamble,2018,Varebiler,3923.7
Bamble,2018,Varebiler,33.02
Bamble,2019,Busser,0.04
Bamble,2019,Busser,645.62
Bamble,2019,Busser,8.77
Bamble,2019,Personbiler,50.96
Bamble,2019,Personbiler,14240.42
Bamble,2019,Personbiler,121.24
Bamble,2019,Tunge kjøretøy,0.97
Bamble,2019,Tunge kjøretøy,12535.64
Bamble,2019,Tunge kjøretøy,154.52
Bamble,2019,Varebiler,9.21
Bamble,2019,Varebiler,3606.27
Bamble,2019,Varebiler,34.61
Bamble,2020,Busser,0.04
Bamble,2020,Busser,598.75
Bamble,2020,Busser,8.53
Bamble,2020,Personbiler,46.06
Bamble,2020,Personbiler,12921.23
Bamble,2020,Personbiler,110.0
Bamble,2020,Tunge kjøretøy,0.95
Bamble,2020,Tunge kjøretøy,13208.68
Bamble,2020,Tunge kjøretøy,166.77
Bamble,2020,Varebiler,10.0
Bamble,2020,Varebiler,3587.97
Bamble,2020,Varebiler,35.8
Bamble,2021,Busser,0.04
Bamble,2021,Busser,579.94
Bamble,2021,Busser,8.3
Bamble,2021,Personbiler,45.65
Bamble,2021,Personbiler,12115.23
Bamble,2021,Personbiler,106.66
Bamble,2021,Tunge kjøretøy,1.02
Bamble,2021,Tunge kjøretøy,13644.62
Bamble,2021,Tunge kjøretøy,175.57
Bamble,2021,Varebiler,10.52
Bamble,2021,Varebiler,3675.14
Bamble,2021,Varebiler,37.5
Bamble,2022,Busser,0.04
Bamble,2022,Busser,652.25
Bamble,2022,Busser,8.81
Bamble,2022,Personbiler,45.72
Bamble,2022,Personbiler,12156.15
Bamble,2022,Personbiler,105.99
Bamble,2022,Tunge kjøretøy,1.06
Bamble,2022,Tunge kjøretøy,13572.29
Bamble,2022,Tunge kjøretøy,177.24
Bamble,2022,Varebiler,11.78
Bamble,2022,Varebiler,3905.34
Bamble,2022,Varebiler,41.54
Bamble,2023,Busser,0.04
Bamble,2023,Busser,671.67
Bamble,2023,Busser,8.99
Bamble,2023,Personbiler,43.38
Bamble,2023,Personbiler,10841.5
Bamble,2023,Personbiler,99.74
Bamble,2023,Tunge kjøretøy,1.26
Bamble,2023,Tunge kjøretøy,13242.19
Bamble,2023,Tunge kjøretøy,171.9
